energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.21699606,0.71315997,0.31311910,0.00148788,0.38277432,0.01010850,0.35508585,0.32666408,0.02999177
-5.99399700,1.25112187,0.71946875,0.31180150,0.00162128,0.37869737,0.01032667,0.37942799,0.35227642,0.03207388
-5.98799400,1.28605940,0.72533375,0.31064323,0.00175406,0.37467289,0.01056057,0.40406126,0.37821192,0.03421447
-5.98199100,1.32129194,0.73077756,0.30958609,0.00188422,0.37070250,0.01080461,0.42865684,0.40408446,0.03638710
-5.97598799,1.35633693,0.73587867,0.30858623,0.00200966,0.36681191,0.01105307,0.45288195,0.42950159,0.03856459
-5.96998499,1.39076535,0.74077321,0.30761745,0.00212828,0.36305280,0.01130033,0.47641002,0.45407577,0.04071984
-5.96398199,1.42421900,0.74565380,0.30667354,0.00223797,0.35950317,0.01154103,0.49893126,0.47743624,0.04282683
-5.95797899,1.45642504,0.75076534,0.30576957,0.00233676,0.35626605,0.01177031,0.52016307,0.49924113,0.04486145
-5.95197599,1.48720673,0.75639783,0.30494209,0.00242280,0.35346679,0.01198390,0.53986000,0.51918915,0.04680242
-5.94597299,1.51648996,0.76287643,0.30424817,0.00249448,0.35124880,0.01217830,0.55782245,0.53703037,0.04863201
-5.93996998,1.54430493,0.77054908,0.30376336,0.00255046,0.34976805,0.01235084,0.57390392,0.55257546,0.05033663
-5.93396698,1.57078281,0.77977210,0.30357859,0.00258974,0.34918655,0.01249973,0.58801620,0.56570297,0.05190727
-5.92796398,1.59614724,0.79089437,0.30379622,0.00261168,0.34966506,0.01262409,0.60013224,0.57636399,0.05333973
-5.92196098,1.62070096,0.80424071,0.30452531,0.00261600,0.35135539,0.01272388,0.61028643,0.58458406,0.05463458
-5.91595798,1.64480786,0.82009508,0.30587630,0.00260285,0.35439265,0.01279991,0.61857218,0.59046203,0.05579693
