energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,3.55517940,0.12063025,0.12877240,0.68255233,0.44283911,0.08602487,1.67196427
-5.99399700,3.75903534,0.11549883,0.13789204,0.72550876,0.45359887,0.09107480,1.78499987
-5.98799400,3.96204796,0.11135069,0.14681358,0.76916243,0.46549413,0.09596776,1.89699838
-5.98199100,4.16169757,0.10809153,0.15542443,0.81301957,0.47818343,0.10063700,2.00687572
-5.97598799,4.35541545,0.10560939,0.16361218,0.85655549,0.49130047,0.10501654,2.11353249
-5.96998499,4.54063762,0.10377966,0.17126714,0.89922432,0.50446560,0.10904270,2.21587032
-5.96398199,4.71485709,0.10247005,0.17828489,0.94046908,0.51729717,0.11265559,2.31280780
-5.95797899,4.87567345,0.10154550,0.18456868,0.97973205,0.52942224,0.11580053,2.40329584
-5.95197599,5.02083853,0.10087262,0.19003163,1.01646505,0.54048642,0.11842926,2.48633233
-5.94597299,5.14829740,0.10032381,0.19459875,1.05013968,0.55016263,0.12050114,2.56097598
-5.93996998,5.25622417,0.09978083,0.19820850,1.08025716,0.55815847,0.12198399,2.62635944
-5.93396698,5.34305231,0.09913773,0.20081406,1.10635770,0.56422220,0.12285482,2.68170179
-5.92796398,5.40749942,0.09830322,0.20238415,1.12802927,0.56814720,0.12310027,2.72632040
-5.92196098,5.44858655,0.09720226,0.20290351,1.14491565,0.56977500,0.12271682,2.75964228
-5.91595798,5.46565232,0.09577710,0.20237284,1.15672359,0.56899681,0.12171073,2.78121491
-5.90995498,5.45836210,0.09398761,0.20080845,1.16322903,0.56575379,0.12009777,2.79071649
-5.90395198,5.42671246,0.09181102,0.19824152,1.16428213,0.56003608,0.11790272,2.78796539
-5.89794897,5.37103108,0.08924114,0.19471706,1.15981116,0.55188083,0.11515866,2.77292860
-5.89194597,5.29197237,0.08628711,0.19029255,1.14982495,0.54136926,0.11190608,2.74572876
-5.88594297,5.19050855,0.08297171,0.18503641,1.13441392,0.52862313,0.10819187,2.70664928
-5.87993997,5.06791650,0.07932943,0.17902634,1.11374951,0.51380050,0.10406819,2.65613719
-5.87393697,4.92575990,0.07540437,0.17234753,1.08808193,0.49709111,0.09959126,2.59480302
-5.86793397,4.76586687,0.07124789,0.16509077,1.05773634,0.47871152,0.09482011,2.52341740
-5.86193097,4.59030272,0.06691642,0.15735068,1.02310716,0.45889996,0.08981537,2.44290390
-5.85592796,4.40133815,0.06246922,0.14922386,0.98465097,0.43791115,0.08463805,2.35432782
-5.84992496,4.20141272,0.05796628,0.14080716,0.94287774,0.41601106,0.07934834,2.25888094
-5.84392196,3.99309425,0.05346651,0.13219606,0.89834079,0.39347179,0.07400461,2.15786212
-5.83791896,3.77903443,0.04902609,0.12348318,0.85162573,0.37056648,0.06866241,2.05265425
-5.83191596,3.56192167,0.04469714,0.11475691,0.80333844,0.34756452,0.06337364,1.94469790
-5.82591296,3.34443196,0.04052671,0.10610023,0.75409276,0.32472691,0.05818588,1.83546241
-5.81990995,3.12917919,0.03655606,0.09758967,0.70449796,0.30230200,0.05314181,1.72641524
-5.81390695,2.91866603,0.03282024,0.08929453,0.65514658,0.28052157,0.04827886,1.61899070
