energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,5.88833610,1.47618716,3.03851945,0.06399819,1.51928674,0.99749471,0.00000000
-5.99399700,5.87288568,1.50024735,3.01538994,0.06256639,1.53104089,0.97369807,0.00000000
-5.98799400,5.85084554,1.52465475,2.98618228,0.06099892,1.54252372,0.94718837,0.00000000
-5.98199100,5.82320839,1.54956965,2.95161794,0.05932874,1.55376807,0.91832488,0.00000000
-5.97598799,5.79124736,1.57517830,2.91256524,0.05759176,1.56490079,0.88751429,0.00000000
-5.96998499,5.75644133,1.60167565,2.86999961,0.05582553,1.57612580,0.85519707,0.00000000
-5.96398199,5.72039188,1.62924672,2.82496066,0.05406799,1.58770285,0.82183348,0.00000000
-5.95797899,5.68473620,1.65804787,2.77850846,0.05235625,1.59992308,0.78788998,0.00000000
-5.95197599,5.65106093,1.68818913,2.73168102,0.05072551,1.61308274,0.75382650,0.00000000
-5.94597299,5.62082147,1.71971869,2.68545549,0.04920816,1.62745668,0.72008519,0.00000000
-5.93996998,5.59527103,1.75261064,2.64071464,0.04783302,1.64327312,0.68708111,0.00000000
-5.93396698,5.57540324,1.78675682,2.59822050,0.04662482,1.66069112,0.65519501,0.00000000
-5.92796398,5.56191118,1.82196349,2.55859613,0.04560390,1.67978213,0.62476847,0.00000000
-5.92196098,5.55516475,1.85795307,2.52231629,0.04478610,1.70051663,0.59610138,0.00000000
-5.91595798,5.55520738,1.89437120,2.48970718,0.04418284,1.72275667,0.56945177,0.00000000
-5.90995498,5.56177177,1.93079874,2.46095483,0.04380135,1.74625480,0.54503756,0.00000000
-5.90395198,5.57431346,1.96676823,2.43612141,0.04364506,1.77065934,0.52304018,0.00000000
-5.89794897,5.59205996,2.00178412,2.41516818,0.04371408,1.79552590,0.50360955,0.00000000
-5.89194597,5.61407229,2.03534551,2.39798340,0.04400574,1.82033430,0.48687007,0.00000000
-5.88594297,5.63931527,2.06697052,2.38441345,0.04451513,1.84451006,0.47292706,0.00000000
-5.87993997,5.66673237,2.09622077,2.37429516,0.04523572,1.86744930,0.46187340,0.00000000
-5.87393697,5.69532076,2.12272488,2.36748734,0.04615983,1.88854553,0.45379587,0.00000000
-5.86793397,5.72420240,2.14619961,2.36389959,0.04727917,1.90721708,0.44878073,0.00000000
-5.86193097,5.75268714,2.16646769,2.36351679,0.04858519,1.92293351,0.44691840,0.00000000
-5.85592796,5.78032451,2.18347137,2.36641777,0.05006941,1.93523968,0.44830684,0.00000000
-5.84992496,5.80694157,2.19728100,2.37278724,0.05172368,1.94377632,0.45305358,0.00000000
-5.84392196,5.83266486,2.20809829,2.38292029,0.05354025,1.94829593,0.46127622,0.00000000
-5.83791896,5.85792559,2.21625412,2.39721942,0.05551190,1.94867338,0.47310138,0.00000000
-5.83191596,5.88344815,2.22220094,2.41618417,0.05763181,1.94491077,0.48866220,0.00000000
-5.82591296,5.91022274,2.22650030,2.44039424,0.05989355,1.93713632,0.50809452,0.00000000
-5.81990995,5.93946388,2.22980604,2.47048692,0.06229082,1.92559759,0.53153179,0.00000000
-5.81390695,5.97255722,2.23284396,2.50713030,0.06481733,1.91064945,0.55909917,0.00000000
-5.80790395,6.01099761,2.23638882,2.55099355,0.06746649,1.89273759,0.59090680,0.00000000
-5.80190095,6.05632160,2.24123977,2.60271609,0.07023116,1.87237835,0.62704278,0.00000000
-5.79589795,6.11003788,2.24819511,2.66287698,0.07310340,1.85013617,0.66756602,0.00000000
-5.78989495,6.17355903,2.25802742,2.73196632,0.07607420,1.82659959,0.71249934,0.00000000
-5.78389195,6.24813762,2.27145981,2.81035970,0.07913322,1.80235710,0.76182301,0.00000000
-5.77788894,6.33480952,2.28914427,2.89829713,0.08226858,1.77797387,0.81546916,0.00000000
-5.77188594,6.43434668,2.31164252,2.99586692,0.08546671,1.75397052,0.87331708,0.00000000
-5.76588294,6.54722094,2.33940996,3.10299530,0.08871219,1.73080458,0.93518983,0.00000000
-5.75987994,6.67357984,2.37278291,3.21944174,0.09198773,1.70885554,1.00085203,0.00000000
-5.75387694,6.81323493,2.41196938,3.34479985,0.09527413,1.68841383,1.07000909,0.00000000
-5.74787394,6.96566198,2.45704322,3.47850343,0.09855039,1.66967416,1.14230781,0.00000000
-5.74187094,7.13001244,2.50794159,3.61983691,0.10179381,1.65273307,1.21733830,0.00000000
-5.73586793,7.30513468,2.56446556,3.76794927,0.10498026,1.63759073,1.29463714,0.00000000
-5.72986493,7.48960320,2.62628343,3.92187041,0.10808440,1.62415667,1.37369161,0.00000000
-5.72386193,7.68175408,2.69293656,4.08052899,0.11108009,1.61225879,1.45394491,0.00000000
-5.71785893,7.87972453,2.76384739,4.24277067,0.11394072,1.60165533,1.53480214,0.00000000
-5.71185593,8.08149459,2.83832936,4.40737592,0.11663971,1.59204890,1.61563690,0.00000000
-5.70585293,8.28492944,2.91559852,4.57307671,0.11915093,1.58310201,1.69579838,0.00000000
-5.69984992,8.48782065,2.99478674,4.73857164,0.12144919,1.57445332,1.77461898,0.00000000
-5.69384692,8.68792557,3.07495629,4.90253940,0.12351073,1.56573390,1.85142212,0.00000000
-5.68784392,8.88300402,3.15511599,5.06365059,0.12531363,1.55658288,1.92553057,0.00000000
