energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,8.18049760,0.01538270,1.06862264,0.01536793,0.00000000,6.82712351,3.81180680,0.05725782,2.20092227
-5.99399700,8.01388999,0.01573514,1.04594377,0.01512399,0.00000000,6.78825094,3.72534561,0.05718358,2.14656830
-5.98799400,7.86621876,0.01607713,1.02721488,0.01490653,0.00000000,6.76919451,3.64969583,0.05718809,2.09412638
-5.98199100,7.74021221,0.01640390,1.01273000,0.01472225,0.00000000,6.77154071,3.58622132,0.05729687,2.04445418
-5.97598799,7.63816469,0.01671101,1.00269544,0.01457680,0.00000000,6.79633698,3.53609374,0.05753234,1.99833410
-5.96998499,7.56185928,0.01699441,0.99722109,0.01447458,0.00000000,6.84405297,3.50025309,0.05791295,1.95644875
-5.96398199,7.51250693,0.01725038,0.99631450,0.01441853,0.00000000,6.91456044,3.47937576,0.05845250,1.91935978
-5.95797899,7.49070540,0.01747558,0.99987806,0.01441004,0.00000000,7.00713353,3.47385172,0.05915952,1.88749132
-5.95197599,7.49641967,0.01766704,1.00770951,0.01444884,0.00000000,7.12047006,3.48377148,0.06003689,1.86111869
-5.94597299,7.52898500,0.01782218,1.01950581,0.01453307,0.00000000,7.25273332,3.50892352,0.06108167,1.84036297
-5.93996998,7.58713218,0.01793885,1.03487031,0.01465932,0.00000000,7.40161313,3.54880178,0.06228504,1.82519157
-5.93396698,7.66903376,0.01801543,1.05332290,0.01482277,0.00000000,7.56440352,3.60262286,0.06363255,1.81542467
-5.92796398,7.77236871,0.01805083,1.07431295,0.01501743,0.00000000,7.73809359,3.66935159,0.06510455,1.81074714
-5.92196098,7.89440216,0.01804466,1.09723430,0.01523635,0.00000000,7.91946753,3.74773367,0.06667668,1.81072517
-5.91595798,8.03207623,0.01799721,1.12144194,0.01547194,0.00000000,8.10520886,3.83633352,0.06832069,1.81482670
-5.90995498,8.18210749,0.01790963,1.14626957,0.01571629,0.00000000,8.29200396,3.93357548,0.07000524,1.82244452
-5.90395198,8.34108628,0.01778394,1.17104739,0.01596142,0.00000000,8.47664007,4.03778626,0.07169684,1.83292083
-5.89794897,8.50557346,0.01762310,1.19511946,0.01619969,0.00000000,8.65609296,4.14723690,0.07336086,1.84557213
-5.89194597,8.67219037,0.01743105,1.21785993,0.01642401,0.00000000,8.82760049,4.26018227,0.07496247,1.85971309
-5.88594297,8.83769853,0.01721266,1.23868756,0.01662812,0.00000000,8.98871896,4.37489692,0.07646764,1.87467852
-5.87993997,8.99906627,0.01697373,1.25707808,0.01680681,0.00000000,9.13736034,4.48970598,0.07784406,1.88984253
-5.87393697,9.15352061,0.01672085,1.27257395,0.01695606,0.00000000,9.27180958,4.60301045,0.07906192,1.90463415
-5.86793397,9.29858353,0.01646130,1.28479146,0.01707313,0.00000000,9.39072274,4.71330673,0.08009464,1.91854918
-5.86193097,9.43209295,0.01620289,1.29342489,0.01715661,0.00000000,9.49310740,4.81920032,0.08091945,1.93115792
-5.85592796,9.55220949,0.01595373,1.29824804,0.01720639,0.00000000,9.57828834,4.91941433,0.08151788,1.94210904
-5.84992496,9.65741089,0.01572201,1.29911309,0.01722359,0.00000000,9.64586207,5.01279350,0.08187604,1.95112984
-5.84392196,9.74647671,0.01551575,1.29594732,0.01721047,0.00000000,9.69564429,5.09830478,0.08198481,1.95802339
-5.83791896,9.81846602,0.01534256,1.28874801,0.01717022,0.00000000,9.72761488,5.17503550,0.08183993,1.96266321
-5.83191596,9.87269103,0.01520935,1.27757586,0.01710685,0.00000000,9.74186456,5.24219032,0.08144194,1.96498617
-5.82591296,9.90868970,0.01512213,1.26254766,0.01702494,0.00000000,9.73854740,5.29908794,0.08079600,1.96498430
-5.81990995,9.92619958,0.01508579,1.24382842,0.01692946,0.00000000,9.71784233,5.34515846,0.07991170,1.96269630
-5.81390695,9.92513510,0.01510392,1.22162354,0.01682561,0.00000000,9.67992618,5.37994193,0.07880270,1.95819920
-5.80790395,9.90556964,0.01517868,1.19617125,0.01671856,0.00000000,9.62495959,5.40308858,0.07748639,1.95160077
-5.80190095,9.86772300,0.01531071,1.16773581,0.01661336,0.00000000,9.55308614,5.41436063,0.07598346,1.94303308
-5.79589795,9.81195447,0.01549912,1.13660134,0.01651477,0.00000000,9.46444408,5.41363550,0.07431743,1.93264711
-5.78989495,9.73876076,0.01574150,1.10306664,0.01642713,0.00000000,9.35918885,5.40090999,0.07251418,1.92060888
-5.78389195,9.64877759,0.01603400,1.06744089,0.01635429,0.00000000,9.23752414,5.37630467,0.07060144,1.90709658
-5.77788894,9.54278356,0.01637146,1.03004012,0.01629951,0.00000000,9.09973832,5.34006771,0.06860826,1.89229875
-5.77188594,9.42170442,0.01674753,0.99118442,0.01626542,0.00000000,8.94624322,5.29257730,0.06656447,1.87641313
-5.76588294,9.28661599,0.01715492,0.95119562,0.01625400,0.00000000,8.77761173,5.23434197,0.06450013,1.85964577
-5.75987994,9.13874408,0.01758559,0.91039535,0.01626655,0.00000000,8.59461139,5.16599789,0.06244498,1.84221022
-5.75387694,8.97946004,0.01803096,0.86910328,0.01630364,0.00000000,8.39823114,5.08830291,0.06042793,1.82432625
-5.74787394,8.81027100,0.01848215,0.82763530,0.01636518,0.00000000,8.18969945,5.00212694,0.05847646,1.80621814
-5.74187094,8.63280433,0.01893021,0.78630168,0.01645035,0.00000000,7.97049239,4.90843870,0.05661620,1.78811213
-5.73586793,8.44878648,0.01936631,0.74540504,0.01655763,0.00000000,7.74233115,4.80828903,0.05487036,1.77023317
-5.72986493,8.26001662,0.01978192,0.70523813,0.01668483,0.00000000,7.50716933,4.70279150,0.05325937,1.75280089
-5.72386193,8.06833641,0.02016894,0.66608148,0.01682909,0.00000000,7.26717072,4.59310079,0.05180044,1.73602509
-5.71785893,7.87559707,0.02051988,0.62820090,0.01698694,0.00000000,7.02467907,4.48038988,0.05050732,1.72010094
-5.71185593,7.68362556,0.02082790,0.59184506,0.01715430,0.00000000,6.78218146,4.36582708,0.04939003,1.70520427
-5.70585293,7.49419159,0.02108688,0.55724308,0.01732661,0.00000000,6.54226730,4.25055387,0.04845473,1.69148721
-5.69984992,7.30897714,0.02129150,0.52460244,0.01749886,0.00000000,6.30758470,4.13566450,0.04770371,1.67907473
-5.69384692,7.12955006,0.02143721,0.49410707,0.01766574,0.00000000,6.08079599,4.02218833,0.04713548,1.66806221
-5.68784392,6.95734288,0.02152030,0.46591593,0.01782178,0.00000000,5.86453364,3.91107549,0.04674492,1.65851441
-5.68184092,6.79363763,0.02153782,0.44016191,0.01796147,0.00000000,5.66135779,3.80318643,0.04652360,1.65046599
-5.67583792,6.63955701,0.02148766,0.41695116,0.01807946,0.00000000,5.47371561,3.69928546,0.04646018,1.64392360
-5.66983492,6.49606177,0.02136849,0.39636291,0.01817078,0.00000000,5.30390294,3.60003844,0.04654085,1.63886946
-5.66383192,6.36395368,0.02117981,0.37844944,0.01823098,0.00000000,5.15402788,3.50601411,0.04674990,1.63526621
-5.65782891,6.24388301,0.02092192,0.36323649,0.01825636,0.00000000,5.02597593,3.41768879,0.04707030,1.63306276
-5.65182591,6.13635944,0.02059598,0.35072373,0.01824417,0.00000000,4.92137631,3.33545357,0.04748432,1.63220066
-5.64582291,6.04176482,0.02020399,0.34088541,0.01819274,0.00000000,4.84156894,3.25962340,0.04797412,1.63262058
-5.63981991,5.96036637,0.01974884,0.33367100,0.01810168,0.00000000,4.78757215,3.19044701,0.04852236,1.63426839
-5.63381691,5.89232892,0.01923433,0.32900586,0.01797189,0.00000000,4.76005113,3.12811704,0.04911274,1.63710041
-5.62781391,5.83772518,0.01866517,0.32679191,0.01780570,0.00000000,4.75928798,3.07277942,0.04973042,1.64108738
-5.62181091,5.79654304,0.01804697,0.32690834,0.01760685,0.00000000,4.78515444,3.02454142,0.05036248,1.64621690
-5.61580790,5.76868976,0.01738622,0.32921243,0.01738042,0.00000000,4.83708896,2.98347793,0.05099812,1.65249411
-5.60980490,5.75399275,0.01669026,0.33354057,0.01713279,0.00000000,4.91408022,2.94963549,0.05162892,1.65994059
-5.60380190,5.75219754,0.01596720,0.33970958,0.01687145,0.00000000,5.01465919,2.92303420,0.05224885,1.66859156
-5.59779890,5.76296364,0.01522581,0.34751848,0.01660482,0.00000000,5.13690219,2.90366728,0.05285425,1.67849160
-5.59179590,5.78585919,0.01447539,0.35675081,0.01634207,0.00000000,5.27844692,2.89149884,0.05344373,1.68968914
-5.58579290,5.82035558,0.01372565,0.36717758,0.01609279,0.00000000,5.43652313,2.88645988,0.05401799,1.70223030
-5.57978989,5.86582320,0.01298649,0.37856091,0.01586680,0.00000000,5.60799897,2.88844329,0.05457949,1.71615229
-5.57378689,5.92152912,0.01226784,0.39065827,0.01567379,0.00000000,5.78944307,2.89729805,0.05513219,1.73147694
-5.56778389,5.98663772,0.01157943,0.40322735,0.01552310,0.00000000,5.97720139,2.91282328,0.05568120,1.74820472
-5.56178089,6.06021446,0.01093059,0.41603142,0.01542340,0.00000000,6.16748698,2.93476249,0.05623238,1.76630965
-5.55577789,6.14123294,0.01033004,0.42884478,0.01538245,0.00000000,6.35647947,2.96279837,0.05679203,1.78573508
-5.54977489,6.22858499,0.00978569,0.44145839,0.01540686,0.00000000,6.54043031,2.99654844,0.05736653,1.80639083
-5.54377189,6.32109296,0.00930442,0.45368503,0.01550188,0.00000000,6.71576911,3.03556167,0.05796194,1.82815138
-5.53776888,6.41752350,0.00889195,0.46536390,0.01567122,0.00000000,6.87920578,3.07931623,0.05858377,1.85085522
-5.53176588,6.51660161,0.00855265,0.47636439,0.01591691,0.00000000,7.02782320,3.12721843,0.05923662,1.87430512
-5.52576288,6.61702409,0.00828948,0.48658852,0.01623920,0.00000000,7.15915547,3.17860279,0.05992395,1.89826925
-5.51975988,6.71747131,0.00810382,0.49597210,0.01663649,0.00000000,7.27124725,3.23273352,0.06064782,1.92248280
-5.51375688,6.81661689,0.00799552,0.50448438,0.01710532,0.00000000,7.36269095,3.28880725,0.06140873,1.94665013
-5.50775388,6.91313489,0.00796279,0.51212611,0.01764034,0.00000000,7.43263952,3.34595745,0.06220541,1.97044722
-5.50175088,7.00570489,0.00800230,0.51892618,0.01823447,0.00000000,7.48079453,3.40326060,0.06303475,1.99352453
-5.49574787,7.09301554,0.00810920,0.52493703,0.01887891,0.00000000,7.50737027,3.45974457,0.06389173,2.01551028
-5.48974487,7.17376777,0.00827723,0.53022899,0.01956335,0.00000000,7.51303659,3.51439949,0.06476943,2.03601433
-5.48374187,7.24667919,0.00849886,0.53488408,0.02027617,0.00000000,7.49884455,3.56619156,0.06565916,2.05463305
