energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.37160562,0.07935858,0.00000000,0.85521435,0.00000000,0.44804033,0.29625312
-5.99399700,1.38867111,0.08171745,0.00000000,0.86674143,0.00000000,0.44841795,0.30227442
-5.98799400,1.40127350,0.08381429,0.00000000,0.87539238,0.00000000,0.44737724,0.30737956
-5.98199100,1.40909345,0.08560660,0.00000000,0.88100822,0.00000000,0.44487765,0.31147588
-5.97598799,1.41192576,0.08705869,0.00000000,0.88349221,0.00000000,0.44091517,0.31449410
-5.96998499,1.40967350,0.08814187,0.00000000,0.88280661,0.00000000,0.43551861,0.31638774
-5.96398199,1.40233993,0.08883454,0.00000000,0.87896827,0.00000000,0.42874510,0.31713219
-5.95797899,1.39001879,0.08912202,0.00000000,0.87204326,0.00000000,0.42067533,0.31672332
-5.95197599,1.37288357,0.08899643,0.00000000,0.86214094,0.00000000,0.41140850,0.31517596
-5.94597299,1.35117618,0.08845643,0.00000000,0.84940779,0.00000000,0.40105739,0.31252209
-5.93996998,1.32519561,0.08750686,0.00000000,0.83402124,0.00000000,0.38974370,0.30880910
-5.93396698,1.29528697,0.08615839,0.00000000,0.81618384,0.00000000,0.37759380,0.30409793
-5.92796398,1.26183123,0.08442711,0.00000000,0.79611781,0.00000000,0.36473510,0.29846125
-5.92196098,1.22523594,0.08233408,0.00000000,0.77406030,0.00000000,0.35129307,0.29198177
-5.91595798,1.18592707,0.07990483,0.00000000,0.75025929,0.00000000,0.33738914,0.28475048
-5.90995498,1.14434200,0.07716894,0.00000000,0.72497013,0.00000000,0.32313923,0.27686513
-5.90395198,1.10092361,0.07415941,0.00000000,0.69845279,0.00000000,0.30865310,0.26842864
-5.89794897,1.05611543,0.07091219,0.00000000,0.67096966,0.00000000,0.29403444,0.25954762
-5.89194597,1.01035766,0.06746555,0.00000000,0.64278375,0.00000000,0.27938139,0.25033084
-5.88594297,0.96408386,0.06385948,0.00000000,0.61415733,0.00000000,0.26478769,0.24088784
-5.87993997,0.91771828,0.06013505,0.00000000,0.58535073,0.00000000,0.25034409,0.23132743
-5.87393697,0.87167358,0.05633375,0.00000000,0.55662129,0.00000000,0.23613993,0.22175632
