energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up
-6.00000000,9.22687594,1.48970177,6.30923329,0.00665439,0.88774767,0.58125743,0.23892519,0.08095705,1.23228900
-5.99399700,9.27249165,1.51665825,6.30623049,0.00704594,0.87377828,0.60110461,0.24466638,0.08380442,1.26692451
-5.98799400,9.34238418,1.54733047,6.31689836,0.00745218,0.86387360,0.62467358,0.25141803,0.08663715,1.30672244
-5.98199100,9.43368418,1.58111100,6.33938674,0.00787362,0.85760556,0.65178296,0.25910047,0.08941639,1.35133059
-5.97598799,9.54357283,1.61743683,6.37190515,0.00831126,0.85455257,0.68220514,0.26763781,0.09210669,1.40036430
-5.96998499,9.66929848,1.65579038,6.41273616,0.00876661,0.85430395,0.71566466,0.27695838,0.09467672,1.45340648
-5.96398199,9.80818069,1.69569718,6.46023947,0.00924153,0.85646229,0.75183734,0.28699475,0.09709977,1.51000753
-5.95797899,9.95760447,1.73672078,6.51284853,0.00973816,0.86064419,0.79035034,0.29768335,0.09935401,1.56968544
-5.95197599,10.11500768,1.77845567,6.56906159,0.01025874,0.86647960,0.83078357,0.30896398,0.10142263,1.63192650
-5.94597299,10.27786534,1.82051897,6.62742953,0.01080549,0.87361013,0.87267273,0.32077905,0.10329371,1.69618729
-5.93996998,10.44367436,1.86254197,6.68654282,0.01138043,0.88168672,0.91551417,0.33307297,0.10495992,1.76189807
-5.93396698,10.60994238,1.90416210,6.74502004,0.01198526,0.89036717,0.95877173,0.34579155,0.10641808,1.82846818
-5.92796398,10.77418397,1.94501653,6.80150011,0.01262117,0.89931387,1.00188567,0.35888171,0.10766858,1.89529362
-5.92196098,10.93392672,1.98473779,6.85463996,0.01328881,0.90819220,1.04428356,0.37229143,0.10871469,1.96176693
-5.91595798,11.08672904,2.02295221,6.90311909,0.01398814,0.91666979,1.08539305,0.38597014,0.10956187,2.02728934
-5.90995498,11.23021062,2.05928145,6.94565156,0.01471847,0.92441701,1.12465608,0.39986947,0.11021706,2.09128508
-5.90395198,11.36209524,2.09334736,6.98100562,0.01547844,0.93110880,1.16154425,0.41394441,0.11068805,2.15321728
