energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,8.62040585,0.14550760,0.12296687,1.21374178,0.63608974,0.95079265,3.56252040,0.20960626,2.66969278
-5.99399700,8.57178243,0.14191528,0.12187365,1.21761797,0.63209109,0.94351840,3.54097508,0.20859038,2.65740024
-5.98799400,8.50120738,0.13845458,0.12063650,1.21899947,0.62776991,0.93515433,3.50901673,0.20669249,2.63828232
-5.98199100,8.40946770,0.13514186,0.11927145,1.21787171,0.62312229,0.92570255,3.46706341,0.20394683,2.61255111
-5.97598799,8.29745377,0.13198179,0.11779134,1.21422048,0.61812379,0.91513920,3.41560355,0.20040073,2.58045564
-5.96998499,8.16615295,0.12896867,0.11620558,1.20803413,0.61273190,0.90341966,3.35519026,0.19611329,2.54227913
-5.96398199,8.01664732,0.12608810,0.11452028,1.19930656,0.60688953,0.89048540,3.28643651,0.19115391,2.49833720
-5.95797899,7.85011484,0.12331922,0.11273838,1.18804073,0.60052957,0.87627220,3.21001093,0.18560058,2.44897720
-5.95197599,7.66783260,0.12063707,0.11086009,1.17425271,0.59357997,0.86071901,3.12663417,0.17953811,2.39457812
-5.94597299,7.47118132,0.11801518,0.10888333,1.15797559,0.58596913,0.84377703,3.03707526,0.17305626,2.33555102
-5.93996998,7.26164940,0.11542802,0.10680436,1.13926351,0.57763130,0.82541837,2.94214790,0.16624788,2.27233957
-5.93396698,7.04083558,0.11285330,0.10461846,1.11819507,0.56851162,0.80564383,2.84270613,0.15920717,2.20542027
-5.92796398,6.81044886,0.11027400,0.10232059,1.09487630,0.55857059,0.78448932,2.73963918,0.15202795,2.13530234
-5.92196098,6.57230491,0.10767986,0.09990614,1.06944284,0.54778783,0.76203057,2.63386518,0.14480221,2.06252666
-5.91595798,6.32831814,0.10506850,0.09737163,1.04206111,0.53616481,0.73838585,2.52632369,0.13761870,1.98766388
-5.90995498,6.08048921,0.10244593,0.09471533,1.01292863,0.52372669,0.71371664,2.41796673,0.13056186,1.91131147
-5.90395198,5.83088800,0.09982651,0.09193787,0.98227324,0.51052308,0.68822616,2.30974866,0.12371090,1.83408967
-5.89794897,5.58163234,0.09723245,0.08904277,0.95035142,0.49662789,0.66215597,2.20261485,0.11713913,1.75663642
-5.89194597,5.33486321,0.09469275,0.08603683,0.91744554,0.48213828,0.63578084,2.09748950,0.11091349,1.67960149
-5.88594297,5.09271731,0.09224184,0.08293048,0.88386051,0.46717284,0.60940222,1.99526294,0.10509436,1.60363991
-5.87993997,4.85729826,0.08991786,0.07973799,0.84991961,0.45186929,0.58334071,1.89677889,0.09973544,1.52940504
-5.87393697,4.63064743,0.08776084,0.07647765,0.81595992,0.43638166,0.55792792,1.80282213,0.09488399,1.45754148
-5.86793397,4.41471591,0.08581070,0.07317179,0.78232738,0.42087730,0.53349830,1.71410705,0.09058099,1.38867817
-5.86193097,4.21133861,0.08410551,0.06984676,0.74937176,0.40553371,0.51038121,1.63126763,0.08686162,1.32342192
-5.85592796,4.02221157,0.08267968,0.06653282,0.71744165,0.39053552,0.48889368,1.55484918,0.08375563,1.26235151
-5.84992496,3.84887322,0.08156261,0.06326394,0.68687959,0.37607142,0.46933417,1.48530222,0.08128790,1.20601256
-5.84392196,3.69269019,0.08077758,0.06007757,0.65801760,0.36233141,0.45197754,1.42297875,0.07947891,1.15491330
-5.83791896,3.55484765,0.08034098,0.05701432,0.63117303,0.34950414,0.43707133,1.36813108,0.07834519,1.10952105
-5.83191596,3.43634423,0.08026199,0.05411753,0.60664489,0.33777441,0.42483333,1.32091302,0.07789970,1.07025948
-5.82591296,3.33799092,0.08054264,0.05143286,0.58471073,0.32732088,0.41545048,1.28138357,0.07815210,1.03750649
-5.81990995,3.26041325,0.08117818,0.04900772,0.56562394,0.31831369,0.40907868,1.24951262,0.07910892,1.01159230
-5.81390695,3.20405584,0.08215774,0.04689070,0.54961146,0.31091223,0.40584350,1.22518838,0.08077351,0.99279780
-5.80790395,3.16918824,0.08346523,0.04513083,0.53687195,0.30526266,0.40584133,1.20822614,0.08314587,0.98135259
-5.80190095,3.15591084,0.08508034,0.04377683,0.52757412,0.30149540,0.40914065,1.19837775,0.08622231,0.97743275
-5.79589795,3.16415992,0.08697960,0.04287618,0.52185529,0.29972237,0.41578316,1.19534125,0.08999495,0.98115785
-5.78989495,3.19371065,0.08913734,0.04247422,0.51981998,0.30003410,0.42578435,1.19877029,0.09445102,0.99258729
-5.78389195,3.24417756,0.09152662,0.04261301,0.52153839,0.30249662,0.43913343,1.20828257,0.09957213,1.01171580
-5.77788894,3.31501188,0.09411982,0.04333025,0.52704479,0.30714838,0.45579228,1.22346710,0.10533341,1.03846813
-5.77188594,3.40549559,0.09688911,0.04465800,0.53633565,0.31399712,0.47569346,1.24388981,0.11170265,1.07269317
-5.76588294,3.51473267,0.09980664,0.04662146,0.54936756,0.32301699,0.49873738,1.26909734,0.11863946,1.11415767
-5.75987994,3.64163803,0.10284442,0.04923772,0.56605494,0.33414598,0.52478857,1.29861893,0.12609457,1.16254002
-5.75387694,3.78492528,0.10597403,0.05251446,0.58626759,0.34728399,0.55367161,1.33196661,0.13400921,1.21742449
-5.74787394,3.94309465,0.10916613,0.05644882,0.60982833,0.36229160,0.58516677,1.36863374,0.14231482,1.27829658
-5.74187094,4.11442274,0.11238987,0.06102633,0.63651084,0.37898981,0.61900608,1.40809250,0.15093299,1.34453985
-5.73586793,4.29695579,0.11561228,0.06622009,0.66603793,0.39716088,0.65487004,1.44979068,0.15977571,1.41543511
-5.72986493,4.48850840,0.11879770,0.07199009,0.69808070,0.41655044,0.69238565,1.49314850,0.16874604,1.49016221
-5.72386193,4.68666933,0.12190739,0.07828297,0.73225863,0.43687091,0.73112611,1.53755596,0.17773916,1.56780517
-5.71785893,4.88881584,0.12489936,0.08503203,0.76814123,0.45780619,0.77061263,1.58237153,0.18664372,1.64736078
-5.71185593,5.09213783,0.12772845,0.09215769,0.80525124,0.47901776,0.81031868,1.62692266,0.19534364,1.72775114
-5.70585293,5.29367242,0.13034687,0.09956839,0.84306986,0.50015185,0.84967683,1.67050864,0.20372021,1.80783989
-5.69984992,5.49034897,0.13270490,0.10716197,0.88104395,0.52084762,0.88808824,1.71240630,0.21165437,1.88645228
-5.69384692,5.67904426,0.13475215,0.11482747,0.91859552,0.54074611,0.92493470,1.75187851,0.21902927,1.96239845
-5.68784392,5.85664662,0.13643898,0.12244744,0.95513314,0.55949965,0.95959294,1.78818576,0.22573285,2.03449958
-5.68184092,6.02012721,0.13771823,0.12990057,0.99006536,0.57678132,0.99145080,1.82060037,0.23166041,2.10161600
-5.67583792,6.16661635,0.13854713,0.13706473,1.02281563,0.59229430,1.01992466,1.84842300,0.23671714,2.16267645
-5.66983492,6.29348187,0.13888923,0.14382021,1.05283829,0.60578050,1.04447747,1.87100093,0.24082038,2.21670748
