energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.45514267,0.00696258,0.54154082,2.85869565,0.52259930,0.09770739,0.61232758,0.10147687,0.32463955
-5.99399700,2.52502422,0.00731755,0.55428129,2.95740220,0.52905563,0.10044737,0.63641524,0.10504428,0.33180568
-5.98799400,2.59036921,0.00768989,0.56603697,3.05209860,0.53496919,0.10289686,0.65999439,0.10843701,0.33775495
-5.98199100,2.65130549,0.00808641,0.57678007,3.14296064,0.54027442,0.10506837,0.68314021,0.11167566,0.34251695
-5.97598799,2.70814112,0.00851517,0.58652532,3.23032070,0.54497222,0.10698135,0.70596044,0.11478778,0.34614656
-5.96998499,2.76133939,0.00898542,0.59532412,3.31463759,0.54912495,0.10866126,0.72858965,0.11780683,0.34872040
-5.96398199,2.81148971,0.00950759,0.60325756,3.39646262,0.55284987,0.11013847,0.75118272,0.12077096,0.35033249
-5.95797899,2.85927602,0.01009316,0.61042893,3.47640382,0.55631162,0.11144699,0.77390822,0.12372173,0.35108957
-5.95197599,2.90544491,0.01075457,0.61695604,3.55509049,0.55971415,0.11262334,0.79694185,0.12670269,0.35110622
-5.94597299,2.95077492,0.01150503,0.62296391,3.63313988,0.56329263,0.11370537,0.82046039,0.12975800,0.35050005
-5.93996998,2.99604876,0.01235835,0.62857814,3.71112748,0.56730578,0.11473120,0.84463643,0.13293108,0.34938728
-5.93396698,3.04202945,0.01332869,0.63391921,3.78956203,0.57202887,0.11573847,0.86963404,0.13626336,0.34787884
-5.92796398,3.08944110,0.01443024,0.63909806,3.86886580,0.57774774,0.11676362,0.89560536,0.13979311,0.34607711
-5.92196098,3.13895470,0.01567695,0.64421282,3.94936030,0.58475399,0.11784150,0.92268827,0.14355442,0.34407356
-5.91595798,3.19117874,0.01708212,0.64934691,4.03125707,0.59334126,0.11900520,0.95100480,0.14757627,0.34194704
-5.90995498,3.24665413,0.01865801,0.65456823,4.11465291,0.60380278,0.12028601,0.98066028,0.15188172,0.33976295
