energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.12868556,0.09047352,0.00000000,0.00001255,0.00883263,0.10789999,0.03798038
-5.99399700,0.14074698,0.09895340,0.00000000,0.00001372,0.00966049,0.11801322,0.04154020
-5.98799400,0.15283341,0.10745087,0.00000000,0.00001490,0.01049007,0.12814742,0.04510740
-5.98199100,0.16476594,0.11584015,0.00000000,0.00001606,0.01130909,0.13815259,0.04862918
-5.97598799,0.17635451,0.12398759,0.00000000,0.00001719,0.01210449,0.14786934,0.05204944
-5.96998499,0.18740260,0.13175505,0.00000000,0.00001827,0.01286280,0.15713293,0.05531019
-5.96398199,0.19771273,0.13900368,0.00000000,0.00001928,0.01357046,0.16577774,0.05835313
-5.95797899,0.20709214,0.14559795,0.00000000,0.00002019,0.01421424,0.17364216,0.06112138
-5.95197599,0.21535875,0.15140987,0.00000000,0.00002100,0.01478164,0.18057354,0.06356120
-5.94597299,0.22234707,0.15632306,0.00000000,0.00002168,0.01526130,0.18643308,0.06562374
-5.93996998,0.22791361,0.16023666,0.00000000,0.00002222,0.01564337,0.19110049,0.06726666
-5.93396698,0.23194182,0.16306873,0.00000000,0.00002261,0.01591986,0.19447806,0.06845555
-5.92796398,0.23434617,0.16475912,0.00000000,0.00002285,0.01608489,0.19649404,0.06916518
-5.92196098,0.23507511,0.16527160,0.00000000,0.00002292,0.01613493,0.19710522,0.06938033
-5.91595798,0.23411297,0.16459514,0.00000000,0.00002282,0.01606889,0.19629845,0.06909638
-5.90995498,0.23148047,0.16274432,0.00000000,0.00002257,0.01588821,0.19409110,0.06831945
-5.90395198,0.22723404,0.15975879,0.00000000,0.00002215,0.01559677,0.19053049,0.06706620
-5.89794897,0.22146377,0.15570189,0.00000000,0.00002159,0.01520073,0.18569212,0.06536322
-5.89194597,0.21429026,0.15065841,0.00000000,0.00002089,0.01470840,0.17967710,0.06324612
-5.88594297,0.20586046,0.14473162,0.00000001,0.00002007,0.01412985,0.17260861,0.06075829
-5.87993997,0.19634267,0.13803985,0.00000001,0.00001914,0.01347665,0.16462772,0.05794943
-5.87393697,0.18592101,0.13071250,0.00000001,0.00001813,0.01276146,0.15588873,0.05487391
-5.86793397,0.17478958,0.12288599,0.00000002,0.00001704,0.01199761,0.14655430,0.05158908
