energy_ev,total_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.02318131,0.01439505,0.01201007,0.00000214,0.00097763,0.01092379,0.00000000
-5.99399700,0.02772901,0.01721905,0.01436621,0.00000256,0.00116942,0.01306681,0.00000000
-5.98799400,0.03293068,0.02044915,0.01706116,0.00000304,0.00138879,0.01551800,0.00000000
-5.98199100,0.03882732,0.02411080,0.02011618,0.00000359,0.00163747,0.01829667,0.00000000
-5.97598799,0.04545109,0.02822397,0.02354793,0.00000420,0.00191682,0.02141799,0.00000000
-5.96998499,0.05282283,0.03280158,0.02736720,0.00000488,0.00222772,0.02489177,0.00000000
-5.96398199,0.06094941,0.03784789,0.03157757,0.00000563,0.00257045,0.02872123,0.00000000
-5.95797899,0.06982134,0.04335699,0.03617413,0.00000645,0.00294462,0.03290190,0.00000000
-5.95197599,0.07941049,0.04931139,0.04114231,0.00000734,0.00334905,0.03742051,0.00000000
-5.94597299,0.08966832,0.05568089,0.04645699,0.00000829,0.00378170,0.04225416,0.00000000
-5.93996998,0.10052456,0.06242180,0.05208179,0.00000929,0.00423960,0.04736972,0.00000000
-5.93396698,0.11188659,0.06947653,0.05796876,0.00001034,0.00471886,0.05272350,0.00000000
-5.92796398,0.12363959,0.07677365,0.06405848,0.00001143,0.00521466,0.05826134,0.00000001
-5.92196098,0.13564760,0.08422855,0.07028059,0.00001254,0.00572127,0.06391908,0.00000001
-5.91595798,0.14775543,0.09174462,0.07655479,0.00001366,0.00623219,0.06962349,0.00000001
-5.90995498,0.15979164,0.09921507,0.08279243,0.00001477,0.00674021,0.07529361,0.00000002
-5.90395198,0.17157231,0.10652520,0.08889843,0.00001585,0.00723764,0.08084257,0.00000002
-5.89794897,0.18290576,0.11355534,0.09477380,0.00001690,0.00771646,0.08617975,0.00000003
-5.89194597,0.19359789,0.12018410,0.10031838,0.00001789,0.00816858,0.09121327,0.00000005
-5.88594297,0.20345819,0.12629199,0.10543402,0.00001879,0.00858611,0.09585284,0.00000007
-5.87993997,0.21230596,0.13176523,0.11002783,0.00001961,0.00896159,0.10001257,0.00000010
-5.87393697,0.21997672,0.13649963,0.11401558,0.00002031,0.00928833,0.10361403,0.00000014
-5.86793397,0.22632849,0.14040429,0.11732496,0.00002089,0.00956063,0.10658906,0.00000019
-5.86193097,0.23124767,0.14340516,0.11989879,0.00002133,0.00977411,0.10888255,0.00000026
-5.85592796,0.23465431,0.14544808,0.12169777,0.00002163,0.00992589,0.11045477,0.00000036
-5.84992496,0.23650664,0.14650133,0.12270294,0.00002178,0.01001487,0.11128342,0.00000049
-5.84392196,0.23680452,0.14655758,0.12291765,0.00002178,0.01004184,0.11136515,0.00000066
-5.83791896,0.23559190,0.14563504,0.12236894,0.00002163,0.01000970,0.11071659,0.00000089
-5.83191596,0.23295812,0.14377796,0.12110836,0.00002134,0.00992347,0.10937478,0.00000119
-5.82591296,0.22903802,0.14105633,0.11921224,0.00002092,0.00979038,0.10739708,0.00000157
-5.81990995,0.22401100,0.13756491,0.11678134,0.00002037,0.00961989,0.10486057,0.00000207
-5.81390695,0.21809898,0.13342153,0.11394005,0.00001972,0.00942360,0.10186091,0.00000270
-5.80790395,0.21156359,0.12876499,0.11083503,0.00001899,0.00921523,0.09851084,0.00000349
-5.80190095,0.20470245,0.12375233,0.10763357,0.00001819,0.00901049,0.09493826,0.00000449
-5.79589795,0.19784493,0.11855593,0.10452145,0.00001735,0.00882691,0.09128418,0.00000574
-5.78989495,0.19134744,0.11336032,0.10170067,0.00001649,0.00868371,0.08770033,0.00000727
-5.78389195,0.18558828,0.10835884,0.09938684,0.00001564,0.00860158,0.08434673,0.00000915
-5.77788894,0.18096227,0.10375037,0.09780635,0.00001483,0.00860247,0.08138925,0.00001143
-5.77188594,0.17787512,0.09973599,0.09719342,0.00001407,0.00870930,0.07899703,0.00001418
-5.76588294,0.17673751,0.09651584,0.09778679,0.00001340,0.00894571,0.07733995,0.00001747
-5.75987994,0.17795893,0.09428594,0.09982621,0.00001284,0.00933567,0.07658611,0.00002137
-5.75387694,0.18194121,0.09323516,0.10354862,0.00001241,0.00990316,0.07689921,0.00002595
-5.74787394,0.18907149,0.09354223,0.10918391,0.00001214,0.01067166,0.07843596,0.00003128
-5.74187094,0.19971485,0.09537274,0.11695032,0.00001203,0.01166369,0.08134328,0.00003744
-5.73586793,0.21420622,0.09887612,0.12704939,0.00001211,0.01290027,0.08575544,0.00004450
-5.72986493,0.23284186,0.10418253,0.13966044,0.00001240,0.01440026,0.09179105,0.00005251
-5.72386193,0.25587021,0.11139969,0.15493473,0.00001290,0.01617970,0.09954986,0.00006153
-5.71785893,0.28348241,0.12060962,0.17298926,0.00001363,0.01825111,0.10910945,0.00007157
-5.71185593,0.31580262,0.13186533,0.19390052,0.00001460,0.02062275,0.12052186,0.00008268
-5.70585293,0.35287842,0.14518762,0.21769825,0.00001581,0.02329788,0.13381017,0.00009482
-5.69984992,0.39467186,0.16056198,0.24435960,0.00001727,0.02627406,0.14896536,0.00010798
-5.69384692,0.44105132,0.17793585,0.27380387,0.00001899,0.02954251,0.16594331,0.00012210
-5.68784392,0.49178509,0.19721636,0.30588832,0.00002099,0.03308760,0.18466243,0.00013710
-5.68184092,0.54653683,0.21826878,0.34040529,0.00002326,0.03688642,0.20500186,0.00015286
-5.67583792,0.60486377,0.24091587,0.37708101,0.00002583,0.04090863,0.22680062,0.00016925
-5.66983492,0.66621798,0.26493831,0.41557640,0.00002873,0.04511641,0.24985783,0.00018609
-5.66383192,0.72995112,0.29007648,0.45549020,0.00003198,0.04946474,0.27393410,0.00020319
-5.65782891,0.79532305,0.31603349,0.49636436,0.00003563,0.05390194,0.29875439,0.00022034
-5.65182591,0.86151430,0.34247980,0.53769212,0.00003975,0.05837039,0.32401215,0.00023732
-5.64582291,0.92764242,0.36905931,0.57892834,0.00004442,0.06280761,0.34937503,0.00025388
-5.63981991,0.99278189,0.39539674,0.61950221,0.00004974,0.06714760,0.37449186,0.00026980
-5.63381691,1.05598715,0.42110636,0.65883175,0.00005585,0.07132224,0.39900086,0.00028484
-5.62781391,1.11631800,0.44580168,0.69633992,0.00006291,0.07526309,0.42253885,0.00029879
-5.62181091,1.17286654,0.46910586,0.73147154,0.00007113,0.07890310,0.44475112,0.00031146
-5.61580790,1.22478467,0.49066245,0.76371052,0.00008072,0.08217847,0.46530164,0.00032269
-5.60980490,1.27131095,0.51014600,0.79259665,0.00009198,0.08503051,0.48388328,0.00033237
-5.60380190,1.31179578,0.52727221,0.81774117,0.00010522,0.08740730,0.50022744,0.00034042
-5.59779890,1.34572358,0.54180705,0.83884045,0.00012078,0.08926531,0.51411284,0.00034683
-5.59179590,1.37273109,0.55357451,0.85568714,0.00013906,0.09057070,0.52537301,0.00035162
-5.58579290,1.39262079,0.56246256,0.86817811,0.00016047,0.09130034,0.53390203,0.00035489
-5.57978989,1.40536863,0.56842703,0.87631881,0.00018544,0.09144256,0.53965841,0.00035677
-5.57378689,1.41112576,0.57149317,0.88022381,0.00021444,0.09099748,0.54266664,0.00035745
-5.56778389,1.41021384,0.57175476,0.88011322,0.00024792,0.08997699,0.54301656,0.00035716
-5.56178089,1.40311425,0.56937079,0.87630533,0.00028630,0.08840436,0.54086031,0.00035617
-5.55577789,1.39045139,0.56455984,0.86920556,0.00032999,0.08631352,0.53640711,0.00035478
-5.54977489,1.37297085,0.55759227,0.85929219,0.00037934,0.08374799,0.52991599,0.00035330
-5.54377189,1.35151342,0.54878068,0.84709960,0.00043463,0.08075963,0.52168682,0.00035203
-5.53776888,1.32698602,0.53846904,0.83319966,0.00049603,0.07740714,0.51205002,0.00035129
-5.53176588,1.30033094,0.52702084,0.81818223,0.00056362,0.07375441,0.50135538,0.00035136
-5.52576288,1.27249471,0.51480696,0.80263555,0.00063732,0.06986891,0.48996060,0.00035249
-5.51975988,1.24439818,0.50219379,0.78712761,0.00071693,0.06582002,0.47821994,0.00035490
-5.51375688,1.21690905,0.48953206,0.77218920,0.00080205,0.06167745,0.46647356,0.00035876
-5.50775388,1.19081813,0.47714689,0.75829958,0.00089214,0.05750982,0.45503806,0.00036417
-5.50175088,1.16682051,0.46532964,0.74587531,0.00098647,0.05338344,0.44419862,0.00037119
-5.49574787,1.14550217,0.45433167,0.73526278,0.00108415,0.04936126,0.43420295,0.00037979
-5.48974487,1.12733285,0.44436054,0.72673474,0.00118412,0.04550212,0.42525752,0.00038992
