energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,8.72190363,1.86434076,0.75169534,0.00232500,2.66962926,0.15007054,2.57388272,2.87021727,1.87024831
-5.99399700,8.67848695,1.83734850,0.74615979,0.00230129,2.66462446,0.14895524,2.56035775,2.86845785,1.86429037
-5.98799400,8.62421098,1.81586514,0.74107340,0.00228100,2.65185273,0.14780057,2.54867726,2.85865808,1.85146140
-5.98199100,8.56092130,1.80010502,0.73659448,0.00226496,2.63199562,0.14662871,2.53913964,2.84149643,1.83223363
-5.97598799,8.49053721,1.79013884,0.73286809,0.00225400,2.60585011,0.14546131,2.53196624,2.81777210,1.80718776
-5.96998499,8.41501674,1.78590363,0.73002607,0.00224886,2.57430510,0.14431970,2.52730816,2.78838179,1.77699571
-5.96398199,8.33631978,1.78721512,0.72818688,0.00225026,2.53831554,0.14322507,2.52525425,2.75429384,1.74240075
-5.95797899,8.25637034,1.79378205,0.72745545,0.00225881,2.49887489,0.14219851,2.52583982,2.71652062,1.70419604
-5.95197599,8.17701890,1.80522172,0.72792263,0.00227507,2.45698721,0.14126100,2.52905537,2.67609032,1.66320216
-5.94597299,8.10000583,1.82107631,0.72966439,0.00229943,2.41363969,0.14043320,2.53485494,2.63401913,1.62024465
-5.93996998,8.02692703,1.84082932,0.73274063,0.00233220,2.36977684,0.13973516,2.54316351,2.59128481,1.57613229
-5.93396698,7.95920267,1.86392192,0.73719362,0.00237351,2.32627695,0.13918584,2.55388338,2.54880260,1.53163690
-5.92796398,7.89805005,1.88976857,0.74304613,0.00242333,2.28393179,0.13880260,2.56689899,2.50740412,1.48747525
-5.92196098,7.84446131,1.91777187,0.75029936,0.00248145,2.24342997,0.13860060,2.58208041,2.46781994,1.44429374
-5.91595798,7.79918657,1.94733615,0.75893080,0.00254745,2.20534442,0.13859210,2.59928534,2.43066614,1.40265607
-5.90995498,7.76272295,1.97787982,0.76889208,0.00262074,2.17012422,0.13878592,2.61835966,2.39643514,1.36303423
-5.90395198,7.73530958,2.00884616,0.78010713,0.00270051,2.13809077,0.13918673,2.63913684,2.36549081,1.32580294
-5.89794897,7.71692874,2.03971250,0.79247074,0.00278574,2.10943812,0.13979469,2.66143638,2.33806776,1.29123743
-5.89194597,7.70731286,2.06999779,0.80584765,0.00287524,2.08423732,0.14060497,2.68506146,2.31427455,1.25951441
-5.88594297,7.70595705,2.09926834,0.82007248,0.00296766,2.06244424,0.14160760,2.70979619,2.29410043,1.23071607
-5.87993997,7.71213675,2.12714197,0.83495045,0.00306150,2.04391044,0.14278739,2.73540277,2.27742521,1.20483657
-5.87393697,7.72492994,2.15329036,0.85025920,0.00315514,2.02839663,0.14412409,2.76161880,2.26403176,1.18179086
-5.86793397,7.74324327,2.17743981,0.86575157,0.00324690,2.01558792,0.14559271,2.78815504,2.25362047,1.16142515
-5.86193097,7.76584138,2.19937049,0.88115947,0.00333506,2.00511052,0.14716402,2.81469390,2.24582533,1.14352880
-5.85592796,7.79137890,2.21891430,0.89619881,0.00341793,1.99654911,0.14880518,2.84088902,2.24023092,1.12784692
-5.84992496,7.81843412,2.23595145,0.91057527,0.00349388,1.98946439,0.15048055,2.86636586,2.23638982,1.11409345
-5.84392196,7.84554397,2.25040608,0.92399094,0.00356137,1.98341034,0.15215254,2.89072376,2.23383997,1.10196415
-5.83791896,7.87123919,2.26224108,0.93615141,0.00361904,1.97795060,0.15378258,2.91353939,2.23212143,1.09114914
-5.83191596,7.89407936,2.27145226,0.94677333,0.00366572,1.97267362,0.15533209,2.93437162,2.23079217,1.08134464
-5.82591296,7.91268668,2.27806233,0.95559189,0.00370047,1.96720617,0.15676342,2.95276787,2.22944245,1.07226356
-5.81990995,7.92577819,2.28211471,0.96236822,0.00372262,1.96122488,0.15804082,2.96827182,2.22770738,1.06364473
-5.81390695,7.93219532,2.28366761,0.96689619,0.00373176,1.95446567,0.15913123,2.98043224,2.22527751,1.05526051
-5.80790395,7.93093055,2.28278842,0.96900842,0.00372778,1.94673076,0.16000514,2.98881280,2.22190709,1.04692274
-5.80190095,7.92115026,2.27954874,0.96858129,0.00371088,1.93789331,0.16063711,2.99300242,2.21741994,1.03848676
-5.79589795,7.90221349,2.27402013,0.96553871,0.00368149,1.92789966,0.16100641,2.99262606,2.21171281,1.02985375
-5.78989495,7.87368613,2.26627076,0.95985439,0.00364035,1.91676916,0.16109730,2.98735529,2.20475637,1.02097125
-5.78389195,7.83535041,2.25636291,0.95155271,0.00358839,1.90459193,0.16089937,2.97691844,2.19659380,1.01183211
-5.77788894,7.78720945,2.24435155,0.94070798,0.00352674,1.89152477,0.16040758,2.96110983,2.18733743,1.00247199
-5.77188594,7.72948710,2.23028381,0.92744223,0.00345669,1.87778534,0.15962228,2.93979773,2.17716354,0.99296568
-5.76588294,7.66262318,2.21419944,0.91192159,0.00337965,1.86364535,0.15854908,2.91293074,2.16630587,0.98342252
-5.75987994,7.58726455,2.19613201,0.89435148,0.00329706,1.84942273,0.15719863,2.88054229,2.15504810,0.97398123
-5.75387694,7.50425235,2.17611101,0.87497072,0.00321040,1.83547351,0.15558632,2.84275303,2.14371585,0.96480439
-5.74787394,7.41460610,2.15416447,0.85404500,0.00312112,1.82218352,0.15373186,2.79977101,2.13266847,0.95607283
-5.74187094,7.31950496,2.13032208,0.83185980,0.00303061,1.80996030,0.15165889,2.75188969,2.12229115,0.94798032
-5.73586793,7.22026681,2.10461874,0.80871318,0.00294016,1.79922541,0.14939451,2.69948370,2.11298731,0.94072845
-5.72986493,7.11832545,2.07709819,0.78490864,0.00285096,1.79040717,0.14696874,2.64300257,2.10517163,0.93452211
-5.72386193,7.01520623,2.04781672,0.76074835,0.00276403,1.78393384,0.14441404,2.58296261,2.09926364,0.92956538
-5.71785893,6.91250023,2.01684673,0.73652698,0.00268028,1.78022712,0.14176473,2.51993722,2.09568161,0.92605787
-5.71185593,6.81183711,1.98427999,0.71252617,0.00260044,1.77969574,0.13905648,2.45454590,2.09483674,0.92419137
-5.70585293,6.71485638,1.95023036,0.68900998,0.00252510,1.78272878,0.13632573,2.38744220,2.09712702,0.92414671
-5.69984992,6.62317707,1.91483598,0.66622105,0.00245473,1.78968853,0.13360911,2.31930109,2.10293060,0.92609048
-5.69384692,6.53836564,1.87826054,0.64437783,0.00238965,1.80090242,0.13094286,2.25080590,2.11259817,0.93017159
-5.68784392,6.46190198,1.84069378,0.62367253,0.00233006,1.81665398,0.12836221,2.18263514,2.12644404,0.93651737
-5.68184092,6.39514379,1.80235080,0.60426980,0.00227608,1.83717253,0.12590077,2.11544958,2.14473579,0.94522912
-5.67583792,6.33928941,1.76347041,0.58630616,0.00222773,1.86262178,0.12358988,2.04987967,2.16768239,0.95637702
-5.66983492,6.29534007,1.72431220,0.56988978,0.00218498,1.89308748,0.12145794,1.98651354,2.19542090,0.96999458
-5.66383192,6.26406219,1.68515257,0.55510075,0.00214773,1.92856458,0.11952977,1.92588594,2.22800241,0.98607258
-5.65782891,6.24595139,1.64627965,0.54199152,0.00211583,1.96894454,0.11782594,1.86846809,2.26537749,1.00455295
-5.65182591,6.24119951,1.60798724,0.53058759,0.00208910,2.01400352,0.11636218,1.81465878,2.30738238,1.02532292
-5.64582291,6.24966677,1.57056803,0.52088821,0.00206731,2.06339244,0.11514876,1.76477682,2.35372658,1.04820974
-5.63981991,6.27086088,1.53430619,0.51286729,0.00205023,2.11662984,0.11419006,1.71905514,2.40398319,1.07297676
-5.63381691,6.30392516,1.49946974,0.50647429,0.00203754,2.17309857,0.11348415,1.67763658,2.45758299,1.09932101
-5.62781391,6.34763735,1.46630289,0.50163528,0.00202892,2.23204702,0.11302257,1.64057167,2.51381340,1.12687317
-5.62181091,6.40042074,1.43501872,0.49825421,0.00202400,2.29259589,0.11279023,1.60781847,2.57182298,1.15519991
-5.61580790,6.46036841,1.40579257,0.49621438,0.00202234,2.35375055,0.11276554,1.57924467,2.63063230,1.18380925
-5.60980490,6.52528102,1.37875628,0.49538026,0.00202348,2.41441944,0.11292073,1.55463193,2.68915132,1.21215884
-5.60380190,6.59271763,1.35399373,0.49559969,0.00202688,2.47343809,0.11322238,1.53368248,2.74620305,1.23966718
-5.59779890,6.66005855,1.33153780,0.49670651,0.00203198,2.52959814,0.11363217,1.51602787,2.80055311,1.26572759
-5.59179590,6.72457808,1.31136894,0.49852354,0.00203814,2.58168049,0.11410784,1.50123985,2.85094413,1.28972437
-5.58579290,6.78352477,1.29341536,0.50086608,0.00204471,2.62849120,0.11460434,1.48884283,2.89613358,1.31105074
-5.57978989,6.83420578,1.27755504,0.50354565,0.00205099,2.66889860,0.11507512,1.47832782,2.93493356,1.32912760
-5.57378689,6.87407191,1.26361931,0.50637409,0.00205626,2.70186996,0.11547350,1.46916739,2.96625057,1.34342248
-5.56778389,6.90079956,1.25139795,0.50916769,0.00205983,2.72650591,0.11575417,1.46083097,2.98912341,1.35346757
-5.56178089,6.91236594,1.24064569,0.51175146,0.00206098,2.74207097,0.11587463,1.45280033,3.00275731,1.35887618
-5.55577789,6.90711406,1.23108978,0.51396311,0.00205905,2.74801863,0.11579657,1.44458434,3.00655260,1.35935668
-5.54977489,6.88380481,1.22243841,0.51565686,0.00205344,2.74400982,0.11548719,1.43573279,3.00012644,1.35472318
-5.54377189,6.84165366,1.21438967,0.51670677,0.00204360,2.72992377,0.11492031,1.42584869,2.98332657,1.34490264
-5.53776888,6.78035092,1.20664078,0.51700948,0.00202908,2.70586096,0.11407730,1.41459863,2.95623654,1.32993784
-5.53176588,6.70006472,1.19889722,0.51648631,0.00200952,2.67213793,0.11294771,1.40172096,2.91917206,1.30998630
-5.52576288,6.60142738,1.19088157,0.51508468,0.00198469,2.62927457,0.11152970,1.38703153,2.87266910,1.28531508
-5.51975988,6.48550622,1.18234171,0.51277863,0.00195448,2.57797445,0.10983011,1.37042688,2.81746421,1.25629194
-5.51375688,6.35376081,1.17305814,0.50956873,0.00191889,2.51909953,0.10786431,1.35188492,2.75446840,1.22337327
-5.50775388,6.20798922,1.16285039,0.50548111,0.00187808,2.45364046,0.10565568,1.33146312,2.68473600,1.18708943
-5.50175088,6.05026612,1.15158211,0.50056590,0.00183231,2.38268413,0.10323493,1.30929450,2.60942999,1.14802823
-5.49574787,5.88287582,1.13916496,0.49489501,0.00178198,2.30737991,0.10063911,1.28558158,2.52978570,1.10681746
-5.48974487,5.70824349,1.12556112,0.48855951,0.00172760,2.22890623,0.09791048,1.26058868,2.44707440,1.06410699
-5.48374187,5.52886733,1.11078450,0.48166655,0.00166974,2.14843881,0.09509524,1.23463294,2.36256840,1.02055153
-5.47773887,5.34725431,1.09490058,0.47433612,0.00160911,2.06712175,0.09224214,1.20807439,2.27750903,0.97679440
