energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.19016827,0.00281454,0.41005584,0.01918250,0.16876513,0.39212361,0.15502742
-5.99399700,1.37975750,0.00326824,0.47503537,0.02227321,0.19599252,0.45352990,0.17980674
-5.98799400,1.58928463,0.00377145,0.54677383,0.02570002,0.22615557,0.52115101,0.20721355
-5.98199100,1.81893153,0.00432526,0.62531991,0.02946941,0.25929326,0.59499564,0.23727764
-5.97598799,2.06852656,0.00493000,0.71060121,0.03358258,0.29539348,0.67495592,0.26998329
-5.96998499,2.33750475,0.00558518,0.80241128,0.03803485,0.33438660,0.76079623,0.30526395
-5.96398199,2.62487610,0.00628938,0.90039943,0.04281506,0.37614015,0.85214493,0.34299803
-5.95797899,2.92920389,0.00704022,1.00406414,0.04790515,0.42045495,0.94848943,0.38300590
-5.95197599,3.24859502,0.00783430,1.11275053,0.05327992,0.46706285,1.04917540,0.42504845
-5.94597299,3.58070362,0.00866719,1.22565235,0.05890699,0.51562657,1.15341021,0.46882736
-5.93996998,3.92274904,0.00953347,1.34181888,0.06474690,0.56574148,1.26027093,0.51398724
-5.93396698,4.27154846,0.01042674,1.46016675,0.07075355,0.61693980,1.36871701,0.56011961
-5.92796398,4.62356426,0.01133975,1.57949661,0.07687472,0.66869684,1.47760726,0.60676883
-5.92196098,4.97496501,0.01226445,1.69851443,0.08305294,0.72043963,1.58572096,0.65343986
-5.91595798,5.32169901,0.01319218,1.81585674,0.08922650,0.77155734,1.69178250,0.69960761
-5.90995498,5.65957824,0.01411380,1.93011936,0.09533062,0.82141359,1.79448879,0.74472767
-5.90395198,5.98437037,0.01501990,2.03988859,0.10129880,0.86936004,1.89253874,0.78824824
-5.89794897,6.29189602,0.01590097,2.14377400,0.10706432,0.91475106,1.98466371,0.82962265
-5.89194597,6.57812813,0.01674766,2.24044172,0.11256171,0.95695887,2.06965811,0.86832232
-5.88594297,6.83929029,0.01755099,2.32864724,0.11772838,0.99538868,2.14640908,0.90384961
-5.87993997,7.07195064,0.01830254,2.40726642,0.12250607,1.02949344,2.21392427,0.93575019
