energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.02031667,0.18818058,0.00180963,0.00761414,1.27041183,0.72050142,0.57515721
-5.99399700,1.99248103,0.18353146,0.00181040,0.00770065,1.25620571,0.71940876,0.57299490
-5.98799400,1.96539312,0.17841472,0.00182054,0.00777950,1.24222562,0.72058164,0.57142537
-5.98199100,1.94079028,0.17296395,0.00184194,0.00785478,1.22948847,0.72480944,0.57091870
-5.97598799,1.92034885,0.16731460,0.00187632,0.00793063,1.21896734,0.73284637,0.57192141
-5.96998499,1.90563667,0.16160065,0.00192518,0.00801113,1.21156056,0.74539034,0.57484192
-5.96398199,1.89807016,0.15595141,0.00198974,0.00810015,1.20806360,0.76306335,0.58003724
-5.95797899,1.89887728,0.15048891,0.00207094,0.00820121,1.20914494,0.78639431,0.58780147
-5.95197599,1.90906767,0.14532574,0.00216939,0.00831743,1.21532659,0.81580450,0.59835650
-5.94597299,1.92941077,0.14056344,0.00228538,0.00845138,1.22697009,0.85159646,0.61184524
-5.93996998,1.96042227,0.13629147,0.00241886,0.00860511,1.24426829,0.89394620,0.62832763
-5.93396698,2.00235917,0.13258679,0.00256945,0.00878007,1.26724319,0.94289923,0.64777946
-5.92796398,2.05522291,0.12951382,0.00273644,0.00897715,1.29574954,0.99837016,0.67009409
-5.92196098,2.11877001,0.12712482,0.00291883,0.00919668,1.32948406,1.06014577,0.69508672
-5.91595798,2.19252915,0.12546065,0.00311534,0.00943850,1.36799944,1.12789127,0.72250115
-5.90995498,2.27582353,0.12455153,0.00332447,0.00970196,1.41072254,1.20115928,0.75201857
-5.90395198,2.36779700,0.12441797,0.00354447,0.00998603,1.45697566,1.27940095,0.78326782
-5.89794897,2.46744251,0.12507157,0.00377346,0.01028930,1.50600000,1.36197870,0.81583690
-5.89194597,2.57363140,0.12651562,0.00400940,0.01061007,1.55698008,1.44817986,0.84928488
-5.88594297,2.68514212,0.12874551,0.00425016,0.01094636,1.60906811,1.53723065,0.88315393
-5.87993997,2.80068722,0.13174878,0.00449356,0.01129594,1.66140739,1.62830988,0.91698091
-5.87393697,2.91893767,0.13550492,0.00473738,0.01165631,1.71315377,1.72056197,0.95030804
-5.86793397,3.03854387,0.13998490,0.00497937,0.01202474,1.76349458,1.81310885,0.98269239
-5.86193097,3.15815319,0.14515045,0.00521732,0.01239822,1.81166453,1.90506062,1.01371395
-5.85592796,3.27642392,0.15095325,0.00544905,0.01277343,1.85695826,1.99552494,1.04298199
-5.84992496,3.39203622,0.15733414,0.00567243,0.01314677,1.89873963,2.08361524,1.07013998
-5.84392196,3.50370065,0.16422243,0.00588537,0.01351425,1.93644777,2.16845795,1.09486890
-5.83791896,3.61016512,0.17153545,0.00608588,0.01387159,1.96960030,2.24919929,1.11688913
-5.83191596,3.71022132,0.17917855,0.00627203,0.01421415,1.99779424,2.32501189,1.13596140
-5.82591296,3.80271153,0.18704551,0.00644200,0.01453698,2.02070502,2.39510174,1.15188671
-5.81990995,3.88653676,0.19501959,0.00659405,0.01483492,2.03808429,2.45871596,1.16450589
-5.81390695,3.96066688,0.20297510,0.00672661,0.01510263,2.04975710,2.51515149,1.17369879
-5.80790395,4.02415319,0.21077967,0.00683821,0.01533472,2.05561878,2.56376512,1.17938353
-5.80190095,4.07614346,0.21829701,0.00692759,0.01552591,2.05563214,2.60398460,1.18151588
-5.79589795,4.11589928,0.22539021,0.00699367,0.01567113,2.04982491,2.63532081,1.18008900
-5.78989495,4.14281499,0.23192532,0.00703560,0.01576571,2.03828787,2.65738042,1.17513344
-5.78389195,4.15643728,0.23777518,0.00705279,0.01580558,2.02117320,2.66987856,1.16671736
-5.77788894,4.15648429,0.24282327,0.00704494,0.01578734,1.99869322,2.67265067,1.15494696
-5.77188594,4.14286283,0.24696734,0.00701208,0.01570850,1.97111891,2.66566274,1.13996672
-5.76588294,4.11568220,0.25012273,0.00695455,0.01556756,1.93877805,2.64901911,1.12195939
-5.75987994,4.07526344,0.25222510,0.00687304,0.01536408,1.90205255,2.62296696,1.10114544
-5.75387694,4.02214279,0.25323254,0.00676861,0.01509880,1.86137451,2.58789694,1.07778166
-5.74787394,3.95706832,0.25312680,0.00664262,0.01477359,1.81722101,2.54433926,1.05215886
-5.74187094,3.88098955,0.25191374,0.00649678,0.01439146,1.77010713,2.49295518,1.02459849
-5.73586793,3.79503976,0.24962284,0.00633307,0.01395648,1.72057759,2.43452389,0.99544807
-5.72986493,3.70051139,0.24630588,0.00615371,0.01347369,1.66919679,2.36992497,0.96507555
-5.72386193,3.59882557,0.24203479,0.00596112,0.01294891,1.61653785,2.30011721,0.93386279
-5.71785893,3.49149672,0.23689895,0.00575783,0.01238860,1.56317082,2.22611450,0.90219820
-5.71185593,3.38009390,0.23100184,0.00554646,0.01179970,1.50965079,2.14895990,0.87046893
-5.70585293,3.26620060,0.22445748,0.00532960,0.01118936,1.45650635,2.06969895,0.83905292
-5.69984992,3.15137469,0.21738666,0.00510979,0.01056480,1.40422898,1.98935350,0.80831113
-5.69384692,3.03711037,0.20991319,0.00488944,0.00993307,1.35326402,1.90889720,0.77858020
-5.68784392,2.92480361,0.20216042,0.00467077,0.00930091,1.30400347,1.82923357,0.75016600
-5.68184092,2.81572252,0.19424809,0.00445578,0.00867456,1.25678122,1.75117767,0.72333817
-5.67583792,2.71098350,0.18628959,0.00424621,0.00805967,1.21187059,1.67544190,0.69832587
-5.66983492,2.61153399,0.17838988,0.00404350,0.00746117,1.16948445,1.60262631,0.67531487
-5.66383192,2.51814176,0.17064392,0.00384881,0.00688324,1.12977756,1.53321352,0.65444603
-5.65782891,2.43139089,0.16313568,0.00366300,0.00632927,1.09285103,1.46756810,0.63581498
-5.65182591,2.35168377,0.15593778,0.00348664,0.00580183,1.05875828,1.40593997,0.61947310
-5.64582291,2.27924844,0.14911156,0.00332003,0.00530278,1.02751221,1.34847132,0.60542945
-5.63981991,2.21415026,0.14270753,0.00316326,0.00483322,0.99909284,1.29520633,0.59365358
-5.63381691,2.15630708,0.13676613,0.00301618,0.00439367,0.97345506,1.24610286,0.58407900
-5.62781391,2.10550664,0.13131873,0.00287850,0.00398408,0.95053587,1.20104542,0.57660706
-5.62181091,2.06142533,0.12638860,0.00274977,0.00360392,0.93026078,1.15985867,0.57111114
-5.61580790,2.02364752,0.12199193,0.00262948,0.00325234,0.91254901,1.12232074,0.56744090
-5.60980490,1.99168456,0.11813876,0.00251702,0.00292819,0.89731733,1.08817599,0.56542665
-5.60380190,1.96499312,0.11483372,0.00241178,0.00263014,0.88448260,1.05714665,0.56488356
-5.59779890,1.94299244,0.11207657,0.00231314,0.00235673,0.87396283,1.02894324,0.56561584
-5.59179590,1.92508028,0.10986259,0.00222050,0.00210646,0.86567720,1.00327358,0.56742080
-5.58579290,1.91064754,0.10818278,0.00213330,0.00187782,0.85954525,0.97985040,0.57009277
-5.57978989,1.89909171,0.10702384,0.00205105,0.00166934,0.85548543,0.95839767,0.57342698
-5.57378689,1.88982896,0.10636814,0.00197332,0.00147960,0.85341355,0.93865573,0.57722335
-5.56778389,1.88230539,0.10619355,0.00189976,0.00130727,0.85324135,0.92038550,0.58129020
-5.56178089,1.87600711,0.10647341,0.00183009,0.00115109,0.85487563,0.90337178,0.58544790
-5.55577789,1.87046964,0.10717645,0.00176414,0.00100990,0.85821804,0.88742609,0.58953241
-5.54977489,1.86528625,0.10826692,0.00170181,0.00088262,0.86316580,0.87238882,0.59339860
-5.54377189,1.86011545,0.10970492,0.00164308,0.00076823,0.86961355,0.85813108,0.59692343
-5.53776888,1.85468749,0.11144689,0.00158802,0.00066580,0.87745602,0.84455618,0.60000874
-5.53176588,1.84880951,0.11344637,0.00153677,0.00057445,0.88659174,0.83160066,0.60258364
-5.52576288,1.84236949,0.11565496,0.00148952,0.00049333,0.89692744,0.81923497,0.60460640
-5.51975988,1.83533852,0.11802352,0.00144654,0.00042167,0.90838282,0.80746364,0.60606577
-5.51375688,1.82777130,0.12050348,0.00140813,0.00035871,0.92089561,0.79632486,0.60698152
-5.50775388,1.81980480,0.12304832,0.00137463,0.00030375,0.93442619,0.78588943,0.60740436
-5.50175088,1.81165476,0.12561501,0.00134640,0.00025611,0.94896183,0.77625889,0.60741494
-5.49574787,1.80361014,0.12816542,0.00132382,0.00021516,0.96451982,0.76756290,0.60712213
-5.48974487,1.79602538,0.13066768,0.00130725,0.00018032,0.98114933,0.75995561,0.60666045
-5.48374187,1.78931057,0.13309721,0.00129702,0.00015105,0.99893180,0.75361129,0.60618664
-5.47773887,1.78391971,0.13543752,0.00129345,0.00012686,1.01797939,0.74871894,0.60587563
-5.47173587,1.78033709,0.13768070,0.00129679,0.00010736,1.03843176,0.74547622,0.60591578
-5.46573287,1.77906237,0.13982737,0.00130724,0.00009218,1.06045079,0.74408265,0.60650354
-5.45972986,1.78059443,0.14188641,0.00132495,0.00008108,1.08421367,0.74473226,0.60783780
-5.45372686,1.78541460,0.14387407,0.00134995,0.00007388,1.10990437,0.74760605,0.61011387
-5.44772386,1.79396974,0.14581277,0.00138224,0.00007050,1.13770393,0.75286428,0.61351744
-5.44172086,1.80665568,0.14772955,0.00142170,0.00007097,1.16777996,0.76063915,0.61821861
-5.43571786,1.82380170,0.14965421,0.00146815,0.00007545,1.20027590,0.77102796,0.62436620
-5.42971486,1.84565660,0.15161723,0.00152135,0.00008421,1.23530045,0.78408714,0.63208256
-5.42371186,1.87237694,0.15364766,0.00158098,0.00009763,1.27291792,0.79982758,0.64145906
-5.41770885,1.90401806,0.15577097,0.00164666,0.00011627,1.31313994,0.81821134,0.65255247
-5.41170585,1.94052824,0.15800713,0.00171799,0.00014078,1.35591900,0.83915010,0.66538234
-5.40570285,1.98174656,0.16036881,0.00179454,0.00017199,1.40114440,0.86250548,0.67992952
-5.39969985,2.02740440,0.16286011,0.00187586,0.00021084,1.44864069,0.88809130,0.69613600
-5.39369685,2.07713083,0.16547555,0.00196153,0.00025841,1.49816892,0.91567772,0.71390597
-5.38769385,2.13046165,0.16819971,0.00205113,0.00031590,1.54943065,0.94499717,0.73310819
-5.38169085,2.18685187,0.17100724,0.00214426,0.00038461,1.60207459,0.97575186,0.75357956
-5.37568784,2.24569094,0.17386357,0.00224059,0.00046590,1.65570557,1.00762235,0.77512976
-5.36968484,2.30632021,0.17672594,0.00233980,0.00056120,1.70989532,1.04027710,0.79754687
-5.36368184,2.36805185,0.17954500,0.00244163,0.00067192,1.76419468,1.07338211,0.82060356
-5.35767884,2.43018819,0.18226670,0.00254584,0.00079942,1.81814640,1.10661052,0.84406374
-5.35167584,2.49204078,0.18483446,0.00265222,0.00094498,1.87129809,1.13965146,0.86768941
-5.34567284,2.55294817,0.18719147,0.00276058,0.00110969,1.92321443,1.17221774,0.89124725
-5.33966983,2.61229167,0.18928305,0.00287070,0.00129443,1.97348823,1.20405205,0.91451478
-5.33366683,2.66950835,0.19105883,0.00298235,0.00149975,2.02174975,1.23493135,0.93728587
-5.32766383,2.72410104,0.19247484,0.00309522,0.00172585,2.06767382,1.26466928,0.95937522
-5.32166083,2.77564469,0.19349520,0.00320895,0.00197247,2.11098472,1.29311667,0.98062184
-5.31565783,2.82378944,0.19409352,0.00332307,0.00223885,2.15145851,1.32016021,1.00089125
-5.30965483,2.86826036,0.19425379,0.00343703,0.00252368,2.18892318,1.34571952,1.02007649
-5.30365183,2.90885437,0.19397090,0.00355012,0.00282505,2.22325659,1.36974309,1.03809797
-5.29764882,2.94543493,0.19325069,0.00366154,0.00314043,2.25438296,1.39220356,1.05490220
-5.29164582,2.97792525,0.19210957,0.00377036,0.00346669,2.28226806,1.41309279,1.07045974
-5.28564282,3.00630083,0.19057381,0.00387556,0.00380009,2.30691401,1.43241732,1.08476246
-5.27963982,3.03058225,0.18867850,0.00397604,0.00413638,2.32835403,1.45019478,1.09782043
-5.27363682,3.05082893,0.18646633,0.00407064,0.00447081,2.34664802,1.46645167,1.10965888
