energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.14868240,-0.14868245,0.03703572,-0.03703574,0.01839917,-0.01839918,0.04685994,-0.04685995,0.00000000,-0.00000000,0.00952372,-0.00952372,0.02023379,-0.02023380,0.05062240,-0.05062240,0.00000000,-0.00000000
-5.99399700,0.15972091,-0.15972096,0.04238773,-0.04238775,0.02100980,-0.02100981,0.05090128,-0.05090130,0.00000000,-0.00000000,0.00897160,-0.00897160,0.02353817,-0.02353818,0.04972927,-0.04972928,0.00000000,-0.00000000
-5.98799400,0.17236875,-0.17236880,0.04833084,-0.04833086,0.02391907,-0.02391908,0.05551575,-0.05551577,0.00000000,-0.00000000,0.00842061,-0.00842061,0.02719577,-0.02719579,0.04905082,-0.04905082,0.00000000,-0.00000000
-5.98199100,0.18668005,-0.18668011,0.05486219,-0.05486222,0.02713122,-0.02713124,0.06072193,-0.06072195,0.00000000,-0.00000000,0.00788009,-0.00788009,0.03120698,-0.03120700,0.04862561,-0.04862561,0.00000000,-0.00000000
-5.97598799,0.20267474,-0.20267481,0.06196657,-0.06196660,0.03064522,-0.03064523,0.06652824,-0.06652826,0.00000000,-0.00000000,0.00735840,-0.00735840,0.03556504,-0.03556506,0.04848778,-0.04848778,0.00000000,-0.00000000
-5.96998499,0.22033395,-0.22033402,0.06961505,-0.06961507,0.03445419,-0.03445421,0.07293137,-0.07293140,0.00000000,-0.00000000,0.00686270,-0.00686270,0.04025534,-0.04025536,0.04866573,-0.04866573,0.00000000,-0.00000000
-5.96398199,0.23959688,-0.23959696,0.07776406,-0.07776409,0.03854515,-0.03854516,0.07991527,-0.07991530,0.00000000,-0.00000000,0.00639883,-0.00639883,0.04525489,-0.04525490,0.04918129,-0.04918129,0.00000000,-0.00000000
-5.95797899,0.26035948,-0.26035956,0.08635510,-0.08635513,0.04289889,-0.04289891,0.08745054,-0.08745057,0.00000000,-0.00000000,0.00597118,-0.00597118,0.05053208,-0.05053210,0.05004936,-0.05004937,0.00000000,-0.00000000
-5.95197599,0.28247494,-0.28247503,0.09531496,-0.09531499,0.04749028,-0.04749030,0.09549452,-0.09549455,0.00000000,-0.00000000,0.00558268,-0.00558268,0.05604682,-0.05604684,0.05127810,-0.05127811,0.00000000,-0.00000000
-5.94597299,0.30575627,-0.30575636,0.10455671,-0.10455674,0.05228874,-0.05228876,0.10399189,-0.10399192,0.00000000,-0.00000000,0.00523480,-0.00523480,0.06175088,-0.06175090,0.05286952,-0.05286953,0.00000000,-0.00000000
-5.93996998,0.32998091,-0.32998101,0.11398139,-0.11398142,0.05725915,-0.05725917,0.11287589,-0.11287593,0.00000000,-0.00000000,0.00492766,-0.00492766,0.06758870,-0.06758873,0.05482060,-0.05482061,0.00000000,-0.00000000
-5.93396698,0.35489730,-0.35489739,0.12348041,-0.12348044,0.06236302,-0.06236304,0.12207017,-0.12207021,0.00000000,-0.00000000,0.00466011,-0.00466011,0.07349856,-0.07349858,0.05712484,-0.05712485,0.00000000,-0.00000000
-5.92796398,0.38023326,-0.38023336,0.13293862,-0.13293865,0.06755998,-0.06756000,0.13149103,-0.13149107,0.00000000,-0.00000000,0.00442991,-0.00442991,0.07941397,-0.07941399,0.05977416,-0.05977418,0.00000000,-0.00000000
-5.92196098,0.40570602,-0.40570612,0.14223798,-0.14223801,0.07280949,-0.07280951,0.14105022,-0.14105026,0.00000000,-0.00000000,0.00423390,-0.00423390,0.08526546,-0.08526548,0.06276111,-0.06276112,0.00000000,-0.00000000
-5.91595798,0.43103328,-0.43103338,0.15126170,-0.15126174,0.07807279,-0.07807281,0.15065797,-0.15065802,0.00000000,-0.00000000,0.00406822,-0.00406822,0.09098255,-0.09098257,0.06608126,-0.06608128,0.00000000,-0.00000000
-5.90995498,0.45594521,-0.45594531,0.15989876,-0.15989879,0.08331495,-0.08331497,0.16022624,-0.16022629,0.00000000,-0.00000000,0.00392848,-0.00392848,0.09649586,-0.09649588,0.06973581,-0.06973582,0.00000000,-0.00000000
-5.90395198,0.48019659,-0.48019669,0.16804848,-0.16804851,0.08850693,-0.08850695,0.16967198,-0.16967202,0.00000000,-0.00000000,0.00381003,-0.00381003,0.10173927,-0.10173929,0.07373401,-0.07373403,0.00000000,-0.00000000
-5.89794897,0.50357866,-0.50357876,0.17562512,-0.17562515,0.09362761,-0.09362763,0.17892026,-0.17892031,0.00000000,-0.00000000,0.00370811,-0.00370811,0.10665206,-0.10665208,0.07809569,-0.07809571,0.00000000,-0.00000000
-5.89194597,0.52593017,-0.52593026,0.18256218,-0.18256220,0.09866566,-0.09866568,0.18790719,-0.18790724,0.00000000,-0.00000000,0.00361806,-0.00361806,0.11118092,-0.11118094,0.08285336,-0.08285338,0.00000000,-0.00000000
-5.88594297,0.54714696,-0.54714705,0.18881620,-0.18881623,0.10362114,-0.10362116,0.19658232,-0.19658237,0.00000000,-0.00000000,0.00353548,-0.00353548,0.11528162,-0.11528164,0.08805407,-0.08805409,0.00000000,-0.00000000
-5.87993997,0.56718967,-0.56718976,0.19436992,-0.19436994,0.10850673,-0.10850675,0.20491058,-0.20491063,0.00000000,-0.00000000,0.00345638,-0.00345638,0.11892051,-0.11892052,0.09376078,-0.09376080,0.00000000,-0.00000000
-5.87393697,0.58608906,-0.58608914,0.19923450,-0.19923452,0.11334856,-0.11334858,0.21287357,-0.21287362,0.00000000,-0.00000000,0.00337731,-0.00337731,0.12207547,-0.12207548,0.10005312,-0.10005314,0.00000000,-0.00000000
-5.86793397,0.60394866,-0.60394873,0.20345076,-0.20345078,0.11818654,-0.11818656,0.22047016,-0.22047020,0.00000000,-0.00000000,0.00329539,-0.00329539,0.12473651,-0.12473653,0.10702751,-0.10702754,0.00000000,-0.00000000
-5.86193097,0.62094447,-0.62094455,0.20708934,-0.20708935,0.12307410,-0.12307413,0.22771638,-0.22771642,0.00000000,-0.00000000,0.00320841,-0.00320841,0.12690587,-0.12690588,0.11479658,-0.11479661,0.00000000,-0.00000000
-5.85592796,0.63732174,-0.63732181,0.21024957,-0.21024958,0.12807746,-0.12807748,0.23464467,-0.23464471,0.00000000,-0.00000000,0.00311482,-0.00311482,0.12859762,-0.12859763,0.12348771,-0.12348775,0.00000000,-0.00000000
-5.84992496,0.65338864,-0.65338871,0.21305730,-0.21305731,0.13327418,-0.13327420,0.24130242,-0.24130246,0.00000000,-0.00000000,0.00301374,-0.00301374,0.12983685,-0.12983686,0.13324090,-0.13324093,0.00000000,-0.00000000
