energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.75979790,0.00869391,0.37926159,0.68633618,0.00000000,2.14549176,1.02871212,0.01634538,1.03604544
-5.99399700,2.70130051,0.00843703,0.37939634,0.67415212,0.00000000,2.17114873,1.00684219,0.01473674,1.00940909
-5.98799400,2.64149175,0.00815899,0.37969276,0.66179442,0.00000000,2.19515658,0.98436134,0.01327082,0.98184422
-5.98199100,2.58181766,0.00786534,0.38027162,0.64958979,0.00000000,2.21811190,0.96181031,0.01195114,0.95397717
-5.97598799,2.52357912,0.00756153,0.38122995,0.63782211,0.00000000,2.24051507,0.93968182,0.01077946,0.92637900
-5.96998499,2.46789080,0.00725279,0.38263561,0.62672295,0.00000000,2.26273481,0.91840506,0.00975606,0.89954910
-5.96398199,2.41564850,0.00694400,0.38452291,0.61646453,0.00000000,2.28497899,0.89833322,0.00888000,0.87390235
-5.95797899,2.36750656,0.00663955,0.38688959,0.60715547,0.00000000,2.30727344,0.87973443,0.00814942,0.84976040
-5.95197599,2.32386629,0.00634332,0.38969555,0.59883959,0.00000000,2.32945041,0.86278662,0.00756171,0.82734732
-5.94597299,2.28487563,0.00605861,0.39286330,0.59149774,0.00000000,2.35114743,0.84757644,0.00711373,0.80678956
-5.93996998,2.25043991,0.00578812,0.39628019,0.58505248,0.00000000,2.37181708,0.83410207,0.00680195,0.78812018
-5.93396698,2.22024299,0.00553400,0.39980245,0.57937552,0.00000000,2.39074736,0.82227993,0.00662253,0.77128684
-5.92796398,2.19377733,0.00529785,0.40326077,0.57429719,0.00000000,2.40709177,0.81195454,0.00657144,0.75616300
-5.92196098,2.17038124,0.00508085,0.40646726,0.56961766,0.00000000,2.41990756,0.80291117,0.00664437,0.74256165
-5.91595798,2.14928124,0.00488380,0.40922333,0.56511918,0.00000000,2.42820028,0.79489038,0.00683681,0.73025066
-5.90995498,2.12963717,0.00470724,0.41132830,0.56057863,0.00000000,2.43097220,0.78760364,0.00714388,0.71896891
