energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.07547483,0.00001107,0.04415144,0.00068505,0.00182012,0.01553644,0.03998638
-5.99399700,0.07353066,0.00001446,0.04293413,0.00066658,0.00188495,0.01517405,0.03885995
-5.98799400,0.07156085,0.00001874,0.04167587,0.00064694,0.00198357,0.01482162,0.03768790
-5.98199100,0.06968782,0.00002411,0.04044411,0.00062721,0.00212502,0.01450555,0.03653031
-5.97598799,0.06805008,0.00003080,0.03931479,0.00060858,0.00232002,0.01425577,0.03545477
-5.96998499,0.06680111,0.00003907,0.03837171,0.00059234,0.00258107,0.01410556,0.03453574
-5.96398199,0.06610816,0.00004920,0.03770568,0.00057990,0.00292241,0.01409116,0.03385385
-5.95797899,0.06615082,0.00006152,0.03741374,0.00057272,0.00336018,0.01425143,0.03349520
-5.95197599,0.06711946,0.00007636,0.03759823,0.00057236,0.00391231,0.01462740,0.03355058
-5.94597299,0.06921341,0.00009411,0.03836577,0.00058042,0.00459846,0.01526177,0.03411456
-5.93996998,0.07263886,0.00011514,0.03982615,0.00059855,0.00543994,0.01619826,0.03528455
-5.93396698,0.07760626,0.00013987,0.04209092,0.00062842,0.00645940,0.01748096,0.03715966
-5.92796398,0.08432736,0.00016869,0.04527189,0.00067170,0.00768059,0.01915345,0.03983938
-5.92196098,0.09301156,0.00020200,0.04947925,0.00073003,0.00912789,0.02125781,0.04342201
-5.91595798,0.10386168,0.00024014,0.05481941,0.00080501,0.01082581,0.02383357,0.04800281
-5.90995498,0.11706902,0.00028343,0.06139250,0.00089814,0.01279834,0.02691642,0.05367191
-5.90395198,0.13280777,0.00033214,0.06928948,0.00101079,0.01506822,0.03053682,0.06051177
-5.89794897,0.15122873,0.00038642,0.07858902,0.00114416,0.01765610,0.03471859,0.06859449
-5.89194597,0.17245260,0.00044635,0.08935398,0.00129921,0.02057964,0.03947735,0.07797876
-5.88594297,0.19656286,0.00051188,0.10162781,0.00147664,0.02385256,0.04481898,0.08870665
-5.87993997,0.22359863,0.00058281,0.11543076,0.00167681,0.02748367,0.05073819,0.10080031
-5.87393697,0.25354760,0.00065883,0.13075628,0.00189968,0.03147596,0.05721714,0.11425865
-5.86793397,0.28633962,0.00073942,0.14756759,0.00214479,0.03582570,0.06422434,0.12905426
-5.86193097,0.32184115,0.00082392,0.16579465,0.00241118,0.04052176,0.07171381,0.14513066
