energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.42395526,0.01153987,0.07443398,0.47730512,0.32029981,0.82914083,0.00000000,0.19622142,0.09815702
-5.99399700,1.43519542,0.01154469,0.07506600,0.48397129,0.32502418,0.83668876,0.00000000,0.19881199,0.09739952
-5.98799400,1.44342772,0.01151331,0.07552044,0.48897170,0.32859404,0.84251658,0.00000000,0.20097119,0.09650015
-5.98199100,1.44870430,0.01144560,0.07580075,0.49230510,0.33101970,0.84664888,0.00000000,0.20271186,0.09546629
-5.97598799,1.45117342,0.01134231,0.07591578,0.49401993,0.33234325,0.84916592,0.00000000,0.20406187,0.09430953
-5.96998499,1.45108267,0.01120507,0.07588001,0.49421554,0.33263805,0.85020553,0.00000000,0.20506416,0.09304629
-5.96398199,1.44877752,0.01103646,0.07571339,0.49304157,0.33200685,0.84996213,0.00000000,0.20577604,0.09169801
-5.95797899,1.44469484,0.01083992,0.07544100,0.49069543,0.33057862,0.84868297,0.00000000,0.20626790,0.09029116
-5.95197599,1.43935178,0.01061973,0.07509250,0.48741791,0.32850415,0.84666160,0.00000000,0.20662115,0.08885700
-5.94597299,1.43333039,0.01038084,0.07470126,0.48348712,0.32595076,0.84422890,0.00000000,0.20692576,0.08743098
-5.93996998,1.42725866,0.01012882,0.07430346,0.47921109,0.32309620,0.84174207,0.00000000,0.20727724,0.08605202
-5.93396698,1.42178914,0.00986960,0.07393697,0.47491919,0.32012214,0.83957225,0.00000000,0.20777351,0.08476150
-5.92796398,1.41757599,0.00960935,0.07364019,0.47095300,0.31720750,0.83809123,0.00000000,0.20851154,0.08360220
-5.92196098,1.41525188,0.00935426,0.07345088,0.46765682,0.31452196,0.83765824,0.00000000,0.20958416,0.08261711
-5.91595798,1.41540584,0.00911035,0.07340505,0.46536841,0.31221999,0.83860728,0.00000000,0.21107711,0.08184831
-5.90995498,1.41856326,0.00888326,0.07353600,0.46441032,0.31043563,0.84123580,0.00000000,0.21306652,0.08133587
-5.90395198,1.42516917,0.00867812,0.07387345,0.46508217,0.30927830,0.84579533,0.00000000,0.21561693,0.08111688
-5.89794897,1.43557552,0.00849932,0.07444295,0.46765424,0.30882981,0.85248451,0.00000000,0.21878001,0.08122472
-5.89194597,1.45003324,0.00835045,0.07526550,0.47236260,0.30914271,0.86144495,0.00000000,0.22259399,0.08168845
-5.88594297,1.46868939,0.00823417,0.07635748,0.47940594,0.31024001,0.87275998,0.00000000,0.22708383,0.08253257
-5.87993997,1.49158955,0.00815216,0.07773075,0.48894422,0.31211628,0.88645648,0.00000000,0.23226214,0.08377697
-5.87393697,1.51868525,0.00810508,0.07939313,0.50109905,0.31474012,0.90250957,0.00000000,0.23813080,0.08543718
-5.86793397,1.54984592,0.00809261,0.08134901,0.51595571,0.31805764,0.92084979,0.00000000,0.24468313,0.08752479
-5.86193097,1.58487478,0.00811349,0.08360019,0.53356662,0.32199704,0.94137248,0.00000000,0.25190648,0.09004819
-5.85592796,1.62352774,0.00816562,0.08614689,0.55395595,0.32647385,0.96394871,0.00000000,0.25978522,0.09301336
-5.84992496,1.66553415,0.00824615,0.08898877,0.57712509,0.33139664,0.98843712,0.00000000,0.26830370,0.09642482
-5.84392196,1.71061839,0.00835165,0.09212605,0.60305853,0.33667293,1.01469599,0.00000000,0.27744930,0.10028658
-5.83791896,1.75852105,0.00847826,0.09556052,0.63172977,0.34221493,1.04259494,0.00000000,0.28721523,0.10460313
-5.83191596,1.80901858,0.00862188,0.09929645,0.66310691,0.34794497,1.07202545,0.00000000,0.29760291,0.10938024
-5.82591296,1.86194029,0.00877834,0.10334135,0.69715755,0.35380028,1.10290973,0.00000000,0.30862390,0.11462567
-5.81990995,1.91718189,0.00894361,0.10770647,0.73385267,0.35973687,1.13520741,0.00000000,0.32030128,0.12034971
-5.81390695,1.97471484,0.00911394,0.11240710,0.77316922,0.36573251,1.16891970,0.00000000,0.33267026,0.12656540
-5.80790395,2.03459100,0.00928606,0.11746249,0.81509142,0.37178848,1.20409078,0.00000000,0.34577820,0.13328854
-5.80190095,2.09694244,0.00945727,0.12289558,0.85961058,0.37793019,1.24080649,0.00000000,0.35968394,0.14053743
-5.79589795,2.16197649,0.00962563,0.12873239,0.90672348,0.38420655,1.27919024,0.00000000,0.37445646,0.14833234
-5.78989495,2.22996633,0.00978998,0.13500119,0.95642970,0.39068830,1.31939661,0.00000000,0.39017304,0.15669478
-5.78389195,2.30123777,0.00995004,0.14173142,1.00872784,0.39746522,1.36160295,0.00000000,0.40691698,0.16564656
-5.77788894,2.37615294,0.01010637,0.14895251,1.06361121,0.40464248,1.40599946,0.00000000,0.42477496,0.17520869
-5.77188594,2.45509193,0.01026041,0.15669255,1.12106321,0.41233633,1.45277848,0.00000000,0.44383428,0.18540033
-5.76588294,2.53843338,0.01041440,0.16497703,1.18105288,0.42066928,1.50212353,0.00000000,0.46418000,0.19623755
