energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.55535098,0.79171684,1.62351002,0.01489513,0.53394683,0.47778294,0.20920109,0.02002880,1.40645347
-5.99399700,3.47142530,0.76505879,1.59134920,0.01436435,0.51401134,0.46463636,0.20528060,0.01946241,1.38118589
-5.98799400,3.38267380,0.73750068,1.55710862,0.01382877,0.49326543,0.45082170,0.20100658,0.01881631,1.35412199
-5.98199100,3.28885623,0.70901735,1.52065146,0.01328297,0.47178396,0.43628882,0.19634803,0.01809761,1.32500426
-5.97598799,3.18988380,0.67962503,1.48189740,0.01272368,0.44965468,0.42101502,0.19128612,0.01731484,1.29364851
-5.96998499,3.08583534,0.64938403,1.44083151,0.01214967,0.42698056,0.40500794,0.18581535,0.01647776,1.25995124
-5.96398199,2.97696523,0.61839915,1.39750989,0.01156170,0.40388098,0.38830692,0.17994402,0.01559712,1.22389352
-5.95797899,2.86370289,0.58681787,1.35206199,0.01096226,0.38049162,0.37098286,0.17369404,0.01468440,1.18554116
-5.95197599,2.74664422,0.55482646,1.30468961,0.01035536,0.35696315,0.35313644,0.16710017,0.01375147,1.14504153
-5.94597299,2.62653564,0.52264421,1.25566263,0.00974622,0.33345872,0.33489504,0.16020876,0.01281036,1.10261727
-5.93996998,2.50425181,0.49051623,1.20531204,0.00914096,0.31015053,0.31640840,0.15307603,0.01187287,1.05855735
-5.93396698,2.38076836,0.45870514,1.15402039,0.00854630,0.28721555,0.29784341,0.14576595,0.01095036,1.01320605
-5.92796398,2.25713108,0.42748212,1.10221045,0.00796922,0.26483084,0.27937822,0.13834801,0.01005343,0.96695039
-5.92196098,2.13442306,0.39711776,1.05033244,0.00741666,0.24316851,0.26119599,0.13089482,0.00919173,0.92020677
-5.91595798,2.01373128,0.36787317,0.99885050,0.00689524,0.22239090,0.24347868,0.12347970,0.00837377,0.87340711
-5.90995498,1.89611401,0.33999171,0.94822889,0.00641101,0.20264592,0.22640093,0.11617444,0.00760674,0.82698543
-5.90395198,1.78257029,0.31369160,0.89891839,0.00596925,0.18406303,0.21012461,0.10904721,0.00689646,0.78136491
