energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,7.25409532,0.03974602,0.84278887,0.87893144,0.00000000,4.28164383,2.12076857,0.11429801,2.42546907
-5.99399700,7.22894333,0.03809601,0.85587279,0.86723383,0.00000000,4.33698359,2.13003623,0.11129069,2.38989958
-5.98799400,7.20078429,0.03646246,0.86768529,0.85511291,0.00000000,4.38033534,2.13814498,0.10857430,2.35542453
-5.98199100,7.16857977,0.03485604,0.87803206,0.84245228,0.00000000,4.41071512,2.14467905,0.10614191,2.32183945
-5.97598799,7.13140398,0.03328633,0.88675359,0.82914562,0.00000000,4.42745655,2.14927061,0.10398200,2.28891850
-5.96998499,7.08850415,0.03176184,0.89373107,0.81510531,0.00000000,4.43024297,2.15161982,0.10207922,2.25643491
-5.96398199,7.03934958,0.03028996,0.89889015,0.80027023,0.00000000,4.41912387,2.15151084,0.10041514,2.22417998
-5.95797899,6.98366645,0.02887710,0.90220230,0.78461211,0.00000000,4.39451439,2.14882272,0.09896901,2.19197964
-5.95197599,6.92145674,0.02752868,0.90368361,0.76814031,0.00000000,4.35717765,2.14353503,0.09771854,2.15970783
-5.94597299,6.85300050,0.02624930,0.90339121,0.75090484,0.00000000,4.30819079,2.13572771,0.09664054,2.12729608
-5.93996998,6.77884197,0.02504271,0.90141733,0.73299750,0.00000000,4.24889632,2.12557562,0.09571157,2.09473915
-5.93396698,6.69976102,0.02391195,0.89788160,0.71455122,0.00000000,4.18084147,2.11333823,0.09490839,2.06209670
-5.92796398,6.61673235,0.02285939,0.89292189,0.69573770,0.00000000,4.10570896,2.09934535,0.09420847,2.02949125
-5.92196098,6.53087559,0.02188673,0.88668443,0.67676346,0.00000000,4.02524281,2.08397983,0.09359022,1.99710299
-5.91595798,6.44340002,0.02099503,0.87931373,0.65786474,0.00000000,3.94117351,2.06765868,0.09303334,1.96516209
-5.90995498,6.35554771,0.02018473,0.87094317,0.63930131,0.00000000,3.85514637,2.05081363,0.09251897,1.93393923
-5.90395198,6.26853889,0.01945560,0.86168666,0.62134973,0.00000000,3.76865715,2.03387247,0.09202985,1.90373525
-5.89794897,6.18352295,0.01880671,0.85163209,0.60429614,0.00000000,3.68299801,2.01724221,0.09155047,1.87487055
-5.89194597,6.10153794,0.01823641,0.84083692,0.58842912,0.00000000,3.59921650,2.00129499,0.09106719,1.84767508
-5.88594297,6.02348047,0.01774232,0.82932621,0.57403263,0.00000000,3.51808940,1.98635730,0.09056838,1.82247927
-5.87993997,5.95008726,0.01732126,0.81709323,0.56137943,0.00000000,3.44011201,1.97270287,0.09004454,1.79960637
-5.87393697,5.88192835,0.01696930,0.80410257,0.55072507,0.00000000,3.36550298,1.96054929,0.08948842,1.77936626
-5.86793397,5.81941133,0.01668174,0.79029547,0.54230252,0.00000000,3.29422336,1.95005811,0.08889519,1.76205073
-5.86193097,5.76279483,0.01645318,0.77559710,0.53631758,0.00000000,3.22600812,1.94133784,0.08826246,1.74793002
-5.85592796,5.71220919,0.01627755,0.75992514,0.53294506,0.00000000,3.16040758,1.93444930,0.08759041,1.73725021
-5.84992496,5.66768154,0.01614822,0.74319925,0.53232561,0.00000000,3.09683566,1.92941236,0.08688166,1.73023103
-5.84392196,5.62916235,0.01605809,0.72535061,0.53456338,0.00000000,3.03462175,1.92621332,0.08614120,1.72706368
-5.83791896,5.59655083,0.01599970,0.70633101,0.53972415,0.00000000,2.97306292,1.92481202,0.08537613,1.72790810
-5.83191596,5.56971648,0.01596538,0.68612093,0.54783414,0.00000000,2.91147332,1.92514806,0.08459527,1.73288943
-5.82591296,5.54851484,0.01594741,0.66473599,0.55887917,0.00000000,2.84922818,1.92714539,0.08380867,1.74209338
-5.81990995,5.53279616,0.01593810,0.64223152,0.57280432,0.00000000,2.78580014,1.93071509,0.08302700,1.75556038
-5.81390695,5.52240629,0.01592998,0.61870488,0.58951393,0.00000000,2.72078637,1.93575615,0.08226086,1.77327872
-5.80790395,5.51718010,0.01591594,0.59429555,0.60887185,0.00000000,2.65392575,1.94215427,0.08151994,1.79517688
-5.80190095,5.51692830,0.01588930,0.56918297,0.63070209,0.00000000,2.58510582,1.94977917,0.08081232,1.82111558
-5.79589795,5.52141935,0.01584400,0.54358230,0.65478976,0.00000000,2.51436020,1.95848086,0.08014363,1.85088010
-5.78989495,5.53035861,0.01577463,0.51773849,0.68088232,0.00000000,2.44185738,1.96808553,0.07951640,1.88417359
-5.78389195,5.54336717,0.01567656,0.49191903,0.70869128,0.00000000,2.36788258,1.97839172,0.07892947,1.92061217
-5.77788894,5.55996287,0.01554600,0.46640582,0.73789431,0.00000000,2.29281444,1.98916774,0.07837766,1.95972240
