energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.86140969,0.42000716,0.27777109,0.00075950,0.15590143,0.00615696,1.01408250,0.54827998,0.19463041
-5.99399700,1.89350619,0.42528100,0.28850657,0.00075013,0.15573768,0.00639691,1.03529315,0.54024209,0.20051821
-5.98799400,1.92576800,0.43096773,0.29920489,0.00073979,0.15581875,0.00664452,1.05623965,0.53162430,0.20676831
-5.98199100,1.95764862,0.43688263,0.30974264,0.00072882,0.15619269,0.00689858,1.07651437,0.52257454,0.21331102
-5.97598799,1.98858931,0.44283258,0.31999583,0.00071766,0.15690565,0.00715834,1.09570579,0.51323244,0.22007531
-5.96998499,2.01804246,0.44862398,0.32984428,0.00070679,0.15800179,0.00742361,1.11341367,0.50372724,0.22699187
-5.96398199,2.04549552,0.45407088,0.33917591,0.00069675,0.15952320,0.00769485,1.12926450,0.49417652,0.23399614
-5.95797899,2.07049453,0.45900290,0.34789121,0.00068812,0.16150995,0.00797320,1.14292649,0.48468606,0.24103109
-5.95197599,2.09266630,0.46327266,0.35590741,0.00068154,0.16400021,0.00826053,1.15412371,0.47535053,0.24804966
-5.94597299,2.11173826,0.46676247,0.36316215,0.00067766,0.16703051,0.00855935,1.16264847,0.46625502,0.25501687
-5.93996998,2.12755501,0.46938985,0.36961667,0.00067716,0.17063600,0.00887284,1.16837163,0.45747716,0.26191147
-5.93396698,2.14009091,0.47111187,0.37525809,0.00068075,0.17485083,0.00920467,1.17125015,0.44908974,0.26872702
-5.92796398,2.14945799,0.47192788,0.38010083,0.00068912,0.17970864,0.00955890,1.17133160,0.44116347,0.27547268
-5.92196098,2.15590888,0.47188071,0.38418699,0.00070299,0.18524299,0.00993982,1.16875534,0.43376976,0.28217336
-5.91595798,2.15983447,0.47105610,0.38758566,0.00072304,0.19148804,0.01035171,1.16375024,0.42698329,0.28886954
-5.90995498,2.16175646,0.46958051,0.39039109,0.00074995,0.19847915,0.01079861,1.15662899,0.42088414,0.29561669
-5.90395198,2.16231496,0.46761731,0.39271995,0.00078435,0.20625358,0.01128414,1.14777918,0.41555935,0.30248434
-5.89794897,2.16225177,0.46536144,0.39470756,0.00082683,0.21485125,0.01181122,1.13765154,0.41110379,0.30955485
-5.89194597,2.16238979,0.46303289,0.39650339,0.00087794,0.22431533,0.01238185,1.12674567,0.40762029,0.31692200
-5.88594297,2.16360936,0.46086912,0.39826589,0.00093812,0.23469291,0.01299694,1.11559397,0.40521892,0.32468927
-5.87993997,2.16682251,0.45911672,0.40015698,0.00100776,0.24603532,0.01365613,1.10474426,0.40401556,0.33296793
-5.87393697,2.17294564,0.45802264,0.40233624,0.00108711,0.25839825,0.01435765,1.09474186,0.40412968,0.34187492
-5.86793397,2.18287174,0.45782532,0.40495510,0.00117631,0.27184144,0.01509831,1.08611163,0.40568144,0.35153041
-5.86193097,2.19744267,0.45874595,0.40815129,0.00127535,0.28642785,0.01587340,1.07934069,0.40878830,0.36205502
-5.85592796,2.21742233,0.46098021,0.41204354,0.00138405,0.30222223,0.01667684,1.07486242,0.41356109,0.37356679
-5.84992496,2.24347119,0.46469070,0.41672691,0.00150205,0.31928894,0.01750117,1.07304204,0.42009981,0.38617756
-5.84392196,2.27612268,0.47000038,0.42226871,0.00162880,0.33768903,0.01833776,1.07416436,0.42848923,0.39998906
-5.83791896,2.31576204,0.47698707,0.42870519,0.00176350,0.35747651,0.01917702,1.07842394,0.43879438,0.41508851
-5.83191596,2.36260779,0.48567932,0.43603914,0.00190517,0.37869395,0.02000854,1.08591780,0.45105623,0.43154385
-5.82591296,2.41669635,0.49605365,0.44423830,0.00205258,0.40136740,0.02082144,1.09664096,0.46528749,0.44939872
-5.81990995,2.47787029,0.50803338,0.45323481,0.00220426,0.42550089,0.02160456,1.11048477,0.48146894,0.46866729
-5.81390695,2.54577047,0.52148891,0.46292562,0.00235854,0.45107083,0.02234676,1.12723815,0.49954622,0.48932934
-5.80790395,2.61983269,0.53623971,0.47317386,0.00251354,0.47802041,0.02303715,1.14659164,0.51942738,0.51132557
-5.80190095,2.69928940,0.55205780,0.48381130,0.00266720,0.50625465,0.02366539,1.16814416,0.54098139,0.53455374
-5.79589795,2.78317686,0.56867291,0.49464170,0.00281732,0.53563625,0.02422183,1.19141258,0.56403769,0.55886587
