energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.50836877,0.00597993,0.08568114,0.41996963,0.48546977,0.00278840,0.58822503
-5.99399700,1.64791068,0.00574409,0.09589059,0.46953998,0.52889585,0.00312834,0.64153118
-5.98799400,1.79482647,0.00555839,0.10667435,0.52289894,0.57448784,0.00348769,0.69748497
-5.98199100,1.94852712,0.00542686,0.11795944,0.57993676,0.62214570,0.00386430,0.75581415
-5.97598799,2.10825029,0.00535227,0.12965588,0.64046793,0.67173050,0.00425564,0.81617728
-5.96998499,2.27305860,0.00533614,0.14165732,0.70422727,0.72306132,0.00465886,0.87816444
-5.96398199,2.44184378,0.00537879,0.15384231,0.77086840,0.77591340,0.00507085,0.94130032
-5.95797899,2.61333731,0.00547938,0.16607622,0.83996484,0.83001769,0.00548838,1.00504981
-5.95197599,2.78612773,0.00563606,0.17821370,0.91101405,0.88506221,0.00590818,1.06882632
-5.94597299,2.95868499,0.00584603,0.19010176,0.98344450,0.94069539,0.00632709,1.13200264
-5.93996998,3.12939112,0.00610576,0.20158332,1.05662587,0.99653132,0.00674219,1.19392421
-5.93396698,3.29657683,0.00641106,0.21250105,1.12988206,1.05215714,0.00715091,1.25392443
-5.92796398,3.45856260,0.00675730,0.22270155,1.20250668,1.10714212,0.00755115,1.31134156
-5.92196098,3.61370304,0.00713956,0.23203952,1.27378060,1.16104825,0.00794137,1.36553650
-5.91595798,3.76043240,0.00755279,0.24038191,1.34299069,1.21344187,0.00832065,1.41591088
-5.90995498,3.89730949,0.00799194,0.24761177,1.40944913,1.26390574,0.00868874,1.46192445
-5.90395198,4.02305954,0.00845213,0.25363171,1.47251228,1.31205094,0.00904605,1.50311120
-5.89794897,4.13661110,0.00892874,0.25836683,1.53159816,1.35752798,0.00939362,1.53909315
-5.89194597,4.23712584,0.00941750,0.26176690,1.58620183,1.40003635,0.00973299,1.56959133
-5.88594297,4.32401970,0.00991455,0.26380778,1.63590761,1.43933205,0.01006614,1.59443307
-5.87993997,4.39697398,0.01041649,0.26449205,1.68039772,1.47523249,0.01039532,1.61355553
-5.87393697,4.45593577,0.01092032,0.26384864,1.71945670,1.50761852,0.01072283,1.62700479
-5.86793397,4.50110760,0.01142346,0.26193177,1.75297148,1.53643349,0.01105086,1.63493092
-5.86193097,4.53292676,0.01192364,0.25881894,1.78092711,1.56167924,0.01138130,1.63757897
-5.85592796,4.55203553,0.01241884,0.25460833,1.80339848,1.58340946,0.01171548,1.63527645
-5.84992496,4.55924400,0.01290715,0.24941558,1.82053851,1.60172089,0.01205403,1.62841799
-5.84392196,4.55548763,0.01338670,0.24337013,1.83256373,1.61674284,0.01239672,1.61744795
-5.83791896,4.54178220,0.01385547,0.23661133,1.83973797,1.62862600,0.01274233,1.60284191
-5.83191596,4.51917857,0.01431126,0.22928446,1.84235551,1.63753118,0.01308861,1.58508818
-5.82591296,4.48872017,0.01475152,0.22153680,1.84072440,1.64361896,0.01343228,1.56467010
-5.81990995,4.45140535,0.01517334,0.21351397,1.83515134,1.64704084,0.01376906,1.54205026
-5.81390695,4.40815683,0.01557340,0.20535662,1.82592872,1.64793275,0.01409382,1.51765725
-5.80790395,4.35979966,0.01594793,0.19719758,1.81332470,1.64641107,0.01440073,1.49187562
-5.80190095,4.30704855,0.01629279,0.18915958,1.79757681,1.64257167,0.01468354,1.46503943
-5.79589795,4.25050487,0.01660353,0.18135355,1.77888915,1.63649186,0.01493579,1.43742939
-5.78989495,4.19066272,0.01687548,0.17387750,1.75743326,1.62823499,0.01515118,1.40927375
-5.78389195,4.12792312,0.01710394,0.16681598,1.73335226,1.61785726,0.01532382,1.38075222
-5.77788894,4.06261451,0.01728428,0.16024002,1.70676777,1.60541623,0.01544859,1.35200280
-5.77188594,3.99501781,0.01741214,0.15420755,1.67778871,1.59098008,0.01552140,1.32313056
-5.76588294,3.92539361,0.01748362,0.14876412,1.64652141,1.57463705,0.01553943,1.29421772
-5.75987994,3.85400939,0.01749546,0.14394393,1.61307988,1.55650408,0.01550140,1.26533433
-5.75387694,3.78116467,0.01744517,0.13977096,1.57759551,1.53673398,0.01540761,1.23654855
-5.74787394,3.70721217,0.01733118,0.13626027,1.54022551,1.51552058,0.01526008,1.20793621
-5.74187094,3.63257380,0.01715296,0.13341921,1.50115929,1.49310141,0.01506250,1.17958882
-5.73586793,3.55775045,0.01691109,0.13124864,1.46062256,1.46975772,0.01482017,1.15161973
-5.72986493,3.48332541,0.01660729,0.12974412,1.41887886,1.44581181,0.01453981,1.12416832
-5.72386193,3.40996145,0.01624440,0.12889693,1.37622857,1.42162197,0.01422939,1.09740212
-5.71785893,3.33839248,0.01582641,0.12869508,1.33300551,1.39757533,0.01389780,1.07151689
-5.71185593,3.26941071,0.01535830,0.12912416,1.28957171,1.37407923,0.01355457,1.04673509
-5.70585293,3.20385060,0.01484601,0.13016820,1.24631059,1.35155177,0.01320957,1.02330292
-5.69984992,3.14257120,0.01429629,0.13181046,1.20361937,1.33041206,0.01287260,1.00148641
-5.69384692,3.08643815,0.01371655,0.13403417,1.16190104,1.31107093,0.01255314,0.98156687
-5.68784392,3.03630656,0.01311471,0.13682331,1.12155662,1.29392258,0.01226003,0.96383610
-5.68184092,2.99300586,0.01249908,0.14016327,1.08297801,1.27933753,0.01200122,0.94859166
-5.67583792,2.95732700,0.01187811,0.14404150,1.04654182,1.26765717,0.01178359,0.93613226
-5.66983492,2.93001240,0.01126033,0.14844805,1.01260435,1.25918988,0.01161277,0.92675342
-5.66383192,2.91174826,0.01065413,0.15337593,0.98149770,1.25420871,0.01149315,0.92074340
-5.65782891,2.90315877,0.01006762,0.15882129,0.95352693,1.25295018,0.01142778,0.91837908
-5.65182591,2.90480126,0.00950853,0.16478326,0.92896806,1.25561390,0.01141850,0.91992176
-5.64582291,2.91716137,0.00898405,0.17126350,0.90806652,1.26236247,0.01146599,0.92561250
-5.63981991,2.94064700,0.00850073,0.17826533,0.89103570,1.27332107,0.01156997,0.93566682
-5.63381691,2.97558009,0.00806438,0.18579243,0.87805531,1.28857636,0.01172932,0.95026842
-5.62781391,3.02218553,0.00767996,0.19384713,0.86926908,1.30817418,0.01194232,0.96956198
-5.62181091,3.08057654,0.00735155,0.20242828,0.86478167,1.33211579,0.01220681,0.99364482
-5.61580790,3.15073661,0.00708224,0.21152884,0.86465464,1.36035255,0.01252041,1.02255766
-5.60980490,3.23249836,0.00687409,0.22113320,0.86890145,1.39277923,0.01288065,1.05627471
-5.60380190,3.32552025,0.00672813,0.23121442,0.87748167,1.42922604,0.01328506,1.09469356
-5.59779890,3.42926255,0.00664432,0.24173154,0.89029477,1.46945016,0.01373133,1.13762534
-5.59179590,3.54296416,0.00662154,0.25262717,0.90717381,1.51312716,0.01421725,1.18478594
-5.58579290,3.66562260,0.00665766,0.26382549,0.92787968,1.55984344,0.01474076,1.23578896
-5.57978989,3.79597907,0.00674958,0.27523091,0.95209647,1.60909024,0.01529981,1.29014115
-5.57378689,3.93251090,0.00689330,0.28672752,0.97942853,1.66026040,0.01589234,1.34724109
-5.56778389,4.07343324,0.00708402,0.29817950,1.00939996,1.71264849,0.01651605,1.40638173
-5.56178089,4.21671167,0.00731632,0.30943255,1.04145687,1.76545513,0.01716830,1.46675720
-5.55577789,4.36008675,0.00758426,0.32031642,1.07497296,1.81779592,0.01784590,1.52747422
-5.54977489,4.50111086,0.00788160,0.33064854,1.10925852,1.86871522,0.01854500,1.58756809
-5.54377189,4.63719715,0.00820200,0.34023856,1.14357298,1.91720484,0.01926090,1.64602298
-5.53776888,4.76567949,0.00853926,0.34889382,1.17714069,1.96222708,0.01998794,1.70179603
-5.53176588,4.88388149,0.00888749,0.35642539,1.20916964,2.00274164,0.02071950,1.75384451
-5.52576288,4.98919238,0.00924141,0.36265456,1.23887250,2.03773536,0.02144793,1.80115498
-5.51975988,5.07914639,0.00959654,0.36741942,1.26548907,2.06625364,0.02216461,1.84277332
-5.51375688,5.15150246,0.00994940,0.37058120,1.28830941,2.08743215,0.02286007,1.87783427
-5.50775388,5.20432058,0.01029776,0.37203014,1.30669650,2.10052747,0.02352417,1.90558931
