energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,4.62408656,1.49841936,2.03182733,0.08640232,0.88696113,1.54292553,0.01032930
-5.99399700,4.57672723,1.46270773,2.02540221,0.08509426,0.88660494,1.51421163,0.00988141
-5.98799400,4.54020883,1.43132618,2.02332921,0.08386766,0.88832103,1.48939835,0.00945207
-5.98199100,4.51372577,1.40407605,2.02498526,0.08273261,0.89210102,1.46818438,0.00904272
-5.97598799,4.49605907,1.38060663,2.02956878,0.08169325,0.89786638,1.45012427,0.00865415
-5.96998499,4.48562295,1.36043184,2.03612716,0.08074764,0.90547174,1.43464751,0.00828648
-5.96398199,4.48052455,1.34295148,2.04358985,0.07988784,0.91471064,1.42108210,0.00793923
-5.95797899,4.47863462,1.32747603,2.05080595,0.07910020,0.92532336,1.40868150,0.00761139
-5.95197599,4.47766659,1.31325443,2.05658480,0.07836587,0.93700672,1.39665401,0.00730146
-5.94597299,4.47526099,1.29950346,2.05973829,0.07766163,0.94942530,1.38419352,0.00700758
-5.93996998,4.46907214,1.28543786,2.05912295,0.07696078,0.96222374,1.37051034,0.00672764
-5.93396698,4.45685334,1.27029985,2.05368055,0.07623427,0.97503939,1.35486094,0.00645934
-5.92796398,4.43653759,1.25338698,2.04247527,0.07545194,0.98751505,1.33657549,0.00620033
-5.92196098,4.40631030,1.23407738,2.02472634,0.07458374,0.99931081,1.31508206,0.00594834
-5.91595798,4.36467138,1.21185120,1.99983467,0.07360105,1.01011483,1.28992663,0.00570122
-5.90995498,4.31048423,1.18630782,1.96740264,0.07247786,1.01965227,1.26078826,0.00545710
-5.90395198,4.24301007,1.15717802,1.92724645,0.07119185,1.02769215,1.22748879,0.00521441
-5.89794897,4.16192644,1.12433093,1.87940058,0.06972538,1.03405180,1.18999710,0.00497194
-5.89194597,4.06732975,1.08777570,1.82411463,0.06806617,1.03859878,1.14842766,0.00472893
-5.88594297,3.95972232,1.04765792,1.76184280,0.06620786,1.04125031,1.10303402,0.00448502
-5.87993997,3.83998523,1.00425146,1.69322683,0.06415024,1.04197023,1.05419742,0.00424028
-5.87393697,3.70933865,0.95794597,1.61907335,0.06189929,1.04076408,1.00241151,0.00399518
-5.86793397,3.56929217,0.90923120,1.54032682,0.05946700,1.03767237,0.94826388,0.00375058
-5.86193097,3.42158775,0.85867861,1.45803943,0.05687086,1.03276280,0.89241540,0.00350763
-5.85592796,3.26813822,0.80692147,1.37333933,0.05413335,1.02612192,0.83557841,0.00326775
-5.84992496,3.11096421,0.75463425,1.28739847,0.05128105,1.01784676,0.77849467,0.00303254
-5.84392196,2.95213242,0.70251218,1.20140143,0.04834386,1.00803712,0.72191403,0.00280375
-5.83791896,2.79369754,0.65125178,1.11651622,0.04535396,0.99678886,0.66657455,0.00258315
-5.83191596,2.63765010,0.60153306,1.03386807,0.04234488,0.98418876,0.61318480,0.00237254
-5.82591296,2.48587177,0.55400377,0.95451679,0.03935051,0.97031118,0.56240870,0.00217362
-5.81990995,2.34009917,0.50926618,0.87943816,0.03640417,0.95521665,0.51485331,0.00198802
-5.81390695,2.20189674,0.46786652,0.80950962,0.03353781,0.93895246,0.47105954,0.00181721
