energy_ev,total_up,Au_p_up,Au_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.26054350,0.94805446,1.99888373,1.24019982,0.54402965,0.00688490,0.41210588,0.00349747,1.36430338
-5.99399700,4.13024478,0.90773735,1.93859309,1.22078125,0.52804060,0.00655963,0.39531261,0.00338670,1.33003771
-5.98799400,3.99860760,0.86845727,1.87776397,1.20052324,0.51132901,0.00622377,0.37852222,0.00328402,1.29485471
-5.98199100,3.86706054,0.83052519,1.81706212,1.17967455,0.49411202,0.00588144,0.36190768,0.00318903,1.25917218
-5.97598799,3.73692010,0.79419133,1.75711193,1.15844722,0.47660606,0.00553653,0.34562360,0.00310144,1.22337246
-5.96998499,3.60936548,0.75964197,1.69848624,1.13701291,0.45902107,0.00519262,0.32980269,0.00302103,1.18779399
-5.96398199,3.48542115,0.72699910,1.64169878,1.11550168,0.44155545,0.00485295,0.31455340,0.00294771,1.15272572
-5.95797899,3.36594736,0.69632277,1.58719953,1.09400311,0.42439197,0.00452036,0.29995885,0.00288148,1.11840418
-5.95197599,3.25163794,0.66761595,1.53537251,1.07256957,0.40769458,0.00419731,0.28607697,0.00282245,1.08501328
-5.94597299,3.14302475,0.64083137,1.48653572,1.05122117,0.39160620,0.00388582,0.27294176,0.00277085,1.05268651
-5.93996998,3.04048738,0.61588014,1.44094276,1.02995216,0.37624739,0.00358750,0.26056554,0.00272702,1.02151104
-5.93396698,2.94426689,0.59264125,1.39878555,1.00873804,0.36171587,0.00330357,0.24894199,0.00269142,0.99153344
-5.92796398,2.85448201,0.57097172,1.36019762,0.98754302,0.34808672,0.00303488,0.23804965,0.00266464,0.96276631
-5.92196098,2.77114635,0.55071656,1.32525755,0.96632734,0.33541320,0.00278196,0.22785582,0.00264736,0.93519548
-5.91595798,2.69418522,0.53171813,1.29399198,0.94505380,0.32372797,0.00254503,0.21832032,0.00264037,0.90878711
-5.90995498,2.62345104,0.51382441,1.26637815,0.92369336,0.31304469,0.00232406,0.20939918,0.00264452,0.88349441
-5.90395198,2.55873628,0.49689577,1.24234553,0.90222923,0.30335980,0.00211881,0.20104783,0.00266073,0.85926344
-5.89794897,2.49978370,0.48081001,1.22177682,0.88065958,0.29465443,0.00192886,0.19322373,0.00268986,0.83603792
-5.89194597,2.44629350,0.46546557,1.20450825,0.85899847,0.28689630,0.00175367,0.18588837,0.00273275,0.81376269
-5.88594297,2.39792761,0.45078288,1.19032963,0.83727540,0.28004164,0.00159258,0.17900845,0.00279012,0.79238594
-5.87993997,2.35431178,0.43670389,1.17898444,0.81553343,0.27403703,0.00144488,0.17255648,0.00286249,0.77186024
-5.87393697,2.31503597,0.42319022,1.17017040,0.79382618,0.26882113,0.00130982,0.16651060,0.00295015,0.75214240
-5.86793397,2.27965407,0.41021999,1.16354109,0.77221416,0.26432636,0.00118660,0.16085394,0.00305307,0.73319254
-5.86193097,2.24768395,0.39778392,1.15870900,0.75076073,0.26048050,0.00107446,0.15557350,0.00317087,0.71497266
-5.85592796,2.21860863,0.38588094,1.15525029,0.72952807,0.25720821,0.00097262,0.15065882,0.00330271,0.69744480
-5.84992496,2.19187955,0.37451381,1.15271167,0.70857362,0.25443245,0.00088033,0.14610048,0.00344733,0.68056936
-5.84392196,2.16692249,0.36368503,1.15061940,0.68794724,0.25207601,0.00079688,0.14188872,0.00360298,0.66430365
-5.83791896,2.14314643,0.35339348,1.14849032,0.66768939,0.25006283,0.00072156,0.13801216,0.00376741,0.64860105
-5.83191596,2.11995558,0.34363187,1.14584466,0.64783041,0.24831940,0.00065373,0.13445688,0.00393795,0.63341082
-5.82591296,2.09676423,0.33438526,1.14222029,0.62839111,0.24677604,0.00059277,0.13120581,0.00411146,0.61867867
-5.81990995,2.07301378,0.32563066,1.13718769,0.60938437,0.24536819,0.00053811,0.12823855,0.00428450,0.60434822
-5.81390695,2.04819134,0.31733770,1.13036502,0.59081786,0.24403752,0.00048921,0.12553159,0.00445330,0.59036304
