energy_ev,total_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,0.52725598,0.40765965,0.15061341,0.00009914,0.10578102,0.29691811,0.00101780
-5.99399700,0.55191393,0.42532340,0.15783313,0.00011069,0.10920236,0.31102317,0.00115691
-5.98799400,0.57515700,0.44171326,0.16469005,0.00012304,0.11213710,0.32430759,0.00130889
-5.98199100,0.59689538,0.45676664,0.17116684,0.00013614,0.11458976,0.33669553,0.00147385
-5.97598799,0.61709974,0.47047512,0.17726415,0.00014993,0.11658701,0.34813965,0.00165167
-5.96998499,0.63580350,0.48288641,0.18300138,0.00016431,0.11817847,0.35862229,0.00184206
-5.96398199,0.65310301,0.49410420,0.18841665,0.00017918,0.11943686,0.36815567,0.00204450
-5.95797899,0.66915539,0.50428608,0.19356623,0.00019442,0.12045709,0.37678101,0.00225827
-5.95197599,0.68417418,0.51363933,0.19852320,0.00020988,0.12135465,0.38456675,0.00248242
-5.94597299,0.69842284,0.52241483,0.20337554,0.00022540,0.12226287,0.39160586,0.00271582
-5.93996998,0.71220649,0.53089914,0.20822349,0.00024082,0.12332949,0.39801241,0.00295717
-5.93396698,0.72586194,0.53940505,0.21317661,0.00025598,0.12471238,0.40391760,0.00320503
-5.92796398,0.73974647,0.54826091,0.21835017,0.00027071,0.12657450,0.40946535,0.00345784
-5.92196098,0.75422580,0.55779900,0.22386147,0.00028485,0.12907845,0.41480766,0.00371396
-5.91595798,0.76966143,0.56834350,0.22982576,0.00029829,0.13238059,0.42009993,0.00397173
-5.90995498,0.78639800,0.58019820,0.23635221,0.00031092,0.13662493,0.42549629,0.00422947
-5.90395198,0.80475094,0.59363466,0.24353992,0.00032267,0.14193716,0.43114525,0.00448557
-5.89794897,0.82499474,0.60888100,0.25147410,0.00033356,0.14841892,0.43718563,0.00473847
-5.89194597,0.84735246,0.62611191,0.26022257,0.00034361,0.15614251,0.44374293,0.00498672
-5.88594297,0.87198661,0.64544009,0.26983275,0.00035293,0.16514639,0.45092621,0.00522899
-5.87993997,0.89899181,0.66690965,0.28032916,0.00036172,0.17543165,0.45882556,0.00546407
-5.87393697,0.92838962,0.69049171,0.29171168,0.00037021,0.18695950,0.46751015,0.00569094
-5.86793397,0.96012571,0.71608247,0.30395451,0.00037872,0.19965025,0.47702702,0.00590867
-5.86193097,0.99406957,0.74350388,0.31700607,0.00038764,0.21338354,0.48740048,0.00611651
