energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,6.54315386,0.00083284,1.92658817,2.45243760,4.19730773,0.05813300,0.60724174
-5.99399700,6.36994347,0.00099298,1.86851632,2.47935735,4.05149341,0.05572959,0.60544691
-5.98799400,6.20488621,0.00117719,1.81003080,2.50816536,3.90786463,0.05347087,0.60778348
-5.98199100,6.04862210,0.00138725,1.75134363,2.53814684,3.76736936,0.05134775,0.61422674
-5.97598799,5.90159462,0.00162476,1.69261262,2.56857294,3.63080713,0.04934848,0.62473602
-5.96998499,5.76404827,0.00189102,1.63394291,2.59872425,3.49881558,0.04745934,0.63925333
-5.96398199,5.63603614,0.00218699,1.57539235,2.62791585,3.37186590,0.04566540,0.65770137
-5.95797899,5.51743661,0.00251322,1.51698045,2.65552267,3.25026691,0.04395121,0.67998111
-5.95197599,5.40797782,0.00286978,1.45870016,2.68100383,3.13417689,0.04230161,0.70596914
-5.94597299,5.30726802,0.00325620,1.40053155,2.70392454,3.02362195,0.04070239,0.73551477
-5.93996998,5.21482948,0.00367141,1.34245652,2.72397424,2.91851926,0.03914099,0.76843737
-5.93396698,5.13013382,0.00411377,1.28447330,2.74098000,2.81870348,0.03760703,0.80452392
-5.92796398,5.05263639,0.00458100,1.22660992,2.75491424,2.72395450,0.03609283,0.84352713
-5.92196098,4.98180799,0.00507022,1.16893579,2.76589663,2.63402490,0.03459376,0.88516435
-5.91595798,4.91716249,0.00557800,1.11157054,2.77419003,2.54866564,0.03310846,0.92911751
-5.90995498,4.85827945,0.00610040,1.05468986,2.78019112,2.46764889,0.03163900,0.97503433
-5.90395198,4.80482161,0.00663308,0.99852812,2.78441659,2.39078721,0.03019088,1.02253110
-5.89794897,4.75654739,0.00717138,0.94337763,2.78748614,2.31794873,0.02877291,1.07119706
-5.89194597,4.71331916,0.00771046,0.88958504,2.79010379,2.24906831,0.02739702,1.12060065
-5.88594297,4.67510829,0.00824542,0.83754521,2.79303899,2.18415481,0.02607795,1.17029753
-5.87993997,4.64199811,0.00877146,0.78769301,2.79710907,2.12329501,0.02483296,1.21984033
-5.87393697,4.61418586,0.00928404,0.74049397,2.80316428,2.06665476,0.02368142,1.26878998
-5.86793397,4.59198454,0.00977899,0.69643413,2.81207642,2.01447778,0.02264439,1.31672824
-5.86193097,4.57582509,0.01025266,0.65600977,2.82473144,1.96708281,0.02174421,1.36327095
-5.85592796,4.56625911,0.01070203,0.61971762,2.84202626,1.92485935,0.02100409,1.40808161
-5.84992496,4.56396157,0.01112483,0.58804565,2.86486902,1.88826226,0.02044764,1.45088446
-5.84392196,4.56973268,0.01151956,0.56146478,2.89418202,1.85780525,0.02009851,1.49147652
