energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.97394981,0.73037799,0.29469454,0.00287668,0.41683401,0.02094288,0.85366202,0.39483485,0.43324487
-5.99399700,1.96898784,0.73567452,0.29598482,0.00275619,0.40869202,0.02001174,0.86138942,0.39451882,0.42785264
-5.98799400,1.96461962,0.74014111,0.29710487,0.00265169,0.40122571,0.01902192,0.86880499,0.39424923,0.42294551
-5.98199100,1.96123138,0.74374920,0.29809327,0.00256334,0.39462550,0.01799102,0.87592207,0.39407579,0.41867342
-5.97598799,1.95908640,0.74645461,0.29897207,0.00249077,0.38904847,0.01693609,0.88271052,0.39402763,0.41515753
-5.96998499,1.95831657,0.74819661,0.29974525,0.00243305,0.38461543,0.01587317,0.88909513,0.39411263,0.41248787
-5.96398199,1.95892050,0.74889828,0.30039823,0.00238882,0.38140938,0.01481689,0.89495661,0.39431777,0.41072220
-5.95797899,1.96076795,0.74846826,0.30089859,0.00235635,0.37947528,0.01378020,0.90013529,0.39461049,0.40988614
-5.95197599,1.96361061,0.74680385,0.30119784,0.00233365,0.37882115,0.01277411,0.90443738,0.39494091,0.40997438
-5.94597299,1.96709837,0.74379540,0.30123428,0.00231857,0.37942030,0.01180765,0.90764350,0.39524488,0.41095295
-5.93996998,1.97080027,0.73933177,0.30093678,0.00230891,0.38121446,0.01088779,0.90951917,0.39544779,0.41276230
-5.93396698,1.97422893,0.73330658,0.30022922,0.00230256,0.38411777,0.01001952,0.90982662,0.39546875,0.41532100
-5.92796398,1.97686712,0.72562509,0.29903544,0.00229755,0.38802113,0.00920600,0.90833737,0.39522507,0.41852997
-5.92196098,1.97819501,0.71621103,0.29728436,0.00229219,0.39279690,0.00844873,0.90484489,0.39463683,0.42227669
-5.91595798,1.97771666,0.70501329,0.29491506,0.00228516,0.39830354,0.00774781,0.89917674,0.39363115,0.42643957
-5.90995498,1.97498435,0.69201184,0.29188150,0.00227554,0.40439006,0.00710217,0.89120534,0.39214607,0.43089189
-5.90395198,1.96961958,0.67722266,0.28815665,0.00226290,0.41090007,0.00650989,0.88085704,0.39013376,0.43550542
-5.89794897,1.96132970,0.66070127,0.28373584,0.00224736,0.41767529,0.00596842,0.86811880,0.38756302,0.44015342
-5.89194597,1.94991961,0.64254466,0.27863911,0.00222954,0.42455845,0.00547486,0.85304227,0.38442073,0.44471305
-5.88594297,1.93529803,0.62289146,0.27291249,0.00221066,0.43139553,0.00502618,0.83574502,0.38071253,0.44906708
-5.87993997,1.91747840,0.60192037,0.26662816,0.00219245,0.43803740,0.00461941,0.81640890,0.37646248,0.45310498
-5.87393697,1.89657473,0.57984682,0.25988339,0.00217717,0.44434090,0.00425178,0.79527567,0.37171186,0.45672345
-5.86793397,1.87279295,0.55691809,0.25279854,0.00216750,0.45016955,0.00392087,0.77264017,0.36651731,0.45982656
-5.86193097,1.84641851,0.53340717,0.24551389,0.00216658,0.45539391,0.00362459,0.74884139,0.36094836,0.46232550
-5.85592796,1.81780138,0.50960562,0.23818583,0.00217781,0.45989187,0.00336129,0.72425202,0.35508462,0.46413831
-5.84992496,1.78733946,0.48581585,0.23098222,0.00220488,0.46354900,0.00312971,0.69926696,0.34901287,0.46518954
-5.84392196,1.75546133,0.46234321,0.22407741,0.00225161,0.46625903,0.00292895,0.67429133,0.34282409,0.46541021
-5.83791896,1.72260972,0.43948833,0.21764694,0.00232183,0.46792469,0.00275840,0.64972871,0.33661086,0.46473794
