energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,5.95159370,1.36081677,0.00000000,1.14247650,3.27813759,0.06330110,2.05927459
-5.99399700,5.95515530,1.37448269,0.00000000,1.14564632,3.28886122,0.06263182,2.05338093
-5.98799400,5.95288845,1.38532465,0.00000000,1.14994010,3.29418002,0.06197279,2.04619535
-5.98199100,5.94475878,1.39311080,0.00000000,1.15535981,3.29388198,0.06133044,2.03789320
-5.97598799,5.93094814,1.39770273,0.00000000,1.16193421,3.28792022,0.06071277,2.02868839
-5.96998499,5.91185499,1.39905841,0.00000000,1.16971577,3.27641711,0.06012933,2.01883130
-5.96398199,5.88808565,1.39723159,0.00000000,1.17877610,3.25966200,0.05959107,2.00860470
-5.95797899,5.86043674,1.39236767,0.00000000,1.18920018,3.23810264,0.05911017,1.99831779
-5.95197599,5.82986959,1.38469626,0.00000000,1.20107981,3.21233072,0.05869973,1.98829870
-5.94597299,5.79747820,1.37452076,0.00000000,1.21450647,3.18306222,0.05837346,1.97888588
-5.93996998,5.76445225,1.36220571,0.00000000,1.22956440,3.15111365,0.05814534,1.97041879
-5.93396698,5.73203748,1.34816237,0.00000000,1.24632414,3.11737528,0.05802919,1.96322858
-5.92796398,5.70149542,1.33283335,0.00000000,1.26483711,3.08278277,0.05803838,1.95762926
-5.92196098,5.67406469,1.31667715,0.00000000,1.28513169,3.04828862,0.05818547,1.95390993
-5.91595798,5.65092584,1.30015313,0.00000000,1.30721103,3.01483470,0.05848189,1.95232840
-5.90995498,5.63317145,1.28370788,0.00000000,1.33105291,2.98332707,0.05893779,1.95310671
-5.90395198,5.62178248,1.26776324,0.00000000,1.35661151,2.95461410,0.05956184,1.95642863
-5.89794897,5.61761182,1.25270662,0.00000000,1.38382119,2.92946863,0.06036116,1.96243909
-5.89194597,5.62137492,1.23888369,0.00000000,1.41260182,2.90857447,0.06134131,1.97124552
-5.88594297,5.63364723,1.22659373,0.00000000,1.44286522,2.89251740,0.06250629,1.98292064
-5.87993997,5.65486742,1.21608726,0.00000000,1.47452232,2.88178049,0.06385864,1.99750638
-5.87393697,5.68534511,1.20756602,0.00000000,1.50749026,2.87674317,0.06539950,2.01501834
-5.86793397,5.72527153,1.20118469,0.00000000,1.54169879,2.87768346,0.06712869,2.03545017
-5.86193097,5.77473137,1.19705417,0.00000000,1.57709547,2.88478255,0.06904475,2.05877743
-5.85592796,5.83371424,1.19524566,0.00000000,1.61364890,2.89813087,0.07114499,2.08496031
-5.84992496,5.90212424,1.19579532,0.00000000,1.65134975,2.91773474,0.07342540,2.11394491
-5.84392196,5.97978648,1.19870889,0.00000000,1.69020919,2.94352303,0.07588060,2.14566285
-5.83791896,6.06644997,1.20396601,0.00000000,1.73025473,2.97535314,0.07850367,2.18002907
-5.83191596,6.16178649,1.21152386,0.00000000,1.77152354,3.01301594,0.08128595,2.21693806
-5.82591296,6.26538580,1.22131999,0.00000000,1.81405363,3.05623952,0.08421684,2.25625876
-5.81990995,6.37674795,1.23327426,0.00000000,1.85787329,3.10469174,0.08728353,2.29782860
-5.81390695,6.49527353,1.24728984,0.00000000,1.90298966,3.15798189,0.09047084,2.34144729
-5.80790395,6.62025360,1.26325354,0.00000000,1.94937695,3.21566163,0.09376100,2.38687100
-5.80190095,6.75086041,1.28103539,0.00000000,1.99696522,3.27722593,0.09713355,2.43380756
-5.79589795,6.88614064,1.30048792,0.00000000,2.04563063,3.34211421,0.10056537,2.48191340
-5.78989495,7.02501239,1.32144518,0.00000000,2.09518765,3.40971238,0.10403074,2.53079261
-5.78389195,7.16626705,1.34372191,0.00000000,2.14538402,3.47935597,0.10750156,2.57999870
-5.77788894,7.30857674,1.36711277,0.00000000,2.19589893,3.55033481,0.11094773,2.62903910
-5.77188594,7.45050759,1.39139213,0.00000000,2.24634452,3.62189925,0.11433755,2.67738254
-5.76588294,7.59053889,1.41631419,0.00000000,2.29627094,3.69326803,0.11763836,2.72446907
-5.75987994,7.72708731,1.44161373,0.00000000,2.34517473,3.76363759,0.12081711,2.76972242
-5.75387694,7.85853558,1.46700742,0.00000000,2.39251014,3.83219263,0.12384117,2.81256406
-5.74787394,7.98326423,1.49219559,0.00000000,2.43770309,3.89811750,0.12667897,2.85242851
-5.74187094,8.09968521,1.51686462,0.00000000,2.48016686,3.96060825,0.12930081,2.88877898
-5.73586793,8.20627591,1.54068968,0.00000000,2.51931900,4.01888465,0.13167956,2.92112277
-5.72986493,8.30161230,1.56333803,0.00000000,2.55459872,4.07220218,0.13379130,2.94902568
-5.72386193,8.38440001,1.58447258,0.00000000,2.58548384,4.11986353,0.13561588,2.97212473
-5.71785893,8.45350231,1.60375595,0.00000000,2.61150687,4.16122941,0.13713740,2.99013886
