energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.88568950,0.04627561,0.58150741,1.58768969,1.53928077,0.60063269,0.22478471,1.37712992,0.00000000
-5.99399700,3.93337758,0.04563146,0.58848228,1.60999383,1.56833955,0.61687734,0.22261377,1.39897403,0.00000000
-5.98799400,3.99174545,0.04499017,0.59687760,1.63698290,1.60017927,0.63476022,0.22151074,1.42569932,0.00000000
-5.98199100,4.05983197,0.04436716,0.60658855,1.66841177,1.63435618,0.65399898,0.22144451,1.45687731,0.00000000
-5.97598799,4.13631825,0.04377419,0.61745953,1.70388091,1.67030653,0.67426880,0.22235633,1.49194285,0.00000000
-5.96998499,4.21956990,0.04321912,0.62928920,1.74284926,1.70736419,0.69521218,0.22416263,1.53021097,0.00000000
-5.96398199,4.30769321,0.04270593,0.64183764,1.78465321,1.74478369,0.71645026,0.22675851,1.57089855,0.00000000
-5.95797899,4.39860321,0.04223492,0.65483529,1.82853093,1.78176795,0.73759544,0.23002201,1.61315007,0.00000000
-5.95197599,4.49010084,0.04180315,0.66799325,1.87365103,1.81749934,0.75826470,0.23381888,1.65606647,0.00000000
-5.94597299,4.57995606,0.04140498,0.68101449,1.91914421,1.85117277,0.77809322,0.23800756,1.69873622,0.00000000
-5.93996998,4.66599334,0.04103283,0.69360543,1.96413655,1.88202921,0.79674777,0.24244453,1.74026716,0.00000000
-5.93396698,4.74617582,0.04067796,0.70548722,2.00778289,1.90938808,0.81393941,0.24698944,1.77981807,0.00000000
-5.92796398,4.81868459,0.04033130,0.71640639,2.04929887,1.93267703,0.82943489,0.25151005,1.81662855,0.00000000
-5.92196098,4.88198947,0.03998432,0.72614418,2.08799016,1.95145757,0.84306638,0.25588681,1.85004607,0.00000000
-5.91595798,4.93490840,0.03962980,0.73452419,2.12327771,1.96544551,0.85473906,0.26001682,1.87954909,0.00000000
-5.90995498,4.97665283,0.03926250,0.74141817,2.15471783,1.97452512,0.86443626,0.26381703,1.90476525,0.00000000
-5.90395198,5.00685721,0.03887979,0.74674949,2.18201645,1.97875640,0.87222179,0.26722668,1.92548396,0.00000000
-5.89794897,5.02559149,0.03848200,0.75049435,2.20503695,1.97837515,0.87823946,0.27020880,1.94166279,0.00000000
-5.89194597,5.03335622,0.03807269,0.75268083,2.22380136,1.97378595,0.88270962,0.27275074,1.95342745,0.00000000
-5.88594297,5.03106062,0.03765875,0.75338563,2.23848497,1.96554831,0.88592274,0.27486374,1.96106535,0.00000000
-5.87993997,5.01998470,0.03725024,0.75272914,2.24940481,1.95435663,0.88823026,0.27658163,1.96501297,0.00000000
-5.87393697,5.00172725,0.03686013,0.75086874,2.25700243,1.94101512,0.89003296,0.27795856,1.96583761,0.00000000
-5.86793397,4.97814194,0.03650391,0.74799104,2.26182202,1.92640845,0.89176718,0.27906604,1.96421410,0.00000000
