energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,2.68039047,1.31177975,0.66619244,0.00488481,0.51152292,0.87613589,0.58580594,1.19294102,0.00000000
-5.99399700,2.51425253,1.22454750,0.62590231,0.00460080,0.48766061,0.80841438,0.55353943,1.11081484,0.00000000
-5.98799400,2.35327609,1.14099779,0.58696020,0.00431126,0.46487748,0.74292951,0.52186448,1.03087411,0.00000000
-5.98199100,2.19856896,1.06191501,0.54958397,0.00401968,0.44329103,0.68017954,0.49099969,0.95373812,0.00000000
-5.97598799,2.05110547,0.98798510,0.51396214,0.00372927,0.42301004,0.62058317,0.46115203,0.87994749,0.00000000
-5.96998499,1.91172906,0.91979231,0.48025603,0.00344293,0.40413658,0.56447867,0.43251701,0.80996258,0.00000000
-5.96398199,1.78115659,0.85781774,0.44860198,0.00316324,0.38676722,0.51212517,0.40527882,0.74416394,0.00000000
-5.95797899,1.65998332,0.80243939,0.41911326,0.00289239,0.37099318,0.46370570,0.37961039,0.68285435,0.00000000
-5.95197599,1.54868782,0.75393299,0.39188169,0.00263223,0.35689945,0.41933176,0.35567320,0.62626217,0.00000000
-5.94597299,1.44763619,0.71247349,0.36697860,0.00238426,0.34456283,0.37904900,0.33361669,0.57454553,0.00000000
-5.93996998,1.35708518,0.67813661,0.34445532,0.00214963,0.33404897,0.34284357,0.31357744,0.52779709,0.00000000
-5.93396698,1.27718397,0.65090052,0.32434295,0.00192919,0.32540856,0.31064886,0.29567786,0.48604895,0.00000000
-5.92796398,1.20797476,0.63064737,0.30665172,0.00172348,0.31867303,0.28235238,0.28002463,0.44927762,0.00000000
-5.92196098,1.14939225,0.61716491,0.29136992,0.00153279,0.31384992,0.25780241,0.26670685,0.41740873,0.00000000
-5.91595798,1.10126262,0.61014828,0.27846265,0.00135719,0.31091836,0.23681442,0.25579403,0.39032158,0.00000000
-5.90995498,1.06330253,0.60920238,0.26787055,0.00119654,0.30982503,0.21917693,0.24733414,0.36785325,0.00000000
-5.90395198,1.03511872,0.61384515,0.25950874,0.00105055,0.31048085,0.20465701,0.24135167,0.34980256,0.00000000
-5.89794897,1.01620892,0.62351209,0.25326626,0.00091877,0.31275886,0.19300517,0.23784604,0.33593386,0.00000000
-5.89194597,1.00596477,0.63756248,0.24900603,0.00080066,0.31649349,0.18395985,0.23679027,0.32598060,0.00000000
-5.88594297,1.00367709,0.65528762,0.24656563,0.00069562,0.32148138,0.17725147,0.23813028,0.31964917,0.00000000
-5.87993997,1.00854404,0.67592119,0.24575895,0.00060294,0.32748393,0.17260618,0.24178460,0.31662264,0.00000000
-5.87393697,1.01968230,0.69865192,0.24637873,0.00052193,0.33423158,0.16974926,0.24764484,0.31656490,0.00000000
-5.86793397,1.03614117,0.72263850,0.24820004,0.00045184,0.34142965,0.16840843,0.25557670,0.31912501,0.00000000
-5.86193097,1.05691954,0.74702635,0.25098450,0.00039196,0.34876569,0.16831690,0.26542172,0.32394187,0.00000000
-5.85592796,1.08098521,0.77096609,0.25448529,0.00034157,0.35591797,0.16921634,0.27699958,0.33064916,0.00000000
-5.84992496,1.10729600,0.79363288,0.25845267,0.00029998,0.36256480,0.17085971,0.29011099,0.33888052,0.00000000
-5.84392196,1.13482198,0.81424623,0.26263971,0.00026655,0.36839430,0.17301393,0.30454115,0.34827482,0.00000000
-5.83791896,1.16256793,0.83208932,0.26680822,0.00024069,0.37311413,0.17546237,0.32006348,0.35848153,0.00000000
-5.83191596,1.18959532,0.84652725,0.27073448,0.00022186,0.37646084,0.17800714,0.33644380,0.36916588,0.00000000
-5.82591296,1.21504291,0.85702322,0.27421455,0.00020957,0.37820832,0.18047103,0.35344465,0.38001380,0.00000000
-5.81990995,1.23814513,0.86315213,0.27706897,0.00020341,0.37817509,0.18269915,0.37082977,0.39073650,0.00000000
-5.81390695,1.25824766,0.86461084,0.27914671,0.00020302,0.37622992,0.18456020,0.38836847,0.40107450,0.00000000
-5.80790395,1.27481970,0.86122478,0.28032815,0.00020812,0.37229580,0.18594726,0.40584004,0.41080101,0.00000000
-5.80190095,1.28746238,0.85295039,0.28052703,0.00021848,0.36635188,0.18677818,0.42303782,0.41972465,0.00000000
-5.79589795,1.29591326,0.83987359,0.27969128,0.00023392,0.35843349,0.18699553,0.43977297,0.42769139,0.00000000
-5.78989495,1.30004680,0.82220407,0.27780287,0.00025431,0.34863015,0.18656601,0.45587779,0.43458563,0.00000000
-5.78389195,1.29987099,0.80026597,0.27487654,0.00027955,0.33708189,0.18547965,0.47120858,0.44033053,0.00000000
-5.77788894,1.29552028,0.77448518,0.27095762,0.00030957,0.32397392,0.18374841,0.48564774,0.44488755,0.00000000
-5.77188594,1.28724543,0.74537403,0.26611906,0.00034432,0.30953006,0.18140473,0.49910524,0.44825516,0.00000000
-5.76588294,1.27540062,0.71351403,0.26045781,0.00038374,0.29400519,0.17849960,0.51151931,0.45046696,0.00000000
-5.75987994,1.26042844,0.67953738,0.25409075,0.00042773,0.27767718,0.17510067,0.52285625,0.45158902,0.00000000
-5.75387694,1.24284344,0.64410811,0.24715025,0.00047620,0.26083852,0.17129005,0.53310943,0.45171684,0.00000000
-5.74787394,1.22321476,0.60790361,0.23977965,0.00052895,0.24378818,0.16716227,0.54229744,0.45097169,0.00000000
-5.74187094,1.20214857,0.57159711,0.23212884,0.00058577,0.22682384,0.16282200,0.55046150,0.44949673,0.00000000
-5.73586793,1.18027072,0.53584189,0.22434994,0.00064632,0.21023484,0.15838200,0.55766207,0.44745267,0.00000000
-5.72986493,1.15821025,0.50125751,0.21659333,0.00071020,0.19429608,0.15396099,0.56397500,0.44501350,0.00000000
-5.72386193,1.13658413,0.46841843,0.20900413,0.00077689,0.17926291,0.14968163,0.56948721,0.44236194,0.00000000
-5.71785893,1.11598349,0.43784515,0.20171910,0.00084578,0.16536713,0.14566857,0.57429212,0.43968505,0.00000000
-5.71185593,1.09696169,0.40999792,0.19486409,0.00091612,0.15281409,0.14204653,0.57848508,0.43716988,0.00000000
-5.70585293,1.08002433,0.38527287,0.18855201,0.00098709,0.14178078,0.13893844,0.58215901,0.43499945,0.00000000
-5.69984992,1.06562125,0.36400031,0.18288136,0.00105777,0.13241489,0.13646362,0.58540036,0.43334889,0.00000000
-5.69384692,1.05414056,0.34644489,0.17793518,0.00112716,0.12483452,0.13473590,0.58828566,0.43238201,0.00000000
-5.68784392,1.04590452,0.33280729,0.17378049,0.00119421,0.11912862,0.13386186,0.59087882,0.43224826,0.00000000
-5.68184092,1.04116723,0.32322700,0.17046810,0.00125782,0.11535770,0.13393898,0.59322922,0.43308018,0.00000000
-5.67583792,1.04011379,0.31778583,0.16803276,0.00131690,0.11355491,0.13505383,0.59537066,0.43499119,0.00000000
-5.66983492,1.04286090,0.31651177,0.16649353,0.00137040,0.11372719,0.13728029,0.59732120,0.43807402,0.00000000
-5.66383192,1.04945847,0.31938300,0.16585438,0.00141731,0.11585640,0.14067782,0.59908381,0.44239944,0.00000000
-5.65782891,1.05989208,0.32633163,0.16610490,0.00145672,0.11990041,0.14528987,0.60064772,0.44801548,0.00000000
-5.65182591,1.07408616,0.33724721,0.16722119,0.00148783,0.12579415,0.15114236,0.60199037,0.45494707,0.00000000
-5.64582291,1.09190747,0.35197988,0.16916667,0.00151000,0.13345047,0.15824247,0.60307971,0.46319598,0.00000000
-5.63981991,1.11316898,0.37034302,0.17189310,0.00152277,0.14276106,0.16657762,0.60387673,0.47274110,0.00000000
-5.63381691,1.13763382,0.39211572,0.17534152,0.00152584,0.15359732,0.17611480,0.60433806,0.48353897,0.00000000
-5.62781391,1.16501944,0.41704484,0.17944326,0.00151913,0.16581140,0.18680031,0.60441834,0.49552454,0.00000000
-5.62181091,1.19500168,0.44484717,0.18412099,0.00150276,0.17923744,0.19855990,0.60407242,0.50861221,0.00000000
-5.61580790,1.22721905,0.47521140,0.18928984,0.00147703,0.19369307,0.21129935,0.60325714,0.52269687,0.00000000
-5.60980490,1.26127701,0.50780046,0.19485854,0.00144246,0.20898128,0.22490555,0.60193267,0.53765533,0.00000000
-5.60380190,1.29675249,0.54225398,0.20073066,0.00139970,0.22489275,0.23924798,0.60006344,0.55334768,0.00000000
-5.59779890,1.33319850,0.57819116,0.20680593,0.00134958,0.24120851,0.25418069,0.59761863,0.56961897,0.00000000
-5.59179590,1.37014900,0.61521405,0.21298164,0.00129303,0.25770307,0.26954458,0.59457231,0.58630090,0.00000000
-5.58579290,1.40712409,0.65291111,0.21915411,0.00123108,0.27414782,0.28517002,0.59090325,0.60321369,0.00000000
-5.57978989,1.44363535,0.69086124,0.22522017,0.00116481,0.29031477,0.30087972,0.58659463,0.62016814,0.00000000
-5.57378689,1.47919148,0.72863793,0.23107875,0.00109532,0.30598031,0.31649174,0.58163362,0.63696771,0.00000000
-5.56778389,1.51330411,0.76581374,0.23663238,0.00102373,0.32092906,0.33182250,0.57601093,0.65341080,0.00000000
-5.56178089,1.54549377,0.80196475,0.24178874,0.00095109,0.33495756,0.34668986,0.56972057,0.66929320,0.00000000
-5.55577789,1.57529597,0.83667513,0.24646209,0.00087842,0.34787768,0.36091602,0.56275966,0.68441056,0.00000000
-5.54977489,1.60226727,0.86954155,0.25057458,0.00080665,0.35951964,0.37433035,0.55512852,0.69856115,0.00000000
-5.54377189,1.62599145,0.90017760,0.25405750,0.00073660,0.36973456,0.38677200,0.54683101,0.71154873,0.00000000
-5.53776888,1.64608558,0.92821801,0.25685233,0.00066900,0.37839646,0.39809226,0.53787502,0.72318554,0.00000000
-5.53176588,1.66220609,0.95332280,0.25891171,0.00060445,0.38540363,0.40815680,0.52827329,0.73329563,0.00000000
-5.52576288,1.67405482,0.97518141,0.26020012,0.00054347,0.39067946,0.41684767,0.51804433,0.74171826,0.00000000
-5.51975988,1.68138500,0.99351668,0.26069459,0.00048643,0.39417267,0.42406511,0.50721362,0.74831158,0.00000000
-5.51375688,1.68400722,1.00808887,0.26038512,0.00043360,0.39585709,0.42972925,0.49581479,0.75295644,0.00000000
-5.50775388,1.68179524,1.01869970,0.25927510,0.00038519,0.39573091,0.43378165,0.48389092,0.75556035,0.00000000
-5.50175088,1.67469172,1.02519623,0.25738153,0.00034129,0.39381569,0.43618671,0.47149584,0.75606143,0.00000000
-5.49574787,1.66271353,1.02747468,0.25473520,0.00030193,0.39015504,0.43693296,0.45869536,0.75443236,0.00000000
-5.48974487,1.64595666,1.02548403,0.25138078,0.00026709,0.38481315,0.43603411,0.44556837,0.75068400,0.00000000
-5.48374187,1.62460031,1.01922907,0.24737680,0.00023672,0.37787315,0.43352998,0.43220776,0.74486865,0.00000000
