energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.11591220,0.51660380,0.00000000,0.00112663,0.22535433,0.60821472,0.51310117
-5.99399700,1.07572097,0.48644366,0.00000000,0.00097297,0.22912460,0.59616798,0.48451126
-5.98799400,1.04942361,0.46034072,0.00000000,0.00084025,0.23757664,0.59216003,0.46094789
-5.98199100,1.03763589,0.43870471,0.00000000,0.00072643,0.25077067,0.59672361,0.44267624
-5.97598799,1.04081240,0.42188281,0.00000000,0.00062967,0.26872217,0.61031102,0.42989023
-5.96998499,1.05923079,0.41015429,0.00000000,0.00054830,0.29139668,0.63328033,0.42270791
-5.96398199,1.09297881,0.40372698,0.00000000,0.00048081,0.31870457,0.66588277,0.42116852
-5.95797899,1.14194439,0.40273544,0.00000000,0.00042585,0.35049629,0.70825143,0.42523130
-5.95197599,1.20580923,0.40724079,0.00000000,0.00038221,0.38655824,0.76039185,0.43477592
-5.94597299,1.28404653,0.41723198,0.00000000,0.00034880,0.42660993,0.82217462,0.44960478
-5.93996998,1.37592303,0.43262840,0.00000000,0.00032467,0.47030265,0.89333057,0.46944680
-5.93396698,1.48050586,0.45328346,0.00000000,0.00030895,0.51722012,0.97344871,0.49396302
-5.92796398,1.59667432,0.47898922,0.00000000,0.00030088,0.56688135,1.06197737,0.52275355
-5.92196098,1.72313666,0.50948163,0.00000000,0.00029983,0.61874592,1.15822867,0.55536598
-5.91595798,1.85845165,0.54444638,0.00000000,0.00030524,0.67222171,1.26138641,0.59130491
-5.90995498,2.00105456,0.58352500,0.00000000,0.00031663,0.72667511,1.37051747,0.63004248
-5.90395198,2.14928682,0.62632127,0.00000000,0.00033361,0.78144322,1.48458643,0.67102942
-5.89794897,2.30142859,0.67240762,0.00000000,0.00035589,0.83584790,1.60247306,0.71370652
-5.89194597,2.45573295,0.72133132,0.00000000,0.00038322,0.88921103,1.72299234,0.75751591
-5.88594297,2.61046059,0.77262056,0.00000000,0.00041541,0.94087026,1.84491614,0.80191189
-5.87993997,2.76391363,0.82579012,0.00000000,0.00045235,0.99019479,1.96699599,0.84637095
-5.87393697,2.91446707,0.88034650,0.00000000,0.00049393,1.03660010,2.08798606,0.89040044
-5.86793397,3.06059678,0.93579264,0.00000000,0.00054010,1.07956128,2.20666546,0.93354574
-5.86193097,3.20090276,0.99163207,0.00000000,0.00059079,1.11862412,2.32185909,0.97539565
-5.85592796,3.33412696,1.04737247,0.00000000,0.00064594,1.15341340,2.43245633,1.01558575
-5.84992496,3.45916500,1.10252875,0.00000000,0.00070546,1.18363830,2.53742686,1.05379982
-5.84392196,3.57507187,1.15662577,0.00000000,0.00076925,1.20909442,2.63583340,1.08976930
-5.83791896,3.68106156,1.20920068,0.00000000,0.00083713,1.22966273,2.72684092,1.12327104
-5.83191596,3.77650156,1.25980515,0.00000000,0.00090887,1.24530554,2.80972247,1.15412360
-5.82591296,3.86090307,1.30800765,0.00000000,0.00098420,1.25605990,2.88386186,1.18218258
-5.81990995,3.93390816,1.35339580,0.00000000,0.00106272,1.26202916,2.94875352,1.20733526
-5.81390695,3.99527542,1.39557922,0.00000000,0.00114401,1.26337318,3.00400015,1.22949534
-5.80790395,4.04486558,1.43419271,0.00000000,0.00122756,1.26029804,3.04930894,1.24859797
-5.80190095,4.08262854,1.46890018,0.00000000,0.00131278,1.25304603,3.08448691,1.26459576
-5.79589795,4.10859319,1.49939910,0.00000000,0.00139908,1.24188651,3.10943630,1.27745608
-5.78989495,4.12286099,1.52542573,0.00000000,0.00148579,1.22710833,3.12415052,1.28715990
-5.78389195,4.12560414,1.54676087,0.00000000,0.00157227,1.20901417,3.12871122,1.29370245
-5.77788894,4.11706845,1.56323608,0.00000000,0.00165791,1.18791714,3.12328695,1.29709566
-5.77188594,4.09758091,1.57474019,0.00000000,0.00174214,1.16413957,3.10813336,1.29737225
-5.76588294,4.06756125,1.58122576,0.00000000,0.00182447,1.13801404,3.08359506,1.29459127
-5.75987994,4.02753663,1.58271529,0.00000000,0.00190455,1.10988610,3.05010875,1.28884466
-5.75387694,3.97815794,1.57930665,0.00000000,0.00198216,1.08011842,3.00820714,1.28026438
-5.74787394,3.92021632,1.57117760,0.00000000,0.00205726,1.04909557,2.95852309,1.26902952
-5.74187094,3.85465806,1.55858878,0.00000000,0.00212999,1.01722890,2.90179318,1.25537284
-5.73586793,3.78259619,1.54188500,0.00000000,0.00220070,0.98496070,2.83885978,1.23958602
-5.72986493,3.70531701,1.52149444,0.00000000,0.00226996,0.95276706,2.77067101,1.22202326
-5.72386193,3.62428024,1.49792543,0.00000000,0.00233854,0.92115875,2.69827765,1.20310246
-5.71785893,3.54111150,1.47176084,0.00000000,0.00240739,0.89067966,2.62282643,1.18330381
-5.71185593,3.45758638,1.44364973,0.00000000,0.00247766,0.86190248,2.54554926,1.16316543
-5.70585293,3.37560573,1.41429646,0.00000000,0.00255062,0.83542137,2.46774806,1.14327584
-5.69984992,3.29716225,1.38444725,0.00000000,0.00262763,0.81184176,2.39077518,1.12426339
-5.69384692,3.22429894,1.35487452,0.00000000,0.00271011,0.79176731,2.31600966,1.10678283
-5.68784392,3.15906049,1.32635922,0.00000000,0.00279948,0.77578452,2.24482974,1.09149920
-5.68184092,3.10343892,1.29967170,0.00000000,0.00289708,0.76444544,2.17858229,1.07906963
-5.67583792,3.05931535,1.27555151,0.00000000,0.00300411,0.75824917,2.11855016,1.07012367
-5.66983492,3.02840003,1.25468686,0.00000000,0.00312159,0.75762287,2.06591843,1.06524267
-5.66383192,3.01217275,1.23769429,0.00000000,0.00325029,0.76290312,2.02174069,1.06493918
-5.65782891,3.01182622,1.22509932,0.00000000,0.00339064,0.77431852,1.98690690,1.06963703
-5.65182591,3.02821468,1.21731874,0.00000000,0.00354276,0.79197434,1.96211373,1.07965307
-5.64582291,3.06181026,1.21464522,0.00000000,0.00370634,0.81583999,1.94783901,1.09518119
-5.63981991,3.11266899,1.21723494,0.00000000,0.00388067,0.84574021,1.94432117,1.11627958
-5.63381691,3.18040856,1.22509876,0.00000000,0.00406464,0.88135040,1.95154490,1.14286181
-5.62781391,3.26419914,1.23809748,0.00000000,0.00425674,0.92219670,1.96923366,1.17469219
-5.62181091,3.36276834,1.25594142,0.00000000,0.00445507,0.96766106,1.99684974,1.21138598
-5.61580790,3.47442075,1.27819467,0.00000000,0.00465744,1.01699145,2.03360212,1.25241448
-5.60980490,3.59707203,1.30428390,0.00000000,0.00486144,1.06931708,2.07846216,1.29711516
-5.60380190,3.72829667,1.33351167,0.00000000,0.00506449,1.12366825,2.13018670,1.34470648
-5.59779890,3.86538839,1.36507393,0.00000000,0.00526401,1.17900045,2.18734812,1.39430717
-5.59179590,4.00543098,1.39808110,0.00000000,0.00545749,1.23422173,2.24837033,1.44495915
-5.58579290,4.14537742,1.43158222,0.00000000,0.00564266,1.28822261,2.31156961,1.49565349
-5.57978989,4.28213442,1.46459121,0.00000000,0.00581761,1.33990736,2.37519887,1.54535836
-5.57378689,4.41264924,1.49611449,0.00000000,0.00598092,1.38822550,2.43749395,1.59304794
-5.56778389,4.53399563,1.52517886,0.00000000,0.00613180,1.43220233,2.49672019,1.63773126
-5.56178089,4.64345566,1.55085877,0.00000000,0.00627017,1.47096723,2.55121789,1.67847979
-5.55577789,4.73859431,1.57230192,0.00000000,0.00639678,1.50377876,2.59944492,1.71445277
-5.54977489,4.81732426,1.58875238,0.00000000,0.00651326,1.53004536,2.64001525,1.74491940
-5.54377189,4.87795846,1.59957038,0.00000000,0.00662213,1.54934107,2.67173215,1.76927705
-5.53776888,4.91924889,1.60424817,0.00000000,0.00672683,1.56141566,2.69361500,1.78706494
-5.53176588,4.94041057,1.60242162,0.00000000,0.00683166,1.56619876,2.70491933,1.79797300
-5.52576288,4.94113035,1.59387706,0.00000000,0.00694169,1.56379823,2.70514935,1.80184571
-5.51975988,4.92156098,1.57855357,0.00000000,0.00706268,1.55449273,2.69406328,1.79868113
-5.51375688,4.88230143,1.55654070,0.00000000,0.00720088,1.53871935,2.67167151,1.78862539
-5.50775388,4.82436509,1.52807201,0.00000000,0.00736292,1.51705670,2.63822811,1.77196323
-5.50175088,4.74913775,1.49351486,0.00000000,0.00755559,1.49020464,2.59421650,1.74910520
-5.49574787,4.65832782,1.45335711,0.00000000,0.00778560,1.45896146,2.54033013,1.72057230
-5.48974487,4.55391107,1.40819133,0.00000000,0.00805944,1.42419969,2.47744899,1.68697884
-5.48374187,4.43807247,1.35869719,0.00000000,0.00838309,1.38684146,2.40661325,1.64901433
-5.47773887,4.31314717,1.30562286,0.00000000,0.00876186,1.34783444,2.32899482,1.60742503
-5.47173587,4.18156292,1.24976595,0.00000000,0.00920023,1.30812904,2.24586777,1.56299593
-5.46573287,4.04578519,1.19195456,0.00000000,0.00970164,1.26865767,2.15857858,1.51653342
-5.45972986,3.90826644,1.13302906,0.00000000,0.01026837,1.23031630,2.06851682,1.46884916
-5.45372686,3.77140017,1.07382490,0.00000000,0.01090147,1.19394868,1.97708673,1.42074536
-5.44772386,3.63748005,1.01515670,0.00000000,0.01160064,1.16033322,1.88568033,1.37300141
-5.44172086,3.50866425,0.95780393,0.00000000,0.01236422,1.13017232,1.79565209,1.32636184
-5.43571786,3.38694440,0.90249811,0.00000000,0.01318919,1.10408405,1.70829551,1.28152565
-5.42971486,3.27411898,0.84991166,0.00000000,0.01407114,1.08259565,1.62482156,1.23913659
-5.42371186,3.17177023,0.80064835,0.00000000,0.01500436,1.06613856,1.54633912,1.19977440
-5.41770885,3.08124429,0.75523526,0.00000000,0.01598186,1.05504458,1.47383732,1.16394679
-5.41170585,3.00363394,0.71411618,0.00000000,0.01699548,1.04954288,1.40816998,1.13208207
-5.40570285,2.93976376,0.67764639,0.00000000,0.01803594,1.04975748,1.35004197,1.10452239
-5.39969985,2.89017758,0.64608885,0.00000000,0.01909298,1.05570534,1.29999792,1.08151768
-5.39369685,2.85512857,0.61961163,0.00000000,0.02015544,1.06729482,1.25841309,1.06322050
-5.38769385,2.83457220,0.59828679,0.00000000,0.02121140,1.08432487,1.22548704,1.04968190
-5.38169085,2.82816299,0.58209060,0.00000000,0.02224830,1.10648501,1.20123998,1.04084874
-5.37568784,2.83525553,0.57090527,0.00000000,0.02325313,1.13335668,1.18551244,1.03656264
-5.36968484,2.85491080,0.56452218,0.00000000,0.02421256,1.16441610,1.17796820,1.03656109
-5.36368184,2.88590853,0.56264682,0.00000000,0.02511313,1.19903928,1.17810111,1.04048075
-5.35767884,2.92676612,0.56490522,0.00000000,0.02594151,1.23650939,1.18524560,1.04786350
-5.35167584,2.97576475,0.57085217,0.00000000,0.02668467,1.27602680,1.19859125,1.05816501
-5.34567284,3.03098261,0.57998090,0.00000000,0.02733019,1.31672201,1.21720106,1.07076617
-5.33966983,3.09033508,0.59173432,0.00000000,0.02786649,1.35767141,1.24003356,1.08498704
-5.33366683,3.15162127,0.60551748,0.00000000,0.02828311,1.39791574,1.26596797,1.10010312
-5.32766383,3.21257583,0.62071104,0.00000000,0.02857104,1.43648084,1.29383218,1.11536355
-5.32166083,3.27092467,0.63668545,0.00000000,0.02872292,1.47240030,1.32243265,1.13001068
-5.31565783,3.32444295,0.65281547,0.00000000,0.02873333,1.50473913,1.35058547,1.14330038
-5.30965483,3.37101332,0.66849455,0.00000000,0.02859899,1.53261794,1.37714761,1.15452238
-5.30365183,3.40868245,0.68314880,0.00000000,0.02831892,1.55523636,1.40104727,1.16301988
-5.29764882,3.43571371,0.69624989,0.00000000,0.02789458,1.57189524,1.42131243,1.16820777
-5.29164582,3.45063399,0.70732675,0.00000000,0.02732987,1.58201632,1.43709645,1.16958864
-5.28564282,3.45227295,0.71597541,0.00000000,0.02663110,1.58515885,1.44769988,1.16676611
-5.27963982,3.43979308,0.72186699,0.00000000,0.02580692,1.58103223,1.45258763,1.15945494
-5.27363682,3.41270949,0.72475327,0.00000000,0.02486810,1.56950434,1.45140084,1.14748746
-5.26763382,3.37089874,0.72446997,0.00000000,0.02382731,1.55060495,1.44396312,1.13081639
