energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,4.49349072,0.02269003,0.75070054,0.52416319,0.19970809,1.54070964,1.72240035,0.03386705,1.79379809
-5.99399700,4.41550807,0.02187009,0.73799122,0.51402809,0.19488547,1.51017979,1.70744406,0.03221230,1.76903058
-5.98799400,4.34914973,0.02111601,0.72679633,0.50444387,0.19021026,1.48563763,1.69693919,0.03067696,1.75035142
-5.98199100,4.29481968,0.02043344,0.71727266,0.49548438,0.18573032,1.46715684,1.69087520,0.02926152,1.73771688
-5.97598799,4.25264029,0.01982718,0.70954091,0.48720448,0.18148795,1.45468050,1.68912747,0.02796442,1.73093968
-5.96998499,4.22244738,0.01930110,0.70368256,0.47963799,0.17751858,1.44802473,1.69145706,0.02678235,1.72969213
-5.96398199,4.20379599,0.01885803,0.69973804,0.47279659,0.17384992,1.44688649,1.69751509,0.02571063,1.73351449
-5.95797899,4.19597696,0.01849977,0.69770631,0.46666992,0.17050144,1.45085543,1.70685163,0.02474354,1.74182844
-5.95197599,4.19804396,0.01822709,0.69754588,0.46122688,0.16748432,1.45942930,1.71892901,0.02387470,1.75395538
-5.94597299,4.20884997,0.01803980,0.69917723,0.45641796,0.16480176,1.47203232,1.73313906,0.02309746,1.76913889
-5.93996998,4.22709193,0.01793681,0.70248656,0.45217874,0.16244973,1.48803586,1.74882388,0.02240520,1.78657058
-5.93396698,4.25136165,0.01791625,0.70733061,0.44843414,0.16041806,1.50678049,1.76529919,0.02179170,1.80541839
-5.92796398,4.28020087,0.01797563,0.71354253,0.44510331,0.15869184,1.52759870,1.78187938,0.02125134,1.82485607
-5.92196098,4.31215797,0.01811195,0.72093827,0.44210495,0.15725292,1.54983719,1.79790317,0.02077933,1.84409277
-5.91595798,4.34584382,0.01832186,0.72932344,0.43936257,0.15608166,1.57287795,1.81275877,0.02037186,1.86240133
-5.90995498,4.37998405,0.01860175,0.73850020,0.43680959,0.15515860,1.59615720,1.82590734,0.02002615,1.87914409
-5.90395198,4.41346551,0.01894791,0.74827379,0.43439383,0.15446598,1.61918146,1.83690363,0.01974050,1.89379501
-5.89794897,4.44537451,0.01935651,0.75845861,0.43208120,0.15398921,1.64154007,1.84541285,0.01951424,1.90595721
-5.89194597,4.47502533,0.01982374,0.76888332,0.42985835,0.15371790,1.66291380,1.85122287,0.01934767,1.91537507
-5.88594297,4.50197756,0.02034571,0.77939498,0.42773414,0.15364671,1.68307911,1.85425115,0.01924190,1.92194047
-5.87993997,4.52604173,0.02091848,0.78986180,0.42573984,0.15377573,1.70190823,1.85454610,0.01919874,1.92569284
-5.87393697,4.54727323,0.02153793,0.80017471,0.42392806,0.15411053,1.71936490,1.85228267,0.01922054,1.92681332
-5.86793397,4.56595498,0.02219972,0.81024751,0.42237047,0.15466182,1.73549650,1.84775252,0.01930998,1.92561321
-5.86193097,4.58257028,0.02289910,0.82001572,0.42115449,0.15544481,1.75042274,1.84134914,0.01946994,1.92251755
-5.85592796,4.59776723,0.02363088,0.82943443,0.42037910,0.15647827,1.76432183,1.83354871,0.01970334,1.91804464
-5.84992496,4.61231720,0.02438923,0.83847507,0.42015013,0.15778340,1.77741488,1.82488779,0.02001302,1.91278263
-5.84392196,4.62706937,0.02516763,0.84712167,0.42057517,0.15938261,1.78994935,1.81593867,0.02040162,1.90736434
-5.83791896,4.64290420,0.02595883,0.85536670,0.42175847,0.16129828,1.80218241,1.80728401,0.02087153,1.90244154
-5.83191596,4.66068805,0.02675477,0.86320691,0.42379620,0.16355152,1.81436524,1.79949168,0.02142486,1.89865998
-5.82591296,4.68123142,0.02754666,0.87063939,0.42677212,0.16616115,1.82672878,1.79309127,0.02206343,1.89663610
-5.81990995,4.70525288,0.02832503,0.87765826,0.43075413,0.16914285,1.83947180,1.78855325,0.02278877,1.89693652
-5.81390695,4.73335015,0.02907990,0.88425214,0.43579161,0.17250848,1.85275168,1.78627184,0.02360220,1.90006112
-5.80790395,4.76597965,0.02980093,0.89040256,0.44191391,0.17626584,1.86667830,1.78655225,0.02450485,1.90642997
-5.80190095,4.80344498,0.03047766,0.89608353,0.44912982,0.18041851,1.88131110,1.78960287,0.02549775,1.91637471
-5.79589795,4.84589442,0.03109981,0.90126218,0.45742814,0.18496609,1.89665935,1.79553259,0.02658184,1.93013417
-5.78989495,4.89332695,0.03165750,0.90590050,0.46677912,0.18990454,1.91268541,1.80435307,0.02775802,1.94785419
-5.78389195,4.94560583,0.03214160,0.90995805,0.47713677,0.19522681,1.92931053,1.81598587,0.02902718,1.96959109
-5.77788894,5.00247837,0.03254402,0.91339540,0.48844174,0.20092341,1.94642276,1.83027364,0.03039010,1.99531829
-5.77188594,5.06360006,0.03285790,0.91617805,0.50062459,0.20698315,1.96388639,1.84699455,0.03184744,2.02493534
-5.76588294,5.12856144,0.03307795,0.91828071,0.51360921,0.21339368,1.98155213,1.86587925,0.03339955,2.05827857
-5.75987994,5.19691544,0.03320052,0.91969129,0.52731612,0.22014203,1.99926755,1.88662898,0.03504635,2.09513254
-5.75387694,5.26820356,0.03322379,0.92041471,0.54166549,0.22721486,2.01688691,1.90893393,0.03678707,2.13524146
-5.74787394,5.34197888,0.03314779,0.92047583,0.55657955,0.23459852,2.03427989,1.93249065,0.03862000,2.17831991
-5.74187094,5.41782461,0.03297439,0.91992160,0.57198436,0.24227883,2.05133873,1.95701765,0.04054218,2.22406217
-5.73586793,5.49536689,0.03270722,0.91882196,0.58781076,0.25024057,2.06798319,1.98226810,0.04254910,2.27214971
-5.72986493,5.57428121,0.03235152,0.91726946,0.60399447,0.25846669,2.08416325,2.00803919,0.04463437,2.32225655
-5.72386193,5.65429202,0.03191394,0.91537762,0.62047524,0.26693731,2.09985927,2.03417753,0.04678938,2.37405227
-5.71785893,5.73516576,0.03140229,0.91327782,0.63719537,0.27562851,2.11507967,2.06058046,0.04900309,2.42720269
-5.71185593,5.81669796,0.03082527,0.91111508,0.65409734,0.28451104,2.12985627,2.08719324,0.05126175,2.48136856
-5.70585293,5.89869522,0.03019212,0.90904267,0.67112116,0.29354899,2.14423762,2.11400250,0.05354880,2.53620238
-5.69984992,5.98095354,0.02951239,0.90721593,0.68820125,0.30269853,2.15828060,2.14102631,0.05584482,2.59134399
-5.69384692,6.06323452,0.02879557,0.90578552,0.70526340,0.31190685,2.17204097,2.16830171,0.05812756,2.64641542
-5.68784392,6.14524108,0.02805084,0.90489045,0.72222182,0.32111141,2.18556329,2.19587044,0.06037219,2.70101561
-5.68184092,6.22659463,0.02728681,0.90465125,0.73897675,0.33023948,2.19887086,2.22376380,0.06255160,2.75471558
-5.67583792,6.30681524,0.02651133,0.90516357,0.75541266,0.33920819,2.21195633,2.25198770,0.06463684,2.80705475
-5.66983492,6.38530647,0.02573130,0.90649265,0.77139735,0.34792506,2.22477344,2.28050877,0.06659776,2.85753888
-5.66383192,6.46134621,0.02495259,0.90866885,0.78678205,0.35628909,2.23723062,2.30924245,0.06840363,2.90564007
-5.65782891,6.53408444,0.02417992,0.91168463,0.80140267,0.36419231,2.24918668,2.33804385,0.07002400,2.95079912
-5.65182591,6.60254864,0.02341692,0.91549301,0.81508207,0.37152190,2.26044899,2.36670197,0.07142951,2.99243055
-5.64582291,6.66565707,0.02266613,0.92000778,0.82763349,0.37816275,2.27077445,2.39493783,0.07259278,3.02993020
-5.63981991,6.72223972,0.02192906,0.92510550,0.83886490,0.38400033,2.27987323,2.42240658,0.07348931,3.06268529
-5.63381691,6.77106641,0.02120636,0.93062916,0.84858418,0.38892388,2.28741527,2.44870378,0.07409830,3.09008683
-5.62781391,6.81088107,0.02049791,0.93639351,0.85660487,0.39282974,2.29303935,2.47337563,0.07440338,3.11154388
-5.62181091,6.84044103,0.01980301,0.94219185,0.86275226,0.39562461,2.29636438,2.49593275,0.07439328,3.12649921
-5.61580790,6.85855983,0.01912055,0.94780403,0.86686959,0.39722877,2.29700270,2.51586712,0.07406228,3.13444584
-5.60980490,6.86415194,0.01844920,0.95300543,0.86882401,0.39757901,2.29457457,2.53267142,0.07341055,3.13494389
-5.60380190,6.85627762,0.01778759,0.95757647,0.86851213,0.39663114,2.28872363,2.54585995,0.07244422,3.12763701
