energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.68760636,0.02434715,0.05690838,0.51541340,0.02300117,0.96297338,0.44322957,0.17287677
-5.99399700,1.60893613,0.02224031,0.05438867,0.47939917,0.02238475,0.91984183,0.42583178,0.16462439
-5.98799400,1.54011038,0.02026929,0.05228159,0.44737058,0.02189165,0.88215587,0.41022729,0.15744452
-5.98199100,1.48063319,0.01844223,0.05057993,0.41924037,0.02150793,0.84960561,0.39627595,0.15129759
-5.97598799,1.42986018,0.01676415,0.04927083,0.39485504,0.02121746,0.82179780,0.38380844,0.14612804
-5.96998499,1.38702591,0.01523717,0.04833605,0.37400413,0.02100258,0.79827275,0.37263392,0.14186666
-5.96398199,1.35127179,0.01386067,0.04775223,0.35643006,0.02084467,0.77852126,0.36254767,0.13843286
-5.95797899,1.32167368,0.01263161,0.04749127,0.34183838,0.02072482,0.76200135,0.35333856,0.13573695
-5.95197599,1.29726840,0.01154480,0.04752075,0.32990800,0.02062444,0.74815430,0.34479623,0.13368241
-5.94597299,1.27707899,0.01059332,0.04780445,0.32030122,0.02052585,0.73641958,0.33671760,0.13216813
-5.93996998,1.26013784,0.00976883,0.04830286,0.31267326,0.02041274,0.72624856,0.32891275,0.13109045
-5.93396698,1.24550779,0.00906199,0.04897389,0.30668112,0.02027068,0.71711667,0.32120995,0.13034525
-5.92796398,1.23230082,0.00846283,0.04977355,0.30199163,0.02008743,0.70853401,0.31345973,0.12982980
-5.92196098,1.21969420,0.00796108,0.05065674,0.29828854,0.01985324,0.70005428,0.30553808,0.12944462
-5.91595798,1.20694423,0.00754652,0.05157816,0.29527859,0.01956094,0.69128205,0.29734860,0.12909509
-5.90995498,1.19339745,0.00720926,0.05249315,0.29269652,0.01920608,0.68187842,0.28882376,0.12869311
-5.90395198,1.17849943,0.00694001,0.05335869,0.29030905,0.01878686,0.67156514,0.27992525,0.12815847
