energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,0.71837207,0.14144857,0.08650913,0.12942731,0.00263606,0.11964016,0.37460177,0.00000000
-5.99399700,0.75789611,0.14890297,0.09025634,0.13649446,0.00287371,0.12420265,0.39674711,0.00000000
-5.98799400,0.79478289,0.15592485,0.09359744,0.14304145,0.00314275,0.12812019,0.41764993,0.00000000
-5.98199100,0.82852974,0.16245897,0.09649112,0.14896625,0.00345013,0.13134063,0.43701775,0.00000000
-5.97598799,0.85869808,0.16846951,0.09890814,0.15417666,0.00380424,0.13382941,0.45458482,0.00000000
-5.96998499,0.88492940,0.17394258,0.10083271,0.15859330,0.00421487,0.13557126,0.47012129,0.00000000
-5.96398199,0.90695918,0.17888798,0.10226346,0.16215233,0.00469312,0.13657121,0.48344150,0.00000000
-5.95797899,0.92462813,0.18334024,0.10321393,0.16480773,0.00525131,0.13685483,0.49441121,0.00000000
-5.95197599,0.93788999,0.18735858,0.10371256,0.16653303,0.00590274,0.13646779,0.50295310,0.00000000
-5.94597299,0.94681535,0.19102589,0.10380201,0.16732246,0.00666140,0.13547452,0.50905046,0.00000000
-5.93996998,0.95159117,0.19444660,0.10353809,0.16719131,0.00754160,0.13395620,0.51274869,0.00000000
-5.93396698,0.95251579,0.19774337,0.10298790,0.16617563,0.00855757,0.13200804,0.51415441,0.00000000
-5.92796398,0.94998943,0.20105287,0.10222773,0.16433116,0.00972284,0.12973595,0.51343226,0.00000000
-5.92196098,0.94450043,0.20452047,0.10134031,0.16173155,0.01104975,0.12725277,0.51079920,0.00000000
-5.91595798,0.93660764,0.20829426,0.10041192,0.15846592,0.01254875,0.12467418,0.50651679,0.00000000
-5.90995498,0.92691961,0.21251854,0.09952908,0.15463585,0.01422774,0.12211452,0.50088139,0.00000000
-5.90395198,0.91607141,0.21732693,0.09877537,0.15035196,0.01609141,0.11968256,0.49421296,0.00000000
