energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.47385419,0.04387172,0.00000000,0.01375543,1.01261815,0.28756892,0.57665362
-5.99399700,1.53414477,0.04497250,0.00000000,0.01425241,1.04792318,0.30618204,0.59887339
-5.98799400,1.59557465,0.04605392,0.00000000,0.01473375,1.08334521,0.32548166,0.62126004
-5.98199100,1.65838748,0.04713114,0.00000000,0.01519963,1.11908880,0.34542274,0.64390327
-5.97598799,1.72275408,0.04821839,0.00000000,0.01565005,1.15532066,0.36593280,0.66686962
-5.96998499,1.78874698,0.04932809,0.00000000,0.01608466,1.19215135,0.38690886,0.69019271
-5.96398199,1.85631870,0.05046994,0.00000000,0.01650260,1.22961925,0.40821556,0.71386489
-5.95797899,1.92528531,0.05165025,0.00000000,0.01690245,1.26767774,0.42968481,0.73783076
-5.95197599,1.99531647,0.05287133,0.00000000,0.01728212,1.30618671,0.45111697,0.76198314
-5.94597299,2.06593292,0.05413112,0.00000000,0.01763887,1.34490883,0.47228391,0.78616190
-5.93996998,2.13651204,0.05542305,0.00000000,0.01796939,1.38351120,0.49293378,0.81015571
-5.93396698,2.20630129,0.05673616,0.00000000,0.01826986,1.42157248,0.51279749,0.83370691
-5.92796398,2.27443947,0.05805538,0.00000000,0.01853612,1.45859513,0.53159668,0.85651932
-5.92196098,2.33998460,0.05936209,0.00000000,0.01876391,1.49402251,0.54905294,0.87826859
-5.91595798,2.40194742,0.06063489,0.00000000,0.01894905,1.52725979,0.56489779,0.89861460
-5.90995498,2.45932875,0.06185048,0.00000000,0.01908771,1.55769777,0.57888308,0.91721544
-5.90395198,2.51115883,0.06298467,0.00000000,0.01917668,1.58473834,0.59079127,0.93374195
-5.89794897,2.55653671,0.06401345,0.00000000,0.01921359,1.60782032,0.60044508,0.94789234
-5.89194597,2.59466773,0.06491407,0.00000000,0.01919712,1.62644422,0.60771594,0.95940595
-5.88594297,2.62489701,0.06566608,0.00000000,0.01912721,1.64019470,0.61253103,0.96807537
-5.87993997,2.64673743,0.06625225,0.00000000,0.01900511,1.64875966,0.61487811,0.97375639
-5.87393697,2.65989069,0.06665932,0.00000000,0.01883348,1.65194487,0.61480830,0.97637527
-5.86793397,2.66426040,0.06687865,0.00000000,0.01861637,1.64968356,0.61243626,0.97593283
-5.86193097,2.65995689,0.06690656,0.00000000,0.01835911,1.64204050,0.60793791,0.97250540
-5.85592796,2.64729338,0.06674454,0.00000000,0.01806822,1.62921065,0.60154568,0.96624245
-5.84992496,2.62677419,0.06639915,0.00000000,0.01775114,1.61151240,0.59354152,0.95736131
-5.84392196,2.59907566,0.06588177,0.00000000,0.01741601,1.58937605,0.58424794,0.94613918
-5.83791896,2.56502090,0.06520813,0.00000000,0.01707139,1.56332830,0.57401742,0.93290302
-5.83191596,2.52555004,0.06439765,0.00000000,0.01672595,1.53397357,0.56322087,0.91801793
-5.82591296,2.48168727,0.06347268,0.00000000,0.01638812,1.50197330,0.55223538,0.90187472
-5.81990995,2.43450667,0.06245760,0.00000000,0.01606585,1.46802435,0.54143205,0.88487720
-5.81390695,2.38509826,0.06137797,0.00000000,0.01576629,1.43283754,0.53116429,0.86743010
-5.80790395,2.33453590,0.06025953,0.00000000,0.01549553,1.39711734,0.52175712,0.84992787
-5.80190095,2.28384835,0.05912733,0.00000000,0.01525845,1.36154357,0.51349800,0.83274517
-5.79589795,2.23399453,0.05800496,0.00000000,0.01505856,1.32675581,0.50662936,0.81622914
-5.78989495,2.18584363,0.05691377,0.00000000,0.01489790,1.29334091,0.50134326,0.80069373
-5.78389195,2.14016058,0.05587228,0.00000000,0.01477706,1.26182387,0.49777826,0.78641615
-5.77788894,2.09759686,0.05489577,0.00000000,0.01469517,1.23266201,0.49601843,0.77363527
-5.77188594,2.05868632,0.05399595,0.00000000,0.01465002,1.20624229,0.49609465,0.76255186
-5.76588294,2.02384559,0.05318080,0.00000000,0.01463824,1.18288125,0.49798769,0.75333009
-5.75987994,1.99337823,0.05245458,0.00000000,0.01465541,1.16282715,0.50163312,0.74610010
-5.75387694,1.96748180,0.05181795,0.00000000,0.01469634,1.14626362,0.50692744,0.74096112
-5.74787394,1.94625673,0.05126820,0.00000000,0.01475528,1.13331406,0.51373509,0.73798449
-5.74187094,1.92971618,0.05079958,0.00000000,0.01482614,1.12404637,0.52189606,0.73721647
-5.73586793,1.91779588,0.05040374,0.00000000,0.01490276,1.11847719,0.53123341,0.73868014
-5.72986493,1.91036320,0.05007011,0.00000000,0.01497913,1.11657534,0.54156049,0.74237642
-5.72386193,1.90722477,0.04978643,0.00000000,0.01504955,1.11826409,0.55268744,0.74828380
-5.71785893,1.90813245,0.04953921,0.00000000,0.01510884,1.12342213,0.56442661,0.75635688
-5.71185593,1.91278732,0.04931420,0.00000000,0.01515242,1.13188326,0.57659686,0.76652386
-5.70585293,1.92084180,0.04909681,0.00000000,0.01517644,1.14343493,0.58902641,0.77868310
