energy_ev,total_up,Ge_p_up,Ge_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,7.48950132,2.95506046,0.00000000,5.70587291,4.13751334,0.02890148,1.02462783
-5.99399700,7.60316268,2.99092363,0.00000000,5.73821336,4.21491259,0.03078826,1.04301747
-5.98799400,7.68387363,3.00880903,0.00000000,5.74102818,4.27138884,0.03281916,1.06146178
-5.98199100,7.73039471,3.00854458,0.00000000,5.71396096,4.30626224,0.03497282,1.07960786
-5.97598799,7.74239074,2.99039199,0.00000000,5.65739239,4.31938227,0.03722714,1.09717992
-5.96998499,7.72044921,2.95504334,0.00000000,5.57243225,4.31113628,0.03956009,1.11399072
-5.96398199,7.66606506,2.90360211,0.00000000,5.46088466,4.28243904,0.04195050,1.12994917
-5.95797899,7.58159257,2.83754917,0.00000000,5.32518850,4.23470356,0.04437883,1.14506372
-5.95197599,7.47016662,2.75869545,0.00000000,5.16833584,4.16979465,0.04682789,1.15944146
-5.94597299,7.33559698,2.66912316,0.00000000,4.99377220,4.08996717,0.04928339,1.17328290
-5.93996998,7.18223996,2.57111830,0.00000000,4.80528320,3.99779154,0.05173442,1.18687269
-5.93396698,7.01485312,2.46709732,0.00000000,4.60687247,3.89606989,0.05417368,1.20056644
-5.92796398,6.83843897,2.35953113,0.00000000,4.40263598,3.78774619,0.05659757,1.21477438
-5.92196098,6.65808398,2.25086968,0.00000000,4.19663771,3.67581419,0.05900599,1.22994227
-5.91595798,6.47879920,2.14347020,0.00000000,3.99279139,3.56322668,0.06140198,1.24653041
-5.90995498,6.30536867,2.03953183,0.00000000,3.79475245,3.45280991,0.06379115,1.26499160
-5.90395198,6.14221112,1.94103922,0.00000000,3.60582358,3.34718608,0.06618088,1.28574903
-5.89794897,5.99325978,1.84971684,0.00000000,3.42887666,3.24870682,0.06857945,1.30917499
-5.89194597,5.86186441,1.76699555,0.00000000,3.26629281,3.15939987,0.07099503,1.33557139
-5.88594297,5.75071827,1.69399200,0.00000000,3.11992163,3.08093049,0.07343462,1.36515308
-5.87993997,5.66181208,1.63150110,0.00000000,2.99105973,3.01457854,0.07590310,1.39803465
-5.87393697,5.59641554,1.58000107,0.00000000,2.88044809,2.96123134,0.07840228,1.43422150
-5.86793397,5.55508595,1.53967019,0.00000000,2.78828698,2.92139190,0.08093016,1.47360553
-5.86193097,5.53770244,1.51041360,0.00000000,2.71426679,2.89520129,0.08348039,1.51596582
-5.85592796,5.54352322,1.49189858,0.00000000,2.65761262,2.88247350,0.08604199,1.56097422
-5.84992496,5.57126241,1.48359609,0.00000000,2.61714026,2.88274050,0.08859929,1.60820566
-5.84392196,5.61918239,1.48482634,0.00000000,2.59132100,2.89530484,0.09113224,1.65715264
-5.83791896,5.68519703,1.49480620,0.00000000,2.57835272,2.91929714,0.09361697,1.70724317
-5.83191596,5.76698078,1.51269614,0.00000000,2.57623454,2.95373523,0.09602653,1.75786133
-5.82591296,5.86207880,1.53764464,0.00000000,2.58284276,2.99758230,0.09833201,1.80836939
-5.81990995,5.96801324,1.56882836,0.00000000,2.59600559,3.04980106,0.10050367,1.85813031
-5.81390695,6.08238122,1.60548641,0.00000000,2.61357471,3.10940174,0.10251224,1.90652964
-5.80790395,6.20294095,1.64694769,0.00000000,2.63349183,3.17548168,0.10433029,1.95299572
-5.80190095,6.32768268,1.69265059,0.00000000,2.65384852,3.24725539,0.10593349,1.99701723
-5.79589795,6.45488268,1.74215466,0.00000000,2.67293822,3.32407392,0.10730182,2.03815751
-5.78989495,6.58313902,1.79514447,0.00000000,2.68929925,3.40543360,0.10842064,2.07606499
-5.78389195,6.71138896,1.85142601,0.00000000,2.70174825,3.49097440,0.10928150,2.11047957
-5.77788894,6.83890892,1.91091666,0.00000000,2.70940350,3.58046893,0.10988276,2.14123489
-5.77188594,6.96529856,1.97362961,0.00000000,2.71169790,3.67380361,0.11022992,2.16825678
-5.76588294,7.09045145,2.03965416,0.00000000,2.70838196,3.77095371,0.11033568,2.19155812
-5.75987994,7.21451483,2.10913317,0.00000000,2.69951675,3.87195450,0.11021972,2.21123095
-5.75387694,7.33784180,2.18223918,0.00000000,2.68545769,3.97687033,0.10990826,2.22743616
-5.74787394,7.46093886,2.25915037,0.00000000,2.66682972,4.08576400,0.10943334,2.24039176
-5.74187094,7.58441156,2.34002760,0.00000000,2.64449489,4.19866796,0.10883191,2.25036015
-5.73586793,7.70891102,2.42499351,0.00000000,2.61951338,4.31555890,0.10814478,2.25763515
-5.72986493,7.83508314,2.51411426,0.00000000,2.59309926,4.43633678,0.10741544,2.26252934
-5.72386193,7.96352206,2.60738441,0.00000000,2.56657223,4.56080883,0.10668872,2.26536190
-5.71785893,8.09472884,2.70471510,0.00000000,2.54130679,4.68867868,0.10600952,2.26644755
-5.71185593,8.22907568,2.80592542,0.00000000,2.51868032,4.81954029,0.10542144,2.26608647
-5.70585293,8.36677576,2.91073674,0.00000000,2.50002161,4.95287610,0.10496549,2.26455552
-5.69984992,8.50785854,3.01876954,0.00000000,2.48656127,5.08805865,0.10467881,2.26210064
-5.69384692,8.65215001,3.12954249,0.00000000,2.47938562,5.22435462,0.10459363,2.25893059
-5.68784392,8.79925777,3.24247313,0.00000000,2.47939539,5.36093066,0.10473619,2.25521193
-5.68184092,8.94856070,3.35688006,0.00000000,2.48727065,5.49686015,0.10512600,2.25106540
-5.67583792,9.09920351,3.47198630,0.00000000,2.50344311,5.63113057,0.10577523,2.24656379
-5.66983492,9.25009646,3.58692384,0.00000000,2.52807683,5.76265136,0.10668832,2.24173139
-5.66383192,9.39992120,3.70073964,0.00000000,2.56105810,5.89026241,0.10786195,2.23654540
-5.65782891,9.54714345,3.81240313,0.00000000,2.60199505,6.01274368,0.10928519,2.23093919
-5.65182591,9.69003365,3.92081590,0.00000000,2.65022709,6.12882669,0.11094001,2.22480789
-5.64582291,9.82669641,4.02482382,0.00000000,2.70484410,6.23720849,0.11280200,2.21801613
-5.63981991,9.95510935,4.12323203,0.00000000,2.76471480,6.33656907,0.11484143,2.21040808
-5.63381691,10.07317142,4.21482319,0.00000000,2.82852340,6.42559257,0.11702450,2.20181950
-5.62781391,10.17876015,4.29837900,0.00000000,2.89481327,6.50299266,0.11931475,2.19209141
-5.62181091,10.26979663,4.37270488,0.00000000,2.96203603,6.56754205,0.12167465,2.18108491
-5.61580790,10.34431604,4.43665738,0.00000000,3.02860409,6.61810538,0.12406719,2.16869633
-5.60980490,10.40054106,4.48917361,0.00000000,3.09294464,6.65367465,0.12645747,2.15487198
-5.60380190,10.43695479,4.52930163,0.00000000,3.15355284,6.67340549,0.12881413,2.13962128
