energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.03022069,0.00000000,0.00103190,0.00854544,0.00004487,0.01606211,0.00195433,0.00280167
-5.99399700,0.03581176,0.00000000,0.00122333,0.01014064,0.00005347,0.01903296,0.00231717,0.00332027
-5.98799400,0.04213954,0.00000000,0.00144018,0.01195148,0.00006331,0.02239499,0.00272831,0.00390731
-5.98199100,0.04923887,0.00000000,0.00168373,0.01399023,0.00007449,0.02616661,0.00319023,0.00456608
-5.97598799,0.05713390,0.00000000,0.00195491,0.01626673,0.00008712,0.03036054,0.00370480,0.00529888
-5.96998499,0.06583581,0.00000000,0.00225424,0.01878781,0.00010126,0.03498256,0.00427309,0.00610684
-5.96398199,0.07534087,0.00000000,0.00258174,0.02155684,0.00011702,0.04003054,0.00489528,0.00698972
-5.95797899,0.08562875,0.00000000,0.00293691,0.02457331,0.00013446,0.04549349,0.00557060,0.00794577
-5.95197599,0.09666126,0.00000000,0.00331867,0.02783257,0.00015363,0.05135091,0.00629720,0.00897161
-5.94597299,0.10838176,0.00000000,0.00372532,0.03132569,0.00017458,0.05757251,0.00707214,0.01006220
-5.93996998,0.12071520,0.00000000,0.00415459,0.03503952,0.00019736,0.06411821,0.00789144,0.01121080
-5.93396698,0.13356893,0.00000000,0.00460364,0.03895692,0.00022199,0.07093861,0.00875009,0.01240911
-5.92796398,0.14683437,0.00000000,0.00506909,0.04305718,0.00024848,0.07797583,0.00964217,0.01364739
-5.92196098,0.16038941,0.00000000,0.00554716,0.04731665,0.00027684,0.08516491,0.01056103,0.01491470
-5.91595798,0.17410170,0.00000000,0.00603372,0.05170946,0.00030706,0.09243548,0.01149949,0.01619918
-5.90995498,0.18783249,0.00000000,0.00652445,0.05620851,0.00033914,0.09971387,0.01245006,0.01748845
-5.90395198,0.20144108,0.00000000,0.00701494,0.06078638,0.00037305,0.10692549,0.01340521,0.01877001
-5.89794897,0.21478954,0.00000000,0.00750089,0.06541638,0.00040877,0.11399740,0.01435770,0.02003164
-5.89194597,0.22774758,0.00000000,0.00797824,0.07007354,0.00044626,0.12086084,0.01530078,0.02126188
-5.88594297,0.24019724,0.00000000,0.00844329,0.07473549,0.00048548,0.12745384,0.01622854,0.02245046
-5.87993997,0.25203714,0.00000000,0.00889287,0.07938312,0.00052637,0.13372343,0.01713605,0.02358863
-5.87393697,0.26318606,0.00000000,0.00932441,0.08400111,0.00056884,0.13962759,0.01801962,0.02466956
-5.86793397,0.27358562,0.00000000,0.00973603,0.08857809,0.00061279,0.14513665,0.01887683,0.02568849
-5.86193097,0.28320174,0.00000000,0.01012656,0.09310650,0.00065808,0.15023408,0.01970662,0.02664288
-5.85592796,0.29202498,0.00000000,0.01049554,0.09758215,0.00070455,0.15491667,0.02050917,0.02753242
-5.84992496,0.30006943,0.00000000,0.01084318,0.10200347,0.00075196,0.15919384,0.02128582,0.02835888
-5.84392196,0.30737031,0.00000000,0.01117023,0.10637036,0.00080005,0.16308642,0.02203881,0.02912585
-5.83791896,0.31398039,0.00000000,0.01147790,0.11068295,0.00084850,0.16662457,0.02277096,0.02983842
-5.83191596,0.31996530,0.00000000,0.01176766,0.11494008,0.00089691,0.16984531,0.02348536,0.03050267
-5.82591296,0.32539804,0.00000000,0.01204107,0.11913779,0.00094482,0.17278946,0.02418492,0.03112513
-5.81990995,0.33035301,0.00000000,0.01229958,0.12326783,0.00099173,0.17549840,0.02487198,0.03171224
-5.81390695,0.33489989,0.00000000,0.01254436,0.12731627,0.00103706,0.17801070,0.02554789,0.03226973
-5.80790395,0.33909775,0.00000000,0.01277610,0.13126244,0.00108020,0.18035890,0.02621266,0.03280208
-5.80190095,0.34298969,0.00000000,0.01299487,0.13507816,0.00112050,0.18256657,0.02686463,0.03331201
-5.79589795,0.34659854,0.00000000,0.01320000,0.13872744,0.00115726,0.18464591,0.02750026,0.03380005
-5.78989495,0.34992361,0.00000000,0.01339002,0.14216664,0.00118983,0.18659597,0.02811403,0.03426435
-5.78389195,0.35293903,0.00000000,0.01356263,0.14534517,0.00121754,0.18840174,0.02869840,0.03470044
-5.77788894,0.35559358,0.00000000,0.01371475,0.14820669,0.00123976,0.19003400,0.02924398,0.03510133
-5.77188594,0.35781217,0.00000000,0.01384261,0.15069075,0.00125594,0.19145016,0.02973974,0.03545767
