energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.38545231,0.01795338,0.00947536,0.53586470,0.18962229,0.27753748,0.02966187,0.05157930,0.89190485
-5.99399700,1.35493454,0.01648972,0.00944189,0.51525118,0.19770919,0.26723013,0.02771816,0.04919494,0.87003885
-5.98799400,1.33392610,0.01520263,0.00948100,0.49758318,0.20727067,0.25840318,0.02609447,0.04719187,0.85418286
-5.98199100,1.32251886,0.01410678,0.00958814,0.48304948,0.21828393,0.25112820,0.02478532,0.04556952,0.84441678
-5.97598799,1.32066122,0.01321478,0.00975781,0.47177170,0.23070394,0.24544570,0.02378401,0.04432228,0.84072772
-5.96998499,1.32815903,0.01253704,0.00998368,0.46380443,0.24446441,0.24136473,0.02308255,0.04343963,0.84301036
-5.96398199,1.34468103,0.01208174,0.01025866,0.45913725,0.25947918,0.23886358,0.02267153,0.04290636,0.85107016
-5.95797899,1.36976782,0.01185474,0.01057509,0.45769858,0.27564396,0.23789153,0.02254012,0.04270304,0.86462907
-5.95197599,1.40284365,0.01185945,0.01092487,0.45936070,0.29283829,0.23837134,0.02267597,0.04280649,0.88333298
-5.94597299,1.44322980,0.01209675,0.01129968,0.46394569,0.31092744,0.24020226,0.02306520,0.04319037,0.90676036
-5.93996998,1.49015868,0.01256474,0.01169110,0.47123185,0.32976422,0.24326347,0.02369234,0.04382573,0.93443138
-5.93396698,1.54278764,0.01325867,0.01209083,0.48096012,0.34919055,0.24741758,0.02454028,0.04468165,0.96581687
-5.92796398,1.60021179,0.01417068,0.01249083,0.49284032,0.36903871,0.25251409,0.02559019,0.04572571,1.00034677
-5.92196098,1.66147539,0.01528964,0.01288344,0.50655685,0.38913218,0.25839261,0.02682146,0.04692454,1.03741766
-5.91595798,1.72558140,0.01660100,0.01326150,0.52177382,0.40928619,0.26488581,0.02821163,0.04824418,1.07639910
-5.90995498,1.79149945,0.01808671,0.01361841,0.53813946,0.42930805,0.27182188,0.02973633,0.04965047,1.11663905
-5.90395198,1.85817241,0.01972512,0.01394822,0.55529003,0.44899726,0.27902672,0.03136925,0.05110926,1.15746830
-5.89794897,1.92452211,0.02149113,0.01424561,0.57285311,0.46814570,0.28632569,0.03308223,0.05258668,1.19820437
-5.89194597,1.98945501,0.02335625,0.01450587,0.59045081,0.48653808,0.29354515,0.03484529,0.05404929,1.23815534
-5.88594297,2.05186856,0.02528901,0.01472495,0.60770282,0.50395276,0.30051385,0.03662687,0.05546423,1.27662398
-5.87993997,2.11065896,0.02725529,0.01489936,0.62422976,0.52016325,0.30706421,0.03839409,0.05679947,1.31291287
-5.87393697,2.16473126,0.02921898,0.01502614,0.63965694,0.53494037,0.31303377,0.04011321,0.05802391,1.34633070
-5.86793397,2.21301202,0.03114259,0.01510288,0.65361876,0.54805540,0.31826671,0.04175007,0.05910777,1.37620034
-5.86193097,2.25446502,0.03298817,0.01512762,0.66576386,0.55928409,0.32261573,0.04327076,0.06002278,1.40186861
-5.85592796,2.28810984,0.03471812,0.01509886,0.67576092,0.56841146,0.32594411,0.04464232,0.06074268,1.42271789
-5.84992496,2.31304298,0.03629621,0.01501557,0.68330516,0.57523743,0.32812812,0.04583349,0.06124363,1.43817925
-5.84392196,2.32846080,0.03768857,0.01487719,0.68812525,0.57958290,0.32905955,0.04681553,0.06150467,1.44774673
-5.83791896,2.33368328,0.03886465,0.01468366,0.68999035,0.58129613,0.32864842,0.04756304,0.06150833,1.45099200
-5.83191596,2.32817733,0.03979812,0.01443545,0.68871702,0.58025894,0.32682559,0.04805471,0.06124105,1.44757892
-5.82591296,2.31157840,0.04046767,0.01413361,0.68417547,0.57639259,0.32354526,0.04827405,0.06069374,1.43727683
-5.81990995,2.28370880,0.04085771,0.01377983,0.67629486,0.56966273,0.31878697,0.04820990,0.05986217,1.41997194
-5.81390695,2.24459160,0.04095877,0.01337645,0.66506719,0.56008325,0.31255723,0.04785692,0.05874725,1.39567590
-5.80790395,2.19445882,0.04076785,0.01292651,0.65054948,0.54771865,0.30489029,0.04721580,0.05735523,1.36453078
-5.80190095,2.13375306,0.04028844,0.01243373,0.63286397,0.53268479,0.29584822,0.04629334,0.05569770,1.32681010
-5.79589795,2.06312219,0.03953037,0.01190254,0.61219619,0.51514775,0.28552005,0.04510228,0.05379143,1.28291538
-5.78989495,1.98340671,0.03850942,0.01133802,0.58879096,0.49532093,0.27402000,0.04366096,0.05165805,1.23336829
-5.78389195,1.89562045,0.03724676,0.01074586,0.56294617,0.47346035,0.26148491,0.04199280,0.04932353,1.17879851
-5.77788894,1.80092494,0.03576818,0.01013225,0.53500494,0.44985844,0.24807077,0.04012558,0.04681753,1.11992777
-5.77188594,1.70059887,0.03410327,0.00950379,0.50534607,0.42483642,0.23394864,0.03809064,0.04417262,1.05755079
-5.76588294,1.59600375,0.03228437,0.00886741,0.47437351,0.39873588,0.21930016,0.03592197,0.04142337,0.99251386
-5.75987994,1.48854748,0.03034561,0.00823020,0.44250516,0.37190965,0.20431263,0.03365521,0.03860548,0.92569213
-5.75387694,1.37964743,0.02832189,0.00759929,0.41016151,0.34471263,0.18917419,0.03132676,0.03575476,0.85796658
-5.74787394,1.27069474,0.02624787,0.00698178,0.37775471,0.31749287,0.17406901,0.02897280,0.03290627,0.79020177
-5.74187094,1.16302130,0.02415707,0.00638458,0.34567832,0.29058332,0.15917293,0.02662848,0.03009346,0.72322525
-5.73586793,1.05787075,0.02208115,0.00581434,0.31429844,0.26429455,0.14464963,0.02432719,0.02734738,0.65780947
-5.72986493,0.95637463,0.02004916,0.00527739,0.28394625,0.23890881,0.13064736,0.02209996,0.02469612,0.59465689
-5.72386193,0.85953435,0.01808712,0.00477970,0.25491233,0.21467545,0.11729663,0.01997502,0.02216429,0.53438872
-5.71785893,0.76820922,0.01621764,0.00432688,0.22744289,0.19180792,0.10470855,0.01797755,0.01977274,0.47753744
-5.71185593,0.68311083,0.01445976,0.00392414,0.20173781,0.17048236,0.09297409,0.01612950,0.01753838,0.42454325
-5.70585293,0.60480315,0.01282891,0.00357640,0.17795054,0.15083760,0.08216412,0.01444966,0.01547418,0.37575411
-5.69984992,0.53370795,0.01133700,0.00328827,0.15618951,0.13297645,0.07233013,0.01295378,0.01358931,0.33142910
-5.69384692,0.47011449,0.00999267,0.00306414,0.13652107,0.11696820,0.06350557,0.01165480,0.01188936,0.29174443
-5.68784392,0.41419274,0.00880154,0.00290825,0.11897337,0.10285185,0.05570764,0.01056317,0.01037672,0.25680166
-5.68184092,0.36600864,0.00776658,0.00282472,0.10354114,0.09064002,0.04893944,0.00968716,0.00905093,0.22663726
-5.67583792,0.32554059,0.00688851,0.00281759,0.09019084,0.08032306,0.04319227,0.00903324,0.00790917,0.20123288
-5.66983492,0.29269592,0.00616620,0.00289084,0.07886599,0.07187323,0.03844794,0.00860634,0.00694665,0.18052573
-5.66383192,0.26732638,0.00559698,0.00304838,0.06949242,0.06524869,0.03468106,0.00841017,0.00615708,0.16441828
-5.65782891,0.24924181,0.00517706,0.00329398,0.06198301,0.06039699,0.03186103,0.00844731,0.00553306,0.15278694
-5.65182591,0.23822145,0.00490176,0.00363119,0.05624205,0.05725802,0.02995388,0.00871934,0.00506642,0.14548928
-5.64582291,0.23402230,0.00476574,0.00406319,0.05216875,0.05576630,0.02892362,0.00922684,0.00474848,0.14236944
-5.63981991,0.23638462,0.00476317,0.00459262,0.04966012,0.05585244,0.02873339,0.00996917,0.00457028,0.14326180
-5.63381691,0.24503431,0.00488780,0.00522140,0.04861298,0.05744398,0.02934613,0.01094433,0.00452272,0.14799272
-5.62781391,0.25968267,0.00513297,0.00595047,0.04892526,0.06046551,0.03072496,0.01214861,0.00459662,0.15638072
-5.62181091,0.28002394,0.00549163,0.00677955,0.05049670,0.06483820,0.03283334,0.01357620,0.00478273,0.16823517
-5.61580790,0.30573107,0.00595621,0.00770691,0.05322893,0.07047895,0.03563498,0.01521884,0.00507171,0.18335406
-5.60980490,0.33645076,0.00651858,0.00872909,0.05702516,0.07729931,0.03909361,0.01706536,0.00545406,0.20152109
-5.60380190,0.37179820,0.00716990,0.00984079,0.06178971,0.08520423,0.04317274,0.01910136,0.00592001,0.22250270
-5.59779890,0.41135263,0.00790056,0.01103462,0.06742742,0.09409111,0.04783551,0.02130888,0.00645944,0.24604551
-5.59179590,0.45465427,0.00870011,0.01230106,0.07384307,0.10384900,0.05304464,0.02366625,0.00706183,0.27187448
-5.58579290,0.50120339,0.00955721,0.01362845,0.08094116,0.11435832,0.05876256,0.02614805,0.00771613,0.29969249
-5.57978989,0.55046209,0.01045966,0.01500305,0.08862589,0.12549127,0.06495180,0.02872520,0.00841085,0.32918132
-5.57378689,0.60185910,0.01139452,0.01640924,0.09680162,0.13711278,0.07157572,0.03136533,0.00913401,0.36000454
-5.56778389,0.65479774,0.01234826,0.01782977,0.10537374,0.14908234,0.07859938,0.03403324,0.00987327,0.39181224
-5.56178089,0.70866700,0.01330696,0.01924612,0.11424998,0.16125643,0.08599071,0.03669162,0.01061605,0.42424753
-5.55577789,0.76285540,0.01425661,0.02063901,0.12334213,0.17349168,0.09372187,0.03930193,0.01134976,0.45695475
-5.54977489,0.81676706,0.01518352,0.02198887,0.13256799,0.18564849,0.10177058,0.04182542,0.01206201,0.48958891
-5.54377189,0.86983919,0.01607464,0.02327644,0.14185357,0.19759506,0.11012152,0.04422425,0.01274090,0.52182596
-5.53776888,0.92156018,0.01691799,0.02448339,0.15113529,0.20921151,0.11876750,0.04646273,0.01337534,0.55337332
-5.53176588,0.97148702,0.01770314,0.02559292,0.16036194,0.22039393,0.12771032,0.04850850,0.01395535,0.58398002
-5.52576288,1.01926116,0.01842156,0.02659033,0.16949648,0.23105808,0.13696126,0.05033371,0.01447235,0.61344585
-5.51975988,1.06462166,0.01906700,0.02746354,0.17851717,0.24114242,0.14654095,0.05191610,0.01491948,0.64162873
-5.51375688,1.10741450,0.01963580,0.02820352,0.18741816,0.25061040,0.15647864,0.05323984,0.01529181,0.66844993
-5.50775388,1.14759748,0.02012713,0.02880461,0.19620930,0.25945167,0.16681080,0.05429626,0.01558649,0.69389641
-5.50175088,1.18523987,0.02054307,0.02926472,0.20491504,0.26768212,0.17757888,0.05508426,0.01580293,0.71802014
-5.49574787,1.22051665,0.02088863,0.02958534,0.21357258,0.27534267,0.18882658,0.05561042,0.01594277,0.74093408
-5.48974487,1.25369728,0.02117166,0.02977145,0.22222910,0.28249683,0.20059632,0.05588882,0.01600981,0.76280491
-5.48374187,1.28512941,0.02140258,0.02983129,0.23093833,0.28922704,0.21292537,0.05594060,0.01600994,0.78384280
-5.47773887,1.31521803,0.02159401,0.02977593,0.23975641,0.29562998,0.22584164,0.05579313,0.01595082,0.80428841
-5.47173587,1.34440120,0.02176035,0.02961883,0.24873755,0.30181102,0.23935938,0.05547901,0.01584166,0.82439801
-5.46573287,1.37312350,0.02191716,0.02937519,0.25792931,0.30787813,0.25347504,0.05503482,0.01569279,0.84442721
-5.45972986,1.40180845,0.02208056,0.02906133,0.26736819,0.31393549,0.26816356,0.05449967,0.01551529,0.86461432
-5.45372686,1.43083165,0.02226654,0.02869402,0.27707546,0.32007716,0.28337532,0.05391371,0.01532054,0.88516413
-5.44772386,1.46049585,0.02249025,0.02828980,0.28705370,0.32638122,0.29903396,0.05331662,0.01511976,0.90623313
-5.44172086,1.49100960,0.02276531,0.02786436,0.29728421,0.33290452,0.31503533,0.05274607,0.01492360,0.92791692
-5.43571786,1.52247067,0.02310316,0.02743201,0.30772559,0.33967859,0.33124773,0.05223636,0.01474167,0.95024071
-5.42971486,1.55485522,0.02351248,0.02700520,0.31831351,0.34670675,0.34751340,0.05181726,0.01458226,0.97315347
-5.42371186,1.58801368,0.02399868,0.02659423,0.32896190,0.35396264,0.36365156,0.05151301,0.01445199,0.99652612
-5.41770885,1.62167358,0.02456358,0.02620705,0.33956562,0.36139042,0.37946263,0.05134167,0.01435559,1.02015421
-5.41170585,1.65544959,0.02520511,0.02584925,0.35000442,0.36890653,0.39473390,0.05131479,0.01429577,1.04376491
-5.40570285,1.68886038,0.02591728,0.02552411,0.36014831,0.37640296,0.40924615,0.05143736,0.01427322,1.06702831
-5.39969985,1.72135196,0.02669024,0.02523294,0.36986401,0.38375210,0.42278120,0.05170818,0.01428657,1.08957259
-5.39369685,1.75232635,0.02751052,0.02497538,0.37902240,0.39081282,0.43513012,0.05212051,0.01433261,1.11100252
