energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.02249110,0.01807277,0.34583294,0.32908016,0.21101527,1.62795205,0.67905103,0.01994883,0.63182050
-5.99399700,2.11577748,0.01929866,0.36169199,0.34643092,0.22378255,1.70213221,0.70795462,0.02092002,0.66059361
-5.98799400,2.20475192,0.02050470,0.37708567,0.36311698,0.23651951,1.77300069,0.73538474,0.02182735,0.68773643
-5.98199100,2.28868519,0.02167623,0.39188353,0.37900505,0.24916862,1.83996404,0.76108960,0.02265770,0.71305050
-5.97598799,2.36705103,0.02279871,0.40598871,0.39399252,0.26168006,1.90258806,0.78489307,0.02340037,0.73640359
-5.96998499,2.43953936,0.02385801,0.41934047,0.40800994,0.27401150,1.96060669,0.80670001,0.02404745,0.75773246
-5.96398199,2.50606067,0.02484069,0.43191505,0.42102227,0.28612759,2.01392340,0.82649827,0.02459426,0.77704310
-5.95797899,2.56674132,0.02573415,0.44372487,0.43302869,0.29799907,2.06260504,0.84435711,0.02503956,0.79440816
-5.95197599,2.62190992,0.02652697,0.45481597,0.44406117,0.30960163,2.10686853,0.86042221,0.02538572,0.80996193
-5.94597299,2.67207554,0.02720902,0.46526395,0.45418166,0.32091477,2.14706107,0.87490735,0.02563872,0.82389286
-5.93996998,2.71789847,0.02777167,0.47516856,0.46347805,0.33192038,2.18363498,0.88808333,0.02580803,0.83643401
-5.93396698,2.76015525,0.02820795,0.48464726,0.47205916,0.34260155,2.21711856,0.90026446,0.02590632,0.84785189
-5.92796398,2.79969936,0.02851266,0.49382802,0.48004888,0.35294137,2.24808451,0.91179334,0.02594907,0.85843414
-5.92196098,2.83741951,0.02868243,0.50284179,0.48757977,0.36292195,2.27711765,0.92302473,0.02595404,0.86847657
-5.91595798,2.87419745,0.02871577,0.51181496,0.49478645,0.37252366,2.30478357,0.93430906,0.02594064,0.87827018
-5.90995498,2.91086710,0.02861311,0.52086222,0.50179897,0.38172466,2.33159980,0.94597648,0.02592920,0.88808855
-5.90395198,2.94817679,0.02837674,0.53008014,0.50873659,0.39050064,2.35801091,0.95832213,0.02594019,0.89817641
-5.89794897,2.98675624,0.02801073,0.53954174,0.51570219,0.39882492,2.38436862,0.97159313,0.02599339,0.90873945
-5.89194597,3.02708948,0.02752090,0.54929230,0.52277746,0.40666866,2.41091769,0.98597804,0.02610708,0.91993608
-5.88594297,3.06949465,0.02691462,0.55934652,0.53001925,0.41400147,2.43778796,1.00159893,0.02629727,0.93187124
-5.87993997,3.11411141,0.02620069,0.56968714,0.53745710,0.42079200,2.46499268,1.01850645,0.02657697,0.94459255
-5.87393697,3.16089615,0.02538916,0.58026499,0.54509201,0.42700883,2.49243266,1.03667809,0.02695555,0.95808881
-5.86793397,3.20962490,0.02449111,0.59100038,0.55289665,0.43262142,2.51990570,1.05601932,0.02743823,0.97229099
-5.86193097,3.25990368,0.02351843,0.60178577,0.56081680,0.43760109,2.54712043,1.07636778,0.02802576,0.98707546
-5.85592796,3.31118558,0.02248359,0.61248939,0.56877401,0.44192215,2.57371356,1.09749999,0.02871416,1.00226952
-5.84992496,3.36279370,0.02139943,0.62295978,0.57666944,0.44556305,2.59926927,1.11914045,0.02949475,1.01765884
-5.84392196,3.41394902,0.02027886,0.63303086,0.58438862,0.44850754,2.62333992,1.14097246,0.03035429,1.03299651
-5.83791896,3.46380197,0.01913469,0.64252740,0.59180690,0.45074588,2.64546674,1.16265041,0.03127530,1.04801361
-5.83191596,3.51146661,0.01797940,0.65127064,0.59879553,0.45227613,2.66519978,1.18381294,0.03223657,1.06243063
-5.82591296,3.55605607,0.01682492,0.65908382,0.60522803,0.45310533,2.68211632,1.20409645,0.03321387,1.07596958
-5.81990995,3.59671807,0.01568248,0.66579756,0.61098658,0.45325070,2.69583715,1.22314851,0.03418066,1.08836619
-5.81390695,3.63266924,0.01456247,0.67125478,0.61596825,0.45274078,2.70604036,1.24064073,0.03510903,1.09938194
-5.80790395,3.66322714,0.01347430,0.67531524,0.62009085,0.45161633,2.71247253,1.25628054,0.03597064,1.10881533
-5.80190095,3.68783870,0.01242635,0.67785941,0.62329805,0.44993108,2.71495704,1.26982157,0.03673771,1.11651204
-5.79589795,3.70610420,0.01142589,0.67879177,0.62556371,0.44775211,2.71339979,1.28107222,0.03738399,1.12237352
-5.78989495,3.71779564,0.01047911,0.67804344,0.62689504,0.44515976,2.70779215,1.28990213,0.03788564,1.12636357
-5.78389195,3.72286881,0.00959108,0.67557399,0.62733458,0.44224709,2.69821147,1.29624628,0.03822212,1.12851274
-5.77788894,3.72146832,0.00876582,0.67137258,0.62696079,0.43911869,2.68481906,1.30010651,0.03837685,1.12891996
-5.77188594,3.71392512,0.00800634,0.66545833,0.62588705,0.43588877,2.66785589,1.30155046,0.03833778,1.12775145
-5.76588294,3.70074627,0.00731471,0.65787978,0.62425920,0.43267864,2.64763583,1.30070767,0.03809774,1.12523665
-5.75987994,3.68259703,0.00669216,0.64871369,0.62225147,0.42961341,2.62453667,1.29776326,0.03765467,1.12166115
-5.75387694,3.66027555,0.00613912,0.63806294,0.62006094,0.42681805,2.59898878,1.29294899,0.03701158,1.11735688
-5.74787394,3.63468092,0.00565534,0.62605369,0.61790055,0.42441293,2.57146159,1.28653232,0.03617637,1.11268953
-5.74187094,3.60677554,0.00523993,0.61283186,0.61599101,0.42250899,2.54244798,1.27880361,0.03516147,1.10804389
-5.73586793,3.57754327,0.00489145,0.59855894,0.61455170,0.42120265,2.51244696,1.27006215,0.03398330,1.10380737
