energy_ev,total_up,Cd_p_up,Cd_d_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up
-6.00000000,0.46598010,0.13093640,0.04986671,0.03157402,0.00000000,0.01227541,0.29312828
-5.99399700,0.46944047,0.13987267,0.04930717,0.03401774,0.00000000,0.01228168,0.28789495
-5.98799400,0.47434027,0.14930952,0.04890243,0.03660770,0.00000000,0.01236203,0.28292147
-5.98199100,0.48067016,0.15915194,0.04865313,0.03932681,0.00000000,0.01252845,0.27832566
-5.97598799,0.48835905,0.16928684,0.04855348,0.04215334,0.00000000,0.01279060,0.27419163
-5.96998499,0.49727466,0.17958479,0.04859151,0.04506101,0.00000000,0.01315548,0.27056757
-5.96398199,0.50722636,0.18990244,0.04874953,0.04801923,0.00000000,0.01362697,0.26746534
-5.95797899,0.51797046,0.20008559,0.04900480,0.05099356,0.00000000,0.01420564,0.26486171
-5.95197599,0.52921756,0.20997281,0.04933041,0.05394625,0.00000000,0.01488851,0.26270111
-5.94597299,0.54064163,0.21939940,0.04969634,0.05683705,0.00000000,0.01566902,0.26089974
-5.93996998,0.55189070,0.22820172,0.05007053,0.05962403,0.00000000,0.01653707,0.25935082
-5.93396698,0.56259835,0.23622162,0.05042018,0.06226452,0.00000000,0.01747922,0.25793056
-5.92796398,0.57239593,0.24331079,0.05071291,0.06471619,0.00000000,0.01847896,0.25650475
-5.92196098,0.58092478,0.24933500,0.05091803,0.06693808,0.00000000,0.01951713,0.25493543
-5.91595798,0.58784816,0.25417792,0.05100760,0.06889164,0.00000000,0.02057248,0.25308755
-5.90995498,0.59286237,0.25774455,0.05095752,0.07054182,0.00000000,0.02162226,0.25083516
-5.90395198,0.59570676,0.25996402,0.05074840,0.07185797,0.00000000,0.02264295,0.24806702
-5.89794897,0.59617224,0.26079173,0.05036625,0.07281475,0.00000000,0.02361100,0.24469140
-5.89194597,0.59410810,0.26021078,0.04980307,0.07339286,0.00000000,0.02450361,0.24063991
-5.88594297,0.58942696,0.25823261,0.04905714,0.07357965,0.00000000,0.02529954,0.23587021
-5.87993997,0.58210764,0.25489688,0.04813319,0.07336952,0.00000000,0.02597984,0.23036777
-5.87393697,0.57219611,0.25027061,0.04704237,0.07276417,0.00000000,0.02652857,0.22414638
-5.86793397,0.55980437,0.24444665,0.04580200,0.07177269,0.00000000,0.02693338,0.21724775
-5.86193097,0.54510742,0.23754144,0.04443518,0.07041137,0.00000000,0.02718604,0.20974007
-5.85592796,0.52833858,0.22969228,0.04297026,0.06870338,0.00000000,0.02728274,0.20171582
-5.84992496,0.50978318,0.22105410,0.04144019,0.06667825,0.00000000,0.02722433,0.19328881
-5.84392196,0.48977104,0.21179590,0.03988171,0.06437118,0.00000000,0.02701637,0.18459068
-5.83791896,0.46866776,0.20209694,0.03833456,0.06182218,0.00000000,0.02666893,0.17576698
-5.83191596,0.44686548,0.19214269,0.03684052,0.05907513,0.00000000,0.02619640,0.16697309
-5.82591296,0.42477296,0.18212090,0.03544248,0.05617672,0.00000000,0.02561697,0.15836983
-5.81990995,0.40280561,0.17221753,0.03418353,0.05317531,0.00000000,0.02495210,0.15011931
-5.81390695,0.38137558,0.16261299,0.03310593,0.05011979,0.00000000,0.02422583,0.14238073
-5.80790395,0.36088222,0.15347850,0.03225023,0.04705845,0.00000000,0.02346406,0.13530653
-5.80190095,0.34170321,0.14497282,0.03165437,0.04403788,0.00000000,0.02269370,0.12903883
-5.79589795,0.32418642,0.13723930,0.03135283,0.04110194,0.00000000,0.02194191,0.12370626
-5.78989495,0.30864298,0.13040337,0.03137594,0.03829087,0.00000000,0.02123529,0.11942131
-5.78389195,0.29534139,0.12457058,0.03174917,0.03564049,0.00000000,0.02059912,0.11627813
-5.77788894,0.28450314,0.11982505,0.03249266,0.03318160,0.00000000,0.02005676,0.11435096
-5.77188594,0.27629963,0.11622856,0.03362079,0.03093948,0.00000000,0.01962908,0.11369309
-5.76588294,0.27085075,0.11382013,0.03514200,0.02893363,0.00000000,0.01933402,0.11433651
-5.75987994,0.26822485,0.11261629,0.03705869,0.02717766,0.00000000,0.01918634,0.11629206
-5.75387694,0.26844037,0.11261180,0.03936741,0.02567933,0.00000000,0.01919746,0.11955029
-5.74787394,0.27146880,0.11378097,0.04205911,0.02444082,0.00000000,0.01937549,0.12408288
-5.74187094,0.27723902,0.11607952,0.04511973,0.02345903,0.00000000,0.01972538,0.12984457
-5.73586793,0.28564281,0.11944686,0.04853082,0.02272616,0.00000000,0.02024916,0.13677559
-5.72986493,0.29654124,0.12380873,0.05227041,0.02223022,0.00000000,0.02094638,0.14480450
-5.72386193,0.30977188,0.12908016,0.05631398,0.02195578,0.00000000,0.02181452,0.15385127
-5.71785893,0.32515618,0.13516863,0.06063551,0.02188463,0.00000000,0.02284949,0.16383059
-5.71185593,0.34250706,0.14197720,0.06520852,0.02199654,0.00000000,0.02404622,0.17465507
-5.70585293,0.36163610,0.14940764,0.07000714,0.02226999,0.00000000,0.02539911,0.18623842
-5.69984992,0.38236002,0.15736332,0.07500702,0.02268281,0.00000000,0.02690249,0.19849815
-5.69384692,0.40450613,0.16575172,0.08018615,0.02321289,0.00000000,0.02855104,0.21135792
-5.68784392,0.42791646,0.17448647,0.08552534,0.02383863,0.00000000,0.03034003,0.22474910
-5.68184092,0.45245018,0.18348886,0.09100856,0.02453942,0.00000000,0.03226540,0.23861167
-5.67583792,0.47798428,0.19268865,0.09662284,0.02529601,0.00000000,0.03432383,0.25289419
-5.66983492,0.50441231,0.20202413,0.10235786,0.02609066,0.00000000,0.03651247,0.26755284
-5.66383192,0.53164123,0.21144159,0.10820525,0.02690730,0.00000000,0.03882863,0.28254955
-5.65782891,0.55958650,0.22089403,0.11415749,0.02773152,0.00000000,0.04126933,0.29784935
-5.65182591,0.58816574,0.23033927,0.12020653,0.02855046,0.00000000,0.04383063,0.31341692
-5.64582291,0.61729115,0.23973770,0.12634230,0.02935268,0.00000000,0.04650699,0.32921265
-5.63981991,0.64686140,0.24904960,0.13255093,0.03012790,0.00000000,0.04929051,0.34518843
-5.63381691,0.67675327,0.25823245,0.13881317,0.03086678,0.00000000,0.05217019,0.36128337
-5.62781391,0.70681396,0.26723821,0.14510269,0.03156063,0.00000000,0.05513128,0.37741990
-5.62181091,0.73685424,0.27601103,0.15138480,0.03220116,0.00000000,0.05815466,0.39350037
-5.61580790,0.76664350,0.28448530,0.15761541,0.03278032,0.00000000,0.06121646,0.40940458
-5.60980490,0.79590679,0.29258453,0.16374047,0.03329008,0.00000000,0.06428786,0.42498851
-5.60380190,0.82432453,0.30022085,0.16969594,0.03372238,0.00000000,0.06733510,0.44008429
-5.59779890,0.85153500,0.30729557,0.17540836,0.03406913,0.00000000,0.07031978,0.45450180
-5.59179590,0.87713982,0.31370059,0.18079600,0.03432226,0.00000000,0.07319946,0.46803162
-5.58579290,0.90071225,0.31932070,0.18577065,0.03447390,0.00000000,0.07592848,0.48044967
-5.57978989,0.92180820,0.32403679,0.19023999,0.03451656,0.00000000,0.07845909,0.49152302
-5.57378689,0.93997938,0.32772967,0.19411028,0.03444341,0.00000000,0.08074274,0.50101698
-5.56778389,0.95478813,0.33028448,0.19728962,0.03424862,0.00000000,0.08273154,0.50870296
-5.56178089,0.96582322,0.33159533,0.19969119,0.03392761,0.00000000,0.08437986,0.51436674
-5.55577789,0.97271582,0.33156999,0.20123671,0.03347740,0.00000000,0.08564593,0.51781696
-5.54977489,0.97515491,0.33013441,0.20185969,0.03289687,0.00000000,0.08649337,0.51889312
-5.54377189,0.97290130,0.32723679,0.20150840,0.03218698,0.00000000,0.08689263,0.51747288
-5.53776888,0.96579951,0.32285092,0.20014845,0.03135093,0.00000000,0.08682225,0.51347828
-5.53176588,0.95378692,0.31697875,0.19776474,0.03039423,0.00000000,0.08626981,0.50688040
-5.52576288,0.93689981,0.30965190,0.19436277,0.02932471,0.00000000,0.08523262,0.49770240
