energy_ev,total_up,Ag_p_up,Ag_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.63291711,0.60807766,1.85907150,0.10129371,0.16294916,0.00853642,0.01787144,0.02033848,0.46637057
-5.99399700,2.57249967,0.59351374,1.82833581,0.09865811,0.15578483,0.00776756,0.01763619,0.01948424,0.44852251
-5.98799400,2.51295489,0.58018091,1.79655800,0.09666732,0.14908057,0.00711838,0.01740718,0.01875743,0.43088769
-5.98199100,2.45482891,0.56812298,1.76416280,0.09533155,0.14285875,0.00659039,0.01718756,0.01815753,0.41360039
-5.97598799,2.39867569,0.55736849,1.73160825,0.09466210,0.13713532,0.00618334,0.01698183,0.01768179,0.39679495
-5.96998499,2.34505915,0.54793504,1.69938372,0.09467219,0.13192103,0.00589551,0.01679571,0.01732560,0.38060498
-5.96398199,2.29455342,0.53983313,1.66800638,0.09537745,0.12722250,0.00572394,0.01663616,0.01708291,0.36516229
-5.95797899,2.24774115,0.53306942,1.63801622,0.09679613,0.12304325,0.00566466,0.01651117,0.01694663,0.35059548
-5.95197599,2.20520971,0.52764931,1.60996964,0.09894888,0.11938446,0.00571286,0.01642967,0.01690908,0.33702828
-5.94597299,2.16754544,0.52357873,1.58443167,0.10185829,0.11624558,0.00586306,0.01640127,0.01696235,0.32457773
-5.93996998,2.13532591,0.52086520,1.56196704,0.10554792,0.11362470,0.00610926,0.01643610,0.01709870,0.31335229
-5.93396698,2.10911048,0.51951813,1.54313023,0.11004113,0.11151868,0.00644503,0.01654450,0.01731082,0.30344987
-5.92796398,2.08942928,0.51954844,1.52845465,0.11535956,0.10992320,0.00686352,0.01673682,0.01759211,0.29495594
-5.92196098,2.07677098,0.52096763,1.51844113,0.12152136,0.10883246,0.00735756,0.01702313,0.01793677,0.28794175
-5.91595798,2.07156957,0.52378634,1.51354599,0.12853930,0.10823889,0.00791960,0.01741295,0.01833992,0.28246269
-5.90995498,2.07419049,0.52801245,1.51416888,0.13641877,0.10813272,0.00854170,0.01791505,0.01879759,0.27855685
-5.90395198,2.08491665,0.53364901,1.52064061,0.14515585,0.10850141,0.00921551,0.01853718,0.01930663,0.27624382
-5.89794897,2.10393459,0.54069191,1.53321141,0.15473545,0.10932918,0.00993225,0.01928586,0.01986459,0.27552372
-5.89194597,2.13132142,0.54912746,1.55203977,0.16512968,0.11059651,0.01068261,0.02016622,0.02046954,0.27637647
-5.88594297,2.16703299,0.55893005,1.57718244,0.17629664,0.11227964,0.01145683,0.02118188,0.02111984,0.27876140
-5.87993997,2.21089395,0.57005993,1.60858588,0.18817953,0.11435031,0.01224460,0.02233477,0.02181395,0.28261705
-5.87393697,2.26259019,0.58246118,1.64607964,0.20070634,0.11677554,0.01303519,0.02362512,0.02255023,0.28786141
-5.86793397,2.32166424,0.59606003,1.68937214,0.21379005,0.11951759,0.01381744,0.02505142,0.02332669,0.29439235
-5.86193097,2.38751424,0.61076358,1.73804925,0.22732948,0.12253414,0.01457992,0.02661035,0.02414095,0.30208848
-5.85592796,2.45939676,0.62645903,1.79157593,0.24121067,0.12577867,0.01531106,0.02829690,0.02499007,0.31081038
-5.84992496,2.53643397,0.64301344,1.84930143,0.25530887,0.12920100,0.01599933,0.03010431,0.02587056,0.32040222
-5.84392196,2.61762500,0.66027409,1.91046791,0.26949100,0.13274813,0.01663347,0.03202423,0.02677842,0.33069373
-5.83791896,2.70186189,0.67806948,1.97422272,0.28361848,0.13636513,0.01720275,0.03404674,0.02770925,0.34150266
-5.83191596,2.78794942,0.69621096,2.03963406,0.29755034,0.13999632,0.01769724,0.03616041,0.02865838,0.35263757
-5.82591296,2.87462869,0.71449492,2.10570977,0.31114642,0.14358647,0.01810811,0.03835244,0.02962113,0.36390102
-5.81990995,2.96060373,0.73270557,2.17141867,0.32427063,0.14708215,0.01842787,0.04060865,0.03059299,0.37509303
-5.81390695,3.04457022,0.75061816,2.23571400,0.33679383,0.15043303,0.01865071,0.04291362,0.03156995,0.38601481
-5.80790395,3.12524543,0.76800261,2.29755799,0.34859657,0.15359321,0.01877267,0.04525066,0.03254873,0.39647264
-5.80190095,3.20139845,0.78462735,2.35594689,0.35957119,0.15652244,0.01879188,0.04760193,0.03352702,0.40628178
-5.79589795,3.27187937,0.80026337,2.40993551,0.36962353,0.15918721,0.01870871,0.04994847,0.03450372,0.41527032
-5.78989495,3.33564667,0.81468829,2.45866047,0.37867390,0.16156163,0.01852581,0.05227029,0.03547912,0.42328284
-5.78389195,3.39179157,0.82769029,2.50136116,0.38665751,0.16362817,0.01824815,0.05454643,0.03645501,0.43018374
-5.77788894,3.43955873,0.83907193,2.53739786,0.39352432,0.16537800,0.01788295,0.05675517,0.03743475,0.43586017
-5.77188594,3.47836247,0.84865368,2.56626635,0.39923835,0.16681125,0.01743951,0.05887417,0.03842326,0.44022442
-5.76588294,3.50779803,0.85627712,2.58760842,0.40377665,0.16793682,0.01692903,0.06088074,0.03942693,0.44321565
-5.75987994,3.52764777,0.86180771,2.60121815,0.40712798,0.16877203,0.01636429,0.06275221,0.04045350,0.44480099
-5.75387694,3.53788189,0.86513717,2.60704375,0.40929138,0.16934198,0.01575930,0.06446626,0.04151184,0.44497590
-5.74787394,3.53865419,0.86618539,2.60518489,0.41027476,0.16967863,0.01512895,0.06600149,0.04261164,0.44376373
-5.74187094,3.53029279,0.86490184,2.59588596,0.41009372,0.16981977,0.01448855,0.06733784,0.04376316,0.44121464
-5.73586793,3.51328641,0.86126653,2.57952533,0.40877054,0.16980770,0.01385338,0.06845727,0.04497677,0.43740372
-5.72986493,3.48826679,0.85529040,2.55660123,0.40633361,0.16968788,0.01323829,0.06934427,0.04626258,0.43242852
-5.72386193,3.45598766,0.84701521,2.52771463,0.40281716,0.16950742,0.01265726,0.06998649,0.04762998,0.42640601
-5.71785893,3.41730114,0.83651288,2.49354990,0.39826139,0.16931352,0.01212298,0.07037526,0.04908715,0.41946900
-5.71185593,3.37313221,0.82388432,2.45485374,0.39271292,0.16915192,0.01164652,0.07050607,0.05064057,0.41176226
-5.70585293,3.32445193,0.80925763,2.41241309,0.38622546,0.16906542,0.01123703,0.07037892,0.05229455,0.40343837
-5.69984992,3.27225018,0.79278580,2.36703273,0.37886055,0.16909232,0.01090150,0.06999857,0.05405071,0.39465343
-5.69384692,3.21750877,0.77464387,2.31951318,0.37068837,0.16926520,0.01064460,0.06937459,0.05590755,0.38556275
-5.68784392,3.16117548,0.75502559,2.27062961,0.36178841,0.16960961,0.01046860,0.06852127,0.05786008,0.37631679
-5.68184092,3.10413988,0.73413973,2.22111224,0.35224978,0.17014321,0.01037333,0.06745737,0.05989942,0.36705721
-5.67583792,3.04721166,0.71220596,2.17162901,0.34217134,0.17087493,0.01035629,0.06620567,0.06201262,0.35791342
-5.66983492,2.99110200,0.68945065,2.12277079,0.33166131,0.17180453,0.01041272,0.06479242,0.06418250,0.34899957
-5.66383192,2.93640873,0.66610254,2.07503970,0.32083644,0.17292249,0.01053589,0.06324661,0.06638766,0.34041218
-5.65782891,2.88360577,0.64238854,2.02884095,0.30982083,0.17421009,0.01071728,0.06159920,0.06860268,0.33222834
-5.65182591,2.83303710,0.61852975,1.98447821,0.29874424,0.17564005,0.01094692,0.05988228,0.07079838,0.32450474
-5.64582291,2.78491582,0.59473799,1.94215290,0.28774019,0.17717732,0.01121378,0.05812824,0.07294234,0.31727733
-5.63981991,2.73932806,0.57121275,1.90196722,0.27694378,0.17878033,0.01150608,0.05636899,0.07499959,0.31056183
-5.63381691,2.69624184,0.54813890,1.86393078,0.26648934,0.18040249,0.01181177,0.05463519,0.07693336,0.30435485
-5.62781391,2.65552044,0.52568512,1.82797063,0.25650819,0.18199398,0.01211885,0.05295571,0.07870607,0.29863572
-5.62181091,2.61693974,0.50400309,1.79394411,0.24712639,0.18350371,0.01241580,0.05135709,0.08028039,0.29336886
-5.61580790,2.58020882,0.48322739,1.76165402,0.23846271,0.18488138,0.01269195,0.04986323,0.08162031,0.28850663
-5.60980490,2.54499281,0.46347612,1.73086542,0.23062681,0.18607958,0.01293775,0.04849521,0.08269234,0.28399249
-5.60380190,2.51093695,0.44485212,1.70132328,0.22371769,0.18705580,0.01314510,0.04727123,0.08346657,0.27976433
-5.59779890,2.47769070,0.42744453,1.67277011,0.21782248,0.18777427,0.01330757,0.04620667,0.08391777,0.27575784
-5.59179590,2.44493061,0.41133067,1.64496282,0.21301539,0.18820750,0.01342048,0.04531427,0.08402625,0.27190983
-5.58579290,2.41238097,0.39657792,1.61768797,0.20935695,0.18833747,0.01348105,0.04460435,0.08377867,0.26816119
-5.57978989,2.37983104,0.38324555,1.59077472,0.20689335,0.18815637,0.01348838,0.04408503,0.08316856,0.26445956
-5.57378689,2.34714801,0.37138617,1.56410489,0.20565594,0.18766689,0.01344336,0.04376252,0.08219667,0.26076147
-5.56778389,2.31428517,0.36104682,1.53761962,0.20566076,0.18688196,0.01334857,0.04364122,0.08087104,0.25703397
-5.56178089,2.28128469,0.35226939,1.51132247,0.20690800,0.18582400,0.01320806,0.04372396,0.07920685,0.25325558
