energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.00815903,-1.08293788,0.02373031,-0.02674072,0.00337405,-0.00352982,0.30141240,-0.32472478,0.27262495,-0.29090584,0.00232193,-0.00277563,0.62878218,-0.67473808
-5.99399700,0.94508045,-1.01367784,0.02143016,-0.02412632,0.00323629,-0.00337987,0.28255814,-0.30274387,0.25651411,-0.27289990,0.00211221,-0.00243269,0.59065934,-0.63278750
-5.98799400,0.88738684,-0.94989912,0.01937191,-0.02178071,0.00310900,-0.00324198,0.26628469,-0.28360712,0.24207295,-0.25656380,0.00199369,-0.00218697,0.55583191,-0.59420519
-5.98199100,0.83499666,-0.89142803,0.01753576,-0.01967895,0.00299076,-0.00311450,0.25236752,-0.26703613,0.22929877,-0.24186421,0.00196347,-0.00203406,0.52424048,-0.55887359
-5.97598799,0.78790103,-0.83816680,0.01590604,-0.01780064,0.00288044,-0.00299599,0.24063048,-0.25279948,0.21821269,-0.22879248,0.00201985,-0.00197067,0.49587226,-0.52672318
-5.96998499,0.74615785,-0.79009179,0.01447067,-0.01612956,0.00277717,-0.00288523,0.23094505,-0.24071450,0.20885776,-0.21736413,0.00216227,-0.00199467,0.47075789,-0.49773198
-5.96398199,0.70988296,-0.74724836,0.01322053,-0.01465313,0.00268039,-0.00278132,0.22322767,-0.23064681,0.20129596,-0.20761725,0.00239127,-0.00210512,0.44896640,-0.47192288
-5.95797899,0.67923884,-0.70974283,0.01214886,-0.01336186,0.00258984,-0.00268366,0.21743533,-0.22250799,0.19560432,-0.19960990,0.00270833,-0.00230220,0.43059840,-0.44935907
-5.95197599,0.65442097,-0.67773181,0.01125063,-0.01224870,0.00250557,-0.00259193,0.21355970,-0.21625153,0.19187016,-0.19341644,0.00311566,-0.00258709,0.41577763,-0.43013766
-5.94597299,0.63564240,-0.65140941,0.01052192,-0.01130845,0.00242786,-0.00250614,0.21162001,-0.21186726,0.19018553,-0.18912312,0.00361595,-0.00296180,0.40464140,-0.41438174
-5.93996998,0.62311683,-0.63099233,0.00995934,-0.01053716,0.00235725,-0.00242657,0.21165491,-0.20937453,0.19064112,-0.18682282,0.00421206,-0.00342894,0.39732972,-0.40223110
-5.93396698,0.61704048,-0.61670354,0.00955955,-0.00993153,0.00229443,-0.00235371,0.21371355,-0.20881431,0.19331961,-0.18660919,0.00490670,-0.00399139,0.39397377,-0.39383185
-5.92796398,0.61757333,-0.60875456,0.00931873,-0.00948842,0.00224022,-0.00228828,0.21784625,-0.21024048,0.19828878,-0.18857021,0.00570204,-0.00465202,0.39468375,-0.38932502
-5.92196098,0.62482020,-0.60732698,0.00923226,-0.00920437,0.00219549,-0.00223111,0.22409493,-0.21371060,0.20559443,-0.19278142,0.00659935,-0.00541331,0.39953658,-0.38883464
-5.91595798,0.63881227,-0.61255362,0.00929434,-0.00907518,0.00216109,-0.00218310,0.23248378,-0.21927642,0.21525347,-0.19929897,0.00759861,-0.00627696,0.40856382,-0.39245546
-5.90995498,0.65948966,-0.62449981,0.00949773,-0.00909558,0.00213776,-0.00214515,0.24301031,-0.22697443,0.22724741,-0.20815263,0.00869810,-0.00724353,0.42174024,-0.40024071
-5.90395198,0.68668593,-0.64314565,0.00983360,-0.00925897,0.00212612,-0.00211810,0.25563736,-0.23681680,0.24151651,-0.21933914,0.00989412,-0.00831203,0.43897360,-0.41219045
-5.89794897,0.72011521,-0.66836969,0.01029137,-0.00955719,0.00212653,-0.00210262,0.27028626,-0.24878304,0.25795493,-0.23281612,0.01118067,-0.00947958,0.46009604,-0.42824077
-5.89194597,0.75936268,-0.69993499,0.01085868,-0.00998038,0.00213909,-0.00209920,0.28683148,-0.26281273,0.27640714,-0.24849682,0.01254920,-0.01074109,0.48485774,-0.44825456
-5.88594297,0.80387931,-0.73747835,0.01152146,-0.01051696,0.00216357,-0.00210804,0.30509726,-0.27879969,0.29666606,-0.26624607,0.01398849,-0.01208898,0.51292321,-0.47201431
-5.87993997,0.85298135,-0.78050331,0.01226396,-0.01115355,0.00219940,-0.00212905,0.32485615,-0.29658786,0.31847284,-0.28587767,0.01548460,-0.01351303,0.54387070,-0.49921725
-5.87393697,0.90585515,-0.82837781,0.01306898,-0.01187512,0.00224564,-0.00216177,0.34583004,-0.31596918,0.34151893,-0.30715358,0.01702089,-0.01500026,0.57719504,-0.52947369
-5.86793397,0.96156767,-0.88033693,0.01391812,-0.01266511,0.00230100,-0.00220540,0.36769345,-0.33668373,0.36545013,-0.32978505,0.01857825,-0.01653498,0.61231413,-0.56230844
-5.86193097,1.01908268,-0.93549127,0.01479207,-0.01350564,0.00236382,-0.00225874,0.39007934,-0.35842223,0.38987296,-0.35343589,0.02013534,-0.01809887,0.64857913,-0.59716600
-5.85592796,1.07728249,-0.99284093,0.01567100,-0.01437779,0.00243215,-0.00232026,0.41258716,-0.38083097,0.41436318,-0.37772795,0.02166903,-0.01967125,0.68528819,-0.63341935
-5.84992496,1.13499479,-1.05129523,0.01653500,-0.01526198,0.00250378,-0.00238810,0.43479305,-0.40351908,0.43847623,-0.40224878,0.02315488,-0.02122946,0.72170351,-0.67038243
-5.84392196,1.19102376,-1.10969769,0.01736451,-0.01613837,0.00257632,-0.00246013,0.45626183,-0.42606804,0.46175931,-0.42656131,0.02456779,-0.02274932,0.75707112,-0.70732602
-5.83791896,1.24418444,-1.16685564,0.01814086,-0.01698728,0.00264724,-0.00253398,0.47656033,-0.44804309,0.48376483,-0.45021535,0.02588265,-0.02420569,0.79064280,-0.74349663
-5.83191596,1.29333915,-1.22157353,0.01884675,-0.01778970,0.00271398,-0.00260715,0.49527158,-0.46900618,0.50406447,-0.47276051,0.02707507,-0.02557316,0.82169932,-0.77813782
-5.82591296,1.33743442,-1.27268882,0.01946669,-0.01852778,0.00277402,-0.00267707,0.51200924,-0.48852995,0.52226360,-0.49376003,0.02812212,-0.02682677,0.84957403,-0.81051304
-5.81990995,1.37553692,-1.31910890,0.01998751,-0.01918531,0.00282500,-0.00274119,0.52643174,-0.50621225,0.53801514,-0.51280515,0.02900307,-0.02794271,0.87367586,-0.83992942
-5.81390695,1.40686675,-1.35984773,0.02039872,-0.01974820,0.00286474,-0.00279705,0.53825540,-0.52169053,0.55103246,-0.52952920,0.02970004,-0.02889912,0.89351062,-0.86576113
-5.80790395,1.43082664,-1.39406044,0.02069284,-0.02020486,0.00289137,-0.00284241,0.54726594,-0.53465546,0.56110063,-0.54362097,0.03019866,-0.02967677,0.90869972,-0.88747162
-5.80190095,1.44702556,-1.42107439,0.02086562,-0.02054660,0.00290337,-0.00287525,0.55332791,-0.54486325,0.56808546,-0.55483665,0.03048850,-0.03025969,0.91899537,-0.90463359
-5.79589795,1.45529556,-1.44041517,0.02091618,-0.02076788,0.00289963,-0.00289391,0.55639154,-0.55214597,0.57193987,-0.56300980,0.03056349,-0.03063574,0.92429144,-0.91694568
-5.78989495,1.45570104,-1.45182632,0.02084701,-0.02086648,0.00287945,-0.00289711,0.55649661,-0.55641954,0.57270729,-0.56805881,0.03042208,-0.03079704,0.92462953,-0.92424524
-5.78389195,1.44853982,-1.45528175,0.02066389,-0.02084355,0.00284263,-0.00288401,0.55377324,-0.55768877,0.57052179,-0.56999155,0.03006735,-0.03074022,0.92019980,-0.92651637
-5.77788894,1.43433588,-1.45099011,0.02037565,-0.02070358,0.00278939,-0.00285422,0.54843937,-0.55604945,0.56560499,-0.56890682,0.02950688,-0.03046655,0.91133650,-0.92389290
-5.77188594,1.41382394,-1.43939081,0.01999387,-0.02045424,0.00272043,-0.00280780,0.54079525,-0.55168711,0.55825971,-0.56499254,0.02875248,-0.02998191,0.89850833,-0.91665599
