energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,2.44645917,0.24178036,1.74321063,0.00292711,0.08010584,0.25835298,0.44287491,0.31679005,0.00000000
-5.99399700,2.53458859,0.25203294,1.79453841,0.00331265,0.08230981,0.27134431,0.47075066,0.32582686,0.00000000
-5.98799400,2.62862298,0.26309733,1.84871493,0.00372574,0.08451648,0.28505096,0.50118093,0.33536252,0.00000000
-5.98199100,2.72861589,0.27492091,1.90571813,0.00416418,0.08673351,0.29947367,0.53424436,0.34538675,0.00000000
-5.97598799,2.83447008,0.28742963,1.96543754,0.00462500,0.08896724,0.31459573,0.56997059,0.35587431,0.00000000
-5.96998499,2.94591181,0.30052816,2.02766001,0.00510443,0.09122191,0.33037945,0.60833072,0.36678338,0.00000000
-5.96398199,3.06247016,0.31410101,2.09205832,0.00559791,0.09349910,0.34676325,0.64922933,0.37805473,0.00000000
-5.95797899,3.18346309,0.32801473,2.15818354,0.00610019,0.09579728,0.36365972,0.69249852,0.38961181,0.00000000
-5.95197599,3.30799154,0.34212123,2.22546209,0.00660538,0.09811164,0.38095468,0.73789448,0.40136174,0.00000000
-5.94597299,3.43494289,0.35626198,2.29319810,0.00710707,0.10043417,0.39850763,0.78509700,0.41319748,0.00000000
-5.93996998,3.56300434,0.37027330,2.36058156,0.00759850,0.10275398,0.41615335,0.83371223,0.42500085,0.00000000
-5.93396698,3.69068632,0.38399213,2.42670224,0.00807272,0.10505784,0.43370508,0.88327886,0.43664652,0.00000000
-5.92796398,3.81635585,0.39726246,2.49056947,0.00852279,0.10733092,0.45095881,0.93327760,0.44800675,0.00000000
-5.92196098,3.93827859,0.40994181,2.55113686,0.00894199,0.10955772,0.46769888,0.98314389,0.45895665,0.00000000
-5.91595798,4.05466840,0.42190764,2.60733152,0.00932402,0.11172307,0.48370450,1.03228333,0.46937970,0.00000000
-5.90995498,4.16374234,0.43306321,2.65808637,0.00966323,0.11381314,0.49875692,1.08008939,0.47917332,0.00000000
-5.90395198,4.26377875,0.44334266,2.70237431,0.00995480,0.11581646,0.51264707,1.12596256,0.48825405,0.00000000
-5.89794897,4.35317576,0.45271492,2.73924271,0.01019493,0.11772478,0.52518307,1.16933016,0.49656210,0.00000000
-5.89194597,4.43050748,0.46118611,2.76784665,0.01038097,0.11953383,0.53619744,1.20966581,0.50406497,0.00000000
-5.88594297,4.49457508,0.46880037,2.78747929,0.01051152,0.12124373,0.54555350,1.24650768,0.51075982,0.00000000
