energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up
-6.00000000,5.53918418,1.86624238,3.95211344,0.02341887,0.36910822,0.00989840,0.84893891
-5.99399700,5.46678236,1.83416137,3.90635397,0.02280775,0.35538301,0.00987901,0.84739098
-5.98799400,5.39971109,1.80412539,3.86388555,0.02229232,0.34301655,0.00981962,0.84611848
-5.98199100,5.33708723,1.77585244,3.82411468,0.02187727,0.33187337,0.00971924,0.84498527
-5.97598799,5.27794432,1.74900604,3.78641088,0.02156543,0.32180034,0.00957830,0.84383459
-5.96998499,5.22128574,1.72321364,3.75014318,0.02135778,0.31263404,0.00939866,0.84249484
-5.96398199,5.16613534,1.69808433,3.71471453,0.02125340,0.30420772,0.00918346,0.84078584
-5.95797899,5.11158352,1.67322540,3.67959269,0.02124954,0.29635748,0.00893702,0.83852524
-5.95197599,5.05682755,1.64825733,3.64433680,0.02134164,0.28892784,0.00866463,0.83553502
-5.94597299,5.00120491,1.62282685,3.60861873,0.02152343,0.28177616,0.00837234,0.83164777
-5.93996998,4.94421907,1.59661801,3.57223874,0.02178702,0.27477629,0.00806675,0.82671261
-5.93396698,4.88555714,1.56936106,3.53513513,0.02212308,0.26782110,0.00775474,0.82060047
-5.92796398,4.82509948,1.54083917,3.49738794,0.02252093,0.26082413,0.00744321,0.81320859
-5.92196098,4.76292137,1.51089316,3.45921679,0.02296880,0.25372032,0.00713887,0.80446422
-5.91595798,4.69928728,1.47942408,3.42097325,0.02345405,0.24646593,0.00684800,0.79432709
-5.90995498,4.63463844,1.44639417,3.38312846,0.02396340,0.23903777,0.00657626,0.78279090
-5.90395198,4.56957452,1.41182601,3.34625644,0.02448325,0.23143179,0.00632852,0.76988357
-5.89794897,4.50483063,1.37580032,3.31101426,0.02499995,0.22366125,0.00610873,0.75566633
-5.89194597,4.44125051,1.33845239,3.27811964,0.02550019,0.21575450,0.00591987,0.74023172
-5.88594297,4.37975733,1.29996757,3.24832716,0.02597128,0.20775251,0.00576386,0.72370061
-5.87993997,4.32132309,1.26057571,3.22240391,0.02640153,0.19970633,0.00564159,0.70621831
-5.87393697,4.26693779,1.22054509,3.20110537,0.02678054,0.19167450,0.00555293,0.68795003
-5.86793397,4.21757937,1.18017564,3.18515245,0.02709958,0.18372048,0.00549683,0.66907588
-5.86193097,4.17418523,1.13979195,3.17521015,0.02735176,0.17591029,0.00547139,0.64978557
-5.85592796,4.13762610,1.09973592,3.17186851,0.02753236,0.16831033,0.00547401,0.63027313
-5.84992496,4.10868263,1.06035938,3.17562601,0.02763889,0.16098542,0.00550151,0.61073174
-5.84392196,4.08802506,1.02201670,3.18687562,0.02767126,0.15399711,0.00555028,0.59134893
-5.83791896,4.07619605,0.98505746,3.20589358,0.02763175,0.14740230,0.00561643,0.57230225
-5.83191596,4.07359661,0.94981929,3.23283074,0.02752492,0.14125206,0.00569595,0.55375558
-5.82591296,4.08047496,0.91662094,3.26770615,0.02735750,0.13559078,0.00578485,0.53585605
-5.81990995,4.09691819,0.88575562,3.31040296,0.02713810,0.13045547,0.00587925,0.51873171
-5.81390695,4.12284623,0.85748464,3.36066601,0.02687691,0.12587528,0.00597552,0.50248987
-5.80790395,4.15800829,0.83203152,3.41810138,0.02658530,0.12187118,0.00607034,0.48721604
-5.80190095,4.20198146,0.80957653,3.48217744,0.02627543,0.11845572,0.00616077,0.47297347
-5.79589795,4.25417149,0.79025178,3.55222778,0.02595974,0.11563294,0.00624425,0.45980325
-5.78989495,4.31381620,0.77413713,3.62745597,0.02565052,0.11339830,0.00631868,0.44772473
-5.78389195,4.37999145,0.76125681,3.70694260,0.02535941,0.11173869,0.00638232,0.43673633
-5.77788894,4.45162054,0.75157712,3.78965488,0.02509698,0.11063250,0.00643385,0.42681669
