energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,8.74771926,1.83031172,4.49082827,0.01241822,1.96785854,0.04745275,1.87839790
-5.99399700,9.01850743,1.86702952,4.65042577,0.01275087,2.05245197,0.04929107,1.90747924
-5.98799400,9.30198616,1.91189289,4.81500304,0.01308844,2.14241536,0.05115232,1.93598882
-5.98199100,9.59629475,1.96527859,4.98325745,0.01342351,2.23721421,0.05302619,1.96361089
-5.97598799,9.89905185,2.02745682,5.15358917,0.01374899,2.33612491,0.05490125,1.99001896
-5.96998499,10.20739383,2.09856837,5.32413334,0.01405832,2.43824202,0.05676527,2.01488616
-5.96398199,10.51803210,2.17860186,5.49280460,0.01434573,2.54249200,0.05860562,2.03789642
-5.95797899,10.82732757,2.26737232,5.65735222,0.01460636,2.64765316,0.06040968,2.05875596
-5.95197599,11.13137946,2.36450213,5.81542397,0.01483643,2.75238101,0.06216536,2.07720457
-5.94597299,11.42612497,2.46940556,5.96463570,0.01503338,2.85523863,0.06386146,2.09302616
-5.93996998,11.70744585,2.58127828,6.10264389,0.01519594,2.95473050,0.06548817,2.10605784
-5.93396698,11.97127753,2.69909275,6.22721784,0.01532416,3.04933912,0.06703737,2.11619724
-5.92796398,12.21371644,2.82160080,6.33630816,0.01541942,3.13756270,0.06850295,2.12340740
-5.92196098,12.43112105,2.94734375,6.42810868,0.01548434,3.21795280,0.06988101,2.12771904
-5.91595798,12.62020288,3.07467091,6.50110892,0.01552269,3.28915059,0.07116990,2.12922985
-5.90995498,12.77810399,3.20176623,6.55413485,0.01553922,3.34992038,0.07237026,2.12810073
-5.90395198,12.90245843,3.32668288,6.58637652,0.01553944,3.39917940,0.07348482,2.12454904
-5.89794897,12.99143574,3.44738501,6.59740150,0.01552939,3.43602296,0.07451819,2.11883913
-5.89194597,13.04376590,3.56179562,6.58715414,0.01551533,3.45974419,0.07547652,2.11127037
-5.88594297,13.05874580,3.66784887,6.55594120,0.01550346,3.46984804,0.07636711,2.10216331
-5.87993997,13.03622832,3.76354529,6.50440530,0.01549961,3.46605931,0.07719788,2.09184460
-5.87393697,12.97659580,3.84700771,6.43348796,0.01550891,3.44832478,0.07797694,2.08063137
-5.86793397,12.88072061,3.91653589,6.34438478,0.01553554,3.41680961,0.07871206,2.06881580
-5.86193097,12.74991557,3.97065773,6.23849526,0.01558248,3.37188873,0.07941017,2.05665084
-5.85592796,12.58587753,4.00817494,6.11737026,0.01565129,3.31413346,0.08007694,2.04433771
-5.84992496,12.39062732,4.02820142,5.98265959,0.01574199,3.24429442,0.08071640,2.03201589
-5.84392196,12.16644910,4.03019280,5.83606243,0.01585299,3.16328129,0.08133063,2.01975636
-5.83791896,11.91583182,4.01396575,5.67928271,0.01598109,3.07214021,0.08191954,2.00755820
-5.83191596,11.64141498,3.97970652,5.51399094,0.01612158,2.97202972,0.08248085,1.99534912
-5.82591296,11.34594045,3.92796811,5.34179399,0.01626837,2.86419585,0.08301000,1.98298974
-5.81990995,11.03221113,3.85965644,5.16421302,0.01641425,2.74994709,0.08350036,1.97028153
-5.81390695,10.70305716,3.77600579,4.98266989,0.01655112,2.63062976,0.08394339,1.95697804
-5.80790395,10.36130927,3.67854480,4.79848147,0.01667038,2.50760438,0.08432903,1.94279891
-5.80190095,10.00977878,3.56905412,4.61286091,0.01676324,2.38222343,0.08464605,1.92744580
-5.79589795,9.65124329,3.44951755,4.42692480,0.01682112,2.25581078,0.08488260,1.91061961
-5.78989495,9.28843669,3.32206836,4.24170465,0.01683597,2.12964324,0.08502666,1.89203805
-5.78389195,8.92404225,3.18893299,4.05816119,0.01680068,2.00493426,0.08506668,1.87145252
-5.77788894,8.56068738,3.05237391,3.87720001,0.01670931,1.88282001,0.08499215,1.84866374
-5.77188594,8.20093883,2.91463386,3.69968703,0.01655739,1.76434802,0.08479412,1.82353502
-5.76588294,7.84729730,2.77788310,3.52646248,0.01634208,1.65046819,0.08446581,1.79600284
-5.75987994,7.50219048,2.64417141,3.35835251,0.01606226,1.54202643,0.08400304,1.76608403
-5.75387694,7.16796410,2.51538618,3.19617739,0.01571862,1.43976059,0.08340470,1.73387945
-5.74787394,6.84687060,2.39321750,3.04075605,0.01531359,1.34429871,0.08267302,1.69957393
-5.74187094,6.54105529,2.27913106,2.89290646,0.01485122,1.25615934,0.08181382,1.66343259
-5.73586793,6.25254026,2.17434915,2.75344204,0.01433705,1.17575371,0.08083659,1.62579395
-5.72986493,5.98320631,2.07983968,2.62316418,0.01377787,1.10338940,0.07975447,1.58706000
-5.72386193,5.73477329,1.99631287,2.50285139,0.01318144,1.03927532,0.07858405,1.54768402
