energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Li_s_up,Li_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.02900232,-2.31183746,0.02972908,-0.03471319,0.09712382,-0.21145671,0.67596025,-0.69828470,0.29202674,-0.29544679,0.45238321,-0.32517122,0.02493231,-0.03995557,1.07037875,-1.14772057
-5.99399700,2.02158082,-2.36289793,0.02983460,-0.03587731,0.09588709,-0.21385485,0.67103970,-0.71778299,0.29105685,-0.30222643,0.45276155,-0.34322206,0.02496990,-0.04008986,1.06909795,-1.17622798
-5.98799400,2.01364831,-2.40607458,0.03006169,-0.03695401,0.09507625,-0.21558237,0.66570365,-0.73521731,0.29064789,-0.30808492,0.45274851,-0.36092484,0.02498305,-0.04003392,1.06686937,-1.20070590
-5.98199100,2.00599211,-2.44132915,0.03042416,-0.03793497,0.09473966,-0.21663832,0.66026712,-0.75055308,0.29091360,-0.31299295,0.45249506,-0.37816667,0.02497694,-0.03979562,1.06408545,-1.22114550
-5.97598799,1.99938276,-2.46880158,0.03093271,-0.03881358,0.09492740,-0.21703177,0.65505427,-0.76380291,0.29196183,-0.31693852,0.45214987,-0.39484602,0.02495614,-0.03938694,1.06112348,-1.23763796
-5.96998499,1.99454464,-2.48879448,0.03159449,-0.03958486,0.09568978,-0.21678038,0.65038889,-0.77502208,0.29389026,-0.31992568,0.45185334,-0.41087247,0.02492417,-0.03882354,1.05833054,-1.25036624
-5.96398199,1.99212873,-2.50175120,0.03241264,-0.04024550,0.09707547,-0.21590892,0.64658493,-0.78430222,0.29678233,-0.32197294,0.45173172,-0.42616590,0.02488326,-0.03812413,1.05601022,-1.25959310
-5.95797899,1.99268882,-2.50822865,0.03338597,-0.04079373,0.09912948,-0.21444766,0.64393753,-0.79176362,0.30070328,-0.32311125,0.45189174,-0.44065494,0.02483411,-0.03730981,1.05441202,-1.26564563
-5.95197599,1.99666189,-2.50886630,0.03450874,-0.04122920,0.10189092,-0.21243089,0.64271454,-0.79754653,0.30569665,-0.32338168,0.45241599,-0.45427510,0.02477582,-0.03640330,1.05372353,-1.26889718
-5.94597299,2.00435340,-2.50435279,0.03577063,-0.04155285,0.10539071,-0.20989552,0.64314913,-0.80180202,0.31178131,-0.32283304,0.45335918,-0.46696655,0.02470592,-0.03542804,1.05406592,-1.26974762
-5.93996998,2.01592767,-2.49539214,0.03715673,-0.04176671,0.10964924,-0.20687992,0.64543340,-0.80468287,0.31894909,-0.32151938,0.45474563,-0.47867193,0.02462046,-0.03440741,1.05549246,-1.26860288
