energy_ev,total_up,Ag_p_up,Ag_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,3.21252867,0.22358515,2.89892869,0.05771222,0.00263416,0.21224754,0.00000000
-5.99399700,3.21701531,0.22847530,2.90226577,0.05955582,0.00261411,0.21192620,0.00000000
-5.98799400,3.22278929,0.23364911,2.90643632,0.06145974,0.00260103,0.21189704,0.00000000
-5.98199100,3.23027623,0.23910092,2.91182124,0.06340191,0.00259535,0.21222736,0.00000000
-5.97598799,3.23982626,0.24481376,2.91873617,0.06535835,0.00259734,0.21298025,0.00000000
-5.96998499,3.25169590,0.25075944,2.92741387,0.06730375,0.00260709,0.21421345,0.00000000
-5.96398199,3.26603520,0.25689940,2.93799100,0.06921222,0.00262446,0.21597853,0.00000000
-5.95797899,3.28288046,0.26318611,2.95049994,0.07105815,0.00264911,0.21832044,0.00000000
-5.95197599,3.30215262,0.26956510,2.96486552,0.07281720,0.00268045,0.22127737,0.00000000
-5.94597299,3.32366075,0.27597724,2.98090674,0.07446733,0.00271770,0.22488077,0.00000000
-5.93996998,3.34711041,0.28236135,2.99834303,0.07598976,0.00275984,0.22915540,0.00000000
-5.93396698,3.37211579,0.28865675,3.01680451,0.07736988,0.00280569,0.23411942,0.00000000
-5.92796398,3.39821478,0.29480574,3.03584556,0.07859799,0.00285394,0.23978432,0.00000000
-5.92196098,3.42488594,0.30075578,3.05496065,0.07966982,0.00290312,0.24615454,0.00000000
-5.91595798,3.45156621,0.30646117,3.07360182,0.08058682,0.00295173,0.25322691,0.00000000
-5.90995498,3.47766833,0.31188436,3.09119648,0.08135616,0.00299820,0.26098969,0.00000000
-5.90395198,3.50259714,0.31699652,3.10716500,0.08199043,0.00304102,0.26942125,0.00000000
-5.89794897,3.52576376,0.32177764,3.12093692,0.08250704,0.00307869,0.27848860,0.00000000
-5.89194597,3.54659735,0.32621594,3.13196538,0.08292740,0.00310983,0.28814559,0.00000000
-5.88594297,3.56455401,0.33030690,3.13973918,0.08327584,0.00313321,0.29833118,0.00000000
-5.87993997,3.57912272,0.33405184,3.14379215,0.08357842,0.00314773,0.30896770,0.00000000
-5.87393697,3.58982876,0.33745618,3.14370980,0.08386157,0.00315251,0.31995950,0.00000000
-5.86793397,3.59623475,0.34052766,3.13913339,0.08415081,0.00314687,0.33119197,0.00000000
-5.86193097,3.59794018,0.34327454,3.12976183,0.08446945,0.00313034,0.34253125,0.00000000
-5.85592796,3.59458020,0.34570396,3.11535175,0.08483746,0.00310269,0.35382472,0.00000000
-5.84992496,3.58582427,0.34782062,3.09571647,0.08527055,0.00306391,0.36490244,0.00000000
-5.84392196,3.57137578,0.34962581,3.07072451,0.08577941,0.00301418,0.37557951,0.00000000
-5.83791896,3.55097313,0.35111685,3.04029818,0.08636937,0.00295390,0.38565952,0.00000000
-5.83191596,3.52439288,0.35228711,3.00441291,0.08704021,0.00288362,0.39493891,0.00000000
-5.82591296,3.49145528,0.35312630,2.96309756,0.08778634,0.00280406,0.40321216,0.00000000
-5.81990995,3.45203214,0.35362128,2.91643616,0.08859717,0.00271605,0.41027766,0.00000000
-5.81390695,3.40605680,0.35375706,2.86457082,0.08945781,0.00262052,0.41594401,0.00000000
-5.80790395,3.35353555,0.35351803,2.80770569,0.09034982,0.00251847,0.42003648,0.00000000
-5.80190095,3.29455982,0.35288923,2.74611163,0.09125212,0.00241097,0.42240325,0.00000000
-5.79589795,3.22931792,0.35185753,2.68013076,0.09214193,0.00229907,0.42292127,0.00000000
-5.78989495,3.15810530,0.35041257,2.61018025,0.09299572,0.00218386,0.42150132,0.00000000
-5.78389195,3.08133221,0.34854756,2.53675464,0.09379000,0.00206640,0.41809199,0.00000000
-5.77788894,2.99952760,0.34625957,2.46042570,0.09450208,0.00194771,0.41268250,0.00000000
-5.77188594,2.91333847,0.34354955,2.38183939,0.09511062,0.00182879,0.40530405,0.00000000
-5.76588294,2.82352392,0.34042200,2.30170918,0.09559605,0.00171057,0.39602968,0.00000000
-5.75987994,2.73094387,0.33688432,2.22080572,0.09594081,0.00159394,0.38497274,0.00000000
-5.75387694,2.63654226,0.33294597,2.13994268,0.09612944,0.00147970,0.37228385,0.00000000
-5.74787394,2.54132552,0.32861755,2.05995914,0.09614860,0.00136861,0.35814672,0.00000000
-5.74187094,2.44633696,0.32390996,1.98169922,0.09598697,0.00126134,0.34277293,0.00000000
-5.73586793,2.35262844,0.31883365,1.90598969,0.09563514,0.00115850,0.32639592,0.00000000
-5.72986493,2.26123064,0.31339826,1.83361670,0.09508553,0.00106062,0.30926465,0.00000000
-5.72386193,2.17312361,0.30761259,1.76530297,0.09433237,0.00096816,0.29163704,0.00000000
-5.71785893,2.08920916,0.30148509,1.70168647,0.09337172,0.00088151,0.27377360,0.00000000
-5.71185593,2.01028664,0.29502475,1.64330211,0.09220165,0.00080098,0.25593153,0.00000000
-5.70585293,1.93703349,0.28824251,1.59056735,0.09082248,0.00072681,0.23835944,0.00000000
