energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.32454985,2.01099806,4.17822925,0.01426751,0.70574638,0.06567616,0.93295646,0.52150374,0.55438126
-5.99399700,7.17288275,2.00520081,4.08979709,0.01413677,0.68375525,0.06352074,0.92784868,0.53231251,0.52550331
-5.98799400,7.03634556,2.00292147,4.01024208,0.01403667,0.66221332,0.06138618,0.92544571,0.54423136,0.49789543
-5.98199100,6.91666908,2.00439031,3.94075819,0.01397603,0.64136842,0.05930351,0.92587160,0.55727147,0.47165615
-5.97598799,6.81539496,2.00979961,3.88238158,0.01396381,0.62144786,0.05730242,0.92923702,0.57144031,0.44689018
-5.96998499,6.73381487,2.01929128,3.83595186,0.01400883,0.60265208,0.05541044,0.93563383,0.58673940,0.42370306
-5.96398199,6.67291684,2.03294492,3.80207935,0.01411943,0.58514917,0.05365205,0.94512982,0.60316208,0.40219596
-5.95797899,6.63334149,2.05076680,3.78112017,0.01430326,0.56907062,0.05204800,0.95776418,0.62069159,0.38246085
-5.95197599,6.61535045,2.07268084,3.77316022,0.01456696,0.55450837,0.05061477,0.97354359,0.63929930,0.36457625
-5.94597299,6.61880872,2.09852183,3.77800922,0.01491596,0.54151331,0.04936419,0.99243951,0.65894358,0.34860397
-5.93996998,6.64318227,2.12803170,3.79520522,0.01535429,0.53009520,0.04830318,1.01438658,0.67956905,0.33458665
-5.93396698,6.68755103,2.16085896,3.82402977,0.01588444,0.52022403,0.04743374,1.03928236,0.70110651,0.32254652
-5.92796398,6.75063731,2.19656182,3.86353319,0.01650721,0.51183273,0.04675312,1.06698852,0.72347343,0.31248504
-5.92196098,6.83084839,2.23461481,3.91256946,0.01722168,0.50482101,0.04625412,1.09733329,0.74657509,0.30438363
-5.91595798,6.92633169,2.27441878,3.96983903,0.01802521,0.49906020,0.04592552,1.13011519,0.77030626,0.29820519
-5.90995498,7.03504019,2.31531421,4.03393839,0.01891339,0.49439883,0.04575268,1.16510777,0.79455332,0.29389628
-5.90395198,7.15480525,2.35659700,4.10341397,0.01988014,0.49066866,0.04571822,1.20206527,0.81919678,0.29138984
