energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,P_s_up,P_s_down,P_p_up,P_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.96070893,-1.34873384,0.53810683,-1.14451778,0.32536803,-0.25033799,0.03039802,-0.00892962,0.33605355,-0.62008787,0.23124797,-0.25653962,0.00000000,-0.00000000
-5.99399700,1.01818763,-1.33779066,0.56209906,-1.12699553,0.34686547,-0.24971769,0.03352569,-0.00882555,0.35183010,-0.61265356,0.24993244,-0.25632320,0.00000000,-0.00000000
-5.98799400,1.08174032,-1.31958018,0.58981636,-1.10342282,0.36977180,-0.24764951,0.03677558,-0.00866796,0.36931099,-0.60170982,0.27064441,-0.25494251,0.00000000,-0.00000000
-5.98199100,1.15034733,-1.29456545,0.62053362,-1.07430469,0.39374479,-0.24419008,0.04011136,-0.00846033,0.38808688,-0.58747172,0.29317248,-0.25249858,0.00000000,-0.00000000
-5.97598799,1.22289362,-1.26335966,0.65348633,-1.04026684,0.41840973,-0.23942475,0.04349208,-0.00820708,0.40772453,-0.57022071,0.31727216,-0.24912329,0.00000000,-0.00000000
-5.96998499,1.29819225,-1.22670770,0.68788756,-1.00203531,0.44336792,-0.23346525,0.04687301,-0.00791348,0.42777715,-0.55029545,0.34266964,-0.24497601,0.00000000,-0.00000000
-5.96398199,1.37500951,-1.18546397,0.72294511,-0.96041343,0.46820617,-0.22644655,0.05020654,-0.00758553,0.44779507,-0.52808124,0.36906595,-0.24023939,0.00000000,-0.00000000
-5.95797899,1.45209142,-1.14056755,0.75787844,-0.91625723,0.49250718,-0.21852327,0.05344330,-0.00722981,0.46733678,-0.50399844,0.39614173,-0.23511431,0.00000000,-0.00000000
-5.95197599,1.52819066,-1.09301550,0.79193496,-0.87045021,0.51586027,-0.20986547,0.05653337,-0.00685337,0.48597973,-0.47849040,0.42356219,-0.22981426,0.00000000,-0.00000000
-5.94597299,1.60209326,-1.04383553,0.82440519,-0.82387825,0.53787229,-0.20065433,0.05942757,-0.00646361,0.50333079,-0.45201132,0.45098240,-0.22455933,0.00000000,-0.00000000
-5.93996998,1.67264422,-0.99405876,0.85463655,-0.77740585,0.55817811,-0.19107763,0.06207876,-0.00606818,0.51903583,-0.42501453,0.47805272,-0.21957002,0.00000000,-0.00000000
-5.93396698,1.73877130,-0.94469384,0.88204526,-0.73185419,0.57645043,-0.18132531,0.06444317,-0.00567486,0.53278824,-0.39794165,0.50442424,-0.21506104,0.00000000,-0.00000000
-5.92796398,1.79950630,-0.89670311,0.90612613,-0.68798189,0.59240858,-0.17158536,0.06648156,-0.00529159,0.54433594,-0.37121281,0.52975413,-0.21123538,0.00000000,-0.00000000
-5.92196098,1.85400310,-0.85098161,0.92646002,-0.64646887,0.60582573,-0.16204001,0.06816037,-0.00492636,0.55348684,-0.34521849,0.55371092,-0.20827886,0.00000000,-0.00000000
-5.91595798,1.90155222,-0.80833968,0.94271878,-0.60790377,0.61653459,-0.15286251,0.06945255,-0.00458726,0.56011234,-0.32031285,0.57597946,-0.20635536,0.00000000,-0.00000000
-5.90995498,1.94159137,-0.76948951,0.95466765,-0.57277506,0.62443105,-0.14421453,0.07033835,-0.00428254,0.56414894,-0.29680903,0.59626562,-0.20560289,0.00000000,-0.00000000
-5.90395198,1.97371208,-0.73503598,0.96216537,-0.54146600,0.62947597,-0.13624424,0.07080569,-0.00402063,0.56559781,-0.27497615,0.61430073,-0.20613073,0.00000000,-0.00000000
-5.89794897,1.99766234,-0.70547199,0.96516185,-0.51425338,0.63169480,-0.12908519,0.07085047,-0.00381030,0.56452258,-0.25503815,0.62984559,-0.20801763,0.00000000,-0.00000000
