energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.45211761,0.51352075,0.00691384,2.03923456,1.47019494,0.02555739,1.83879295
-5.99399700,3.59946578,0.51737761,0.00730274,2.12523990,1.56152867,0.02718326,1.93686752
-5.98799400,3.77000878,0.52543781,0.00773121,2.22513981,1.66171769,0.02900414,2.04650288
-5.98199100,3.95936812,0.53711194,0.00819094,2.33625740,1.76882827,0.03098959,2.16529380
-5.97598799,4.16266411,0.55174148,0.00867265,2.45564376,1.88069859,0.03310419,2.29056180
-5.96998499,4.37463202,0.56861662,0.00916627,2.58014632,1.99498712,0.03530818,2.41941668
-5.96398199,4.58975393,0.58699557,0.00966120,2.70648595,2.10922909,0.03755830,2.54882723
-5.95797899,4.80240315,0.60612503,0.01014656,2.83134134,2.22089987,0.03980876,2.67569958
-5.95197599,5.00699728,0.62526114,0.01061153,2.95143835,2.32748356,0.04201232,2.79696093
-5.94597299,5.19815584,0.64369054,0.01104560,3.06364174,2.42654483,0.04412150,2.90964654
-5.93996998,5.37085716,0.66075073,0.01143894,3.16504651,2.51580168,0.04608991,3.01098684
-5.93396698,5.52058954,0.67584927,0.01178265,3.25306576,2.59319643,0.04787349,3.09849197
-5.92796398,5.64349118,0.68848127,0.01206907,3.32551182,2.65696258,0.04943184,3.17003039
-5.92196098,5.73647370,0.69824441,0.01229201,3.38066780,2.70568456,0.05072946,3.22389873
-5.91595798,5.79732448,0.70485119,0.01244697,3.41734647,2.73834826,0.05173682,3.25888005
-5.90995498,5.82478356,0.70813782,0.01253130,3.43493432,2.75437995,0.05243135,3.27428803
-5.90395198,5.81859203,0.70806949,0.01254431,3.43341861,2.75367206,0.05279814,3.26999533
-5.89794897,5.77950970,0.70474179,0.01248730,3.41339629,2.73659454,0.05283049,3.24644476
-5.89194597,5.70930095,0.69837810,0.01236351,3.37606411,2.70399121,0.05253014,3.20464280
-5.88594297,5.61068936,0.68932303,0.01217809,3.32318998,2.65716126,0.05190720,3.14613557
-5.87993997,5.48728236,0.67803206,0.01193791,3.25706656,2.59782629,0.05097991,3.07296818
-5.87393697,5.34346873,0.66505767,0.01165134,3.18044840,2.52808440,0.04977401,2.98762896
-5.86793397,5.18429260,0.65103224,0.01132804,3.09647485,2.45035279,0.04832195,2.89298071
-5.86193097,5.01530839,0.63664844,0.01097860,3.00858129,2.36730108,0.04666190,2.79218145
-5.85592796,4.84242173,0.62263738,0.01061424,2.92040151,2.28177775,0.04483650,2.68859760
-5.84992496,4.67172168,0.60974545,0.01024647,2.83566446,2.19673211,0.04289166,2.58571234
-5.84392196,4.50930965,0.59871035,0.00988672,2.75808859,2.11513441,0.04087511,2.48703244
-5.83791896,4.36113034,0.59023703,0.00954595,2.69127690,2.03989649,0.03883512,2.39599608
-5.83191596,4.23280955,0.58497427,0.00923439,2.63861583,1.97379541,0.03681916,2.31588458
-5.82591296,4.12950342,0.58349268,0.00896116,2.60318070,1.91940181,0.03487266,2.24974011
-5.81990995,4.05576284,0.58626454,0.00873407,2.58765030,1.87901503,0.03303797,2.20029144
-5.81390695,4.01541636,0.59364638,0.00855933,2.59423283,1.85460627,0.03135345,2.16988932
-5.80790395,4.01147417,0.60586464,0.00844141,2.62460494,1.84777094,0.02985274,2.16045262
-5.80190095,4.04605499,0.62300500,0.00838294,2.67986541,1.85969104,0.02856429,2.17342613
-5.79589795,4.12033725,0.64500584,0.00838466,2.76050450,1.89110821,0.02751105,2.20975055
-5.78989495,4.23453523,0.67165590,0.00844541,2.86638970,1.94230762,0.02671042,2.26984491
-5.78389195,4.38790017,0.70259666,0.00856219,2.99676818,2.01311301,0.02617436,2.35360144
-5.77788894,4.57874619,0.73732919,0.00873036,3.15028582,2.10289269,0.02590971,2.46039275
-5.77188594,4.80449979,0.77522558,0.00894374,3.32502234,2.21057627,0.02591860,2.58909085
-5.76588294,5.06177167,0.81554464,0.00919490,3.51854158,2.33468173,0.02619901,2.73809750
-5.75987994,5.34644868,0.85745145,0.00947537,3.72795560,2.47335212,0.02674542,2.90538502
