energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.46291120,-2.06493726,0.26258714,-0.39642071,0.93245002,-1.22004311,0.00122803,-0.00144693,0.03295376,-0.05348805,0.21947643,-0.41252462,0.14140383,-0.21983612,0.00064936,-0.00092824,0.36028839,-0.54561721
-5.99399700,1.39045146,-1.97859498,0.24902208,-0.37675274,0.88293447,-1.16260135,0.00107969,-0.00130550,0.03145671,-0.05328082,0.20683481,-0.39075559,0.13430383,-0.21536474,0.00073612,-0.00090318,0.34642614,-0.52564945
-5.98799400,1.32622035,-1.89458762,0.23726857,-0.35784218,0.83862533,-1.10728672,0.00094512,-0.00117335,0.03024471,-0.05298980,0.19555628,-0.36924728,0.12808239,-0.21055533,0.00084675,-0.00089789,0.33420208,-0.50611629
-5.98199100,1.27074754,-1.81367506,0.22739991,-0.33986016,0.79982094,-1.05457771,0.00082414,-0.00105056,0.02936237,-0.05262300,0.18569871,-0.34819376,0.12282930,-0.20545464,0.00098308,-0.00091377,0.32371542,-0.48719002
-5.97598799,1.22445350,-1.73657554,0.21947039,-0.32296568,0.76675398,-1.00492203,0.00071642,-0.00093714,0.02885169,-0.05219210,0.17730407,-0.32778111,0.11862222,-0.20011409,0.00114700,-0.00095230,0.31503360,-0.46902372
-5.96998499,1.18764122,-1.66394853,0.21351489,-0.30730208,0.73958693,-0.95872521,0.00062153,-0.00083299,0.02875116,-0.05171243,0.17039750,-0.30818276,0.11552548,-0.19458885,0.00134047,-0.00101502,0.30819063,-0.45174791
-5.96398199,1.16049136,-1.59638066,0.20954905,-0.29299423,0.71840959,-0.91634121,0.00053895,-0.00073799,0.02909502,-0.05120279,0.16498697,-0.28955557,0.11358912,-0.18893700,0.00156543,-0.00110347,0.30318660,-0.43546826
-5.95797899,1.14306091,-1.53437532,0.20757002,-0.28014632,0.70323880,-0.87806554,0.00046811,-0.00065197,0.02991245,-0.05068528,0.16106361,-0.27203662,0.11284823,-0.18321869,0.00182377,-0.00121921,0.29998838,-0.42026434
-5.95197599,1.13528506,-1.47834579,0.20755773,-0.26884037,0.69402004,-0.84413080,0.00040841,-0.00057472,0.03122681,-0.05018491,0.15860251,-0.25574094,0.11332254,-0.17749550,0.00211725,-0.00136373,0.29853120,-0.40618959
-5.94597299,1.13698216,-1.42861208,0.20947668,-0.25913556,0.69063096,-0.81470474,0.00035927,-0.00050603,0.03305494,-0.04972919,0.15756402,-0.24076022,0.11501627,-0.17182981,0.00244744,-0.00153840,0.29872126,-0.39327228
-5.93996998,1.14786124,-1.38540120,0.21327809,-0.25106821,0.69288654,-0.78989068,0.00032012,-0.00044565,0.03540646,-0.04934757,0.15789547,-0.22716235,0.11791808,-0.16628423,0.00281572,-0.00174443,0.30043902,-0.38151739
-5.93396698,1.16753184,-1.34885037,0.21890249,-0.24465257,0.70054562,-0.76972996,0.00029043,-0.00039337,0.03828323,-0.04907082,0.15953313,-0.21499190,0.12200127,-0.16092113,0.00322315,-0.00198280,0.30354310,-0.37090935
-5.92796398,1.19551556,-1.31901288,0.22628239,-0.23988209,0.71331851,-0.75420628,0.00026974,-0.00034897,0.04167879,-0.04893027,0.16240441,-0.20427139,0.12722408,-0.15580217,0.00367049,-0.00225419,0.30787460,-0.36141526
-5.92196098,1.23125893,-1.29586583,0.23534524,-0.23673136,0.73087537,-0.74325132,0.00025763,-0.00031226,0.04557801,-0.04895704,0.16643010,-0.19500315,0.13353016,-0.15098784,0.00415814,-0.00255892,0.31326160,-0.35298853
-5.91595798,1.27414714,-1.27931936,0.24601626,-0.23515847,0.75285508,-0.73675149,0.00025376,-0.00028307,0.04995685,-0.04918124,0.17152671,-0.18717183,0.14084910,-0.14653691,0.00468613,-0.00289687,0.31952371,-0.34557271
-5.90995498,1.32351819,-1.26922656,0.25822125,-0.23510765,0.77887425,-0.73455523,0.00025786,-0.00026125,0.05478230,-0.04963107,0.17760871,-0.18074717,0.14909720,-0.14250596,0.00525413,-0.00326747,0.32647660,-0.33910520
-5.90395198,1.37867709,-1.26539376,0.27188912,-0.23651223,0.80853609,-0.73648054,0.00026971,-0.00024670,0.06001257,-0.05033206,0.18459060,-0.17568706,0.15817838,-0.13894875,0.00586142,-0.00366963,0.33393621,-0.33352077
-5.89794897,1.43890966,-1.26759046,0.28695399,-0.23929772,0.84143890,-0.74232250,0.00028915,-0.00023935,0.06559746,-0.05130628,0.19238883,-0.17194067,0.16798518,-0.13591548,0.00650695,-0.00410177,0.34172267,-0.32875465
