energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.39260425,0.19841187,0.00302616,0.12419260,0.37351992,0.56243060,0.19818452
-5.99399700,1.37150355,0.19102407,0.00292616,0.12587998,0.36915162,0.54717777,0.19611581
-5.98799400,1.35200678,0.18396082,0.00282427,0.12729699,0.36595331,0.53516269,0.19396840
-5.98199100,1.33491853,0.17737390,0.00272240,0.12847917,0.36411614,0.52674217,0.19184344
-5.97598799,1.32107145,0.17141914,0.00262253,0.12946547,0.36383335,0.52226951,0.18984695
-5.96998499,1.31131538,0.16625406,0.00252670,0.13029722,0.36529970,0.52209525,0.18808797
-5.96398199,1.30650464,0.16203513,0.00243693,0.13101722,0.36871036,0.52656631,0.18667647
-5.95797899,1.30748381,0.15891454,0.00235520,0.13166895,0.37425905,0.53602335,0.18572129
-5.95197599,1.31507185,0.15703678,0.00228344,0.13229600,0.38213556,0.55079610,0.18532801
-5.94597299,1.33004488,0.15653483,0.00222343,0.13294158,0.39252239,0.57119654,0.18559685
-5.93996998,1.35311768,0.15752624,0.00217679,0.13364813,0.40559058,0.59751010,0.18662048
-5.93396698,1.38492400,0.16010923,0.00214498,0.13445706,0.42149479,0.62998487,0.18848196
-5.92796398,1.42599615,0.16435870,0.00212917,0.13540844,0.44036752,0.66881918,0.19125264
-5.92196098,1.47674398,0.17032254,0.00213032,0.13654071,0.46231272,0.71414787,0.19499005
-5.91595798,1.53743390,0.17801824,0.00214907,0.13789023,0.48739889,0.76602769,0.19973589
-5.90995498,1.60816844,0.18742993,0.00218575,0.13949079,0.51565186,0.82442271,0.20551412
-5.90395198,1.68886713,0.19850612,0.00224036,0.14137289,0.54704761,0.88919004,0.21232907
-5.89794897,1.77924956,0.21115812,0.00231257,0.14356293,0.58150542,0.96006702,0.22016384
-5.89194597,1.87882161,0.22525945,0.00240166,0.14608215,0.61888163,1.03666050,0.22897891
-5.88594297,1.98686575,0.24064625,0.00250659,0.14894562,0.65896468,1.11843903,0.23871112
-5.87993997,2.10243663,0.25711888,0.00262594,0.15216097,0.70147144,1.20472878,0.24927312
-5.87393697,2.22436265,0.27444471,0.00275798,0.15572733,0.74604557,1.29471382,0.26055340
-5.86793397,2.35125432,0.29236216,0.00290064,0.15963417,0.79225800,1.38744129,0.27241684
-5.86193097,2.48152015,0.31058592,0.00305158,0.16386047,0.83960982,1.48183176,0.28470617
-5.85592796,2.61338993,0.32881340,0.00320821,0.16837401,0.88753788,1.57669484,0.29724403
-5.84992496,2.74494559,0.34673206,0.00336773,0.17313109,0.93542287,1.67074999,0.30983587
-5.84392196,2.87415898,0.36402755,0.00352721,0.17807650,0.98260003,1.76265197,0.32227361
-5.83791896,2.99893576,0.38039238,0.00368360,0.18314405,1.02837217,1.85102036,0.33433991
-5.83191596,3.11716405,0.39553477,0.00383385,0.18825744,1.07202465,1.93447218,0.34581305
-5.82591296,3.22676633,0.40918732,0.00397498,0.19333160,1.11284182,2.01165644,0.35647227
-5.81990995,3.32575283,0.42111527,0.00410407,0.19827440,1.15012458,2.08128954,0.36610323
-5.81390695,3.41227424,0.43112374,0.00421845,0.20298880,1.18320809,2.14218991,0.37450365
-5.80790395,3.48467192,0.43906390,0.00431565,0.20737518,1.21147938,2.19331077,0.38148866
-5.80190095,3.54152346,0.44483749,0.00439354,0.21133395,1.23439384,2.23376951,0.38689592
-5.79589795,3.58168185,0.44839973,0.00445037,0.21476820,1.25149025,2.26287260,0.39058997
-5.78989495,3.60430663,0.44976016,0.00448475,0.21758646,1.26240361,2.28013493,0.39246605
-5.78389195,3.60888589,0.44898159,0.00449579,0.21970523,1.26687533,2.28529297,0.39245282
-5.77788894,3.59524818,0.44617706,0.00448302,0.22105144,1.26476050,2.27831099,0.39051425
-5.77188594,3.56356406,0.44150489,0.00444644,0.22156450,1.25603181,2.25938044,0.38665034
-5.76588294,3.51433727,0.43516210,0.00438652,0.22119816,1.24078025,2.22891231,0.38089681
-5.75987994,3.44838614,0.42737652,0.00430417,0.21992173,1.21921236,2.18752307,0.37332378
-5.75387694,3.36681610,0.41839784,0.00420071,0.21772105,1.19164434,2.13601478,0.36403340
-5.74787394,3.27098449,0.40848809,0.00407783,0.21459878,1.15849330,2.07535017,0.35315673
-5.74187094,3.16245940,0.39791195,0.00393753,0.21057436,1.12026584,2.00662395,0.34084980
-5.73586793,3.04297399,0.38692735,0.00378210,0.20568330,1.07754457,1.93103131,0.32728921
-5.72986493,2.91437834,0.37577679,0.00361401,0.19997620,1.03097308,1.84983501,0.31266725
-5.72386193,2.77859046,0.36467965,0.00343588,0.19351723,0.98123973,1.76433223,0.29718691
-5.71785893,2.63754827,0.35382600,0.00325043,0.18638229,0.92906091,1.67582229,0.28105681
-5.71185593,2.49316409,0.34337186,0.00306037,0.17865695,0.87516441,1.58557636,0.26448628
-5.70585293,2.34728298,0.33343635,0.00286837,0.17043413,0.82027311,1.49481007,0.24768073
-5.69984992,2.20164606,0.32410057,0.00267703,0.16181168,0.76508973,1.40465966,0.23083741
-5.69384692,2.05785949,0.31540817,0.00248877,0.15288997,0.71028287,1.31616214,0.21414168
-5.68784392,1.91736980,0.30736766,0.00230584,0.14376950,0.65647467,1.23023994,0.19776387
-5.68184092,1.78144554,0.29995590,0.00213027,0.13454867,0.60423037,1.14768984,0.18185676
-5.67583792,1.65116540,0.29312292,0.00196381,0.12532170,0.55404992,1.06917638,0.16655368
-5.66983492,1.52741242,0.28679735,0.00180797,0.11617687,0.50636167,0.99522924,0.15196728
-5.66383192,1.41087367,0.28089238,0.00166395,0.10719501,0.46151821,0.92624442,0.13818891
-5.65782891,1.30204504,0.27531177,0.00153264,0.09844836,0.41979438,0.86248849,0.12528853
-5.65182591,1.20124013,0.26995571,0.00141466,0.08999971,0.38138711,0.80410562,0.11331524
-5.64582291,1.10860266,0.26472610,0.00131031,0.08190195,0.34641720,0.75112671,0.10229815
-5.63981991,1.02412148,0.25953116,0.00121963,0.07419786,0.31493270,0.70348006,0.09224770
-5.63381691,0.94764755,0.25428909,0.00114236,0.06692029,0.28691379,0.66100318,0.08315731
-5.62781391,0.87891216,0.24893081,0.00107804,0.06009252,0.26227877,0.62345527,0.07500520
-5.62181091,0.81754581,0.24340164,0.00102594,0.05372891,0.24089115,0.59052998,0.06775644
-5.61580790,0.76309730,0.23766205,0.00098517,0.04783568,0.22256744,0.56186820,0.06136512
-5.60980490,0.71505260,0.23168755,0.00095469,0.04241184,0.20708553,0.53707072,0.05577648
-5.60380190,0.67285325,0.22546786,0.00093329,0.03745020,0.19419338,0.51571059,0.05092915
-5.59779890,0.63591409,0.21900558,0.00091972,0.03293844,0.18361786,0.49734501,0.04675728
-5.59179590,0.60364013,0.21231452,0.00091265,0.02886015,0.17507357,0.48152686,0.04319260
