energy_ev,total_up,Mo_p_up,Mo_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,5.14144490,2.31277568,3.19099139,0.47461968,0.00869090,0.00726583,3.18714601
-5.99399700,4.99166068,2.26777454,3.09101543,0.46917276,0.00825741,0.00689025,3.08511900
-5.98799400,4.84044727,2.22203064,2.98583096,0.46600446,0.00786261,0.00664690,2.97854007
-5.98199100,4.68773293,2.17535294,2.87590240,0.46490151,0.00750593,0.00653473,2.86765169
-5.97598799,4.53386898,2.12779881,2.76192386,0.46570951,0.00718715,0.00655431,2.75293736
-5.96998499,4.37961585,2.07967021,2.64479746,0.46833623,0.00690644,0.00670781,2.63510514
-5.96398199,4.22611279,2.03150048,2.52560468,0.47275141,0.00666439,0.00699901,2.51506364
-5.95797899,4.07483256,1.98403204,2.40557199,0.47898315,0.00646194,0.00743312,2.39389165
-5.95197599,3.92752310,1.93818579,2.28603224,0.48711083,0.00630040,0.00801665,2.27280288
-5.94597299,3.78613853,1.89502339,2.16838339,0.49725499,0.00618129,0.00875712,2.15310715
-5.93996998,3.65276224,1.85570348,2.05404619,0.50956443,0.00610624,0.00966276,2.03616976
-5.93396698,3.52952505,1.82143352,1.94442220,0.52420117,0.00607688,0.01074206,1.92337041
-5.92796398,3.41852165,1.79341896,1.84085379,0.54132398,0.00609467,0.01200337,1.81606315
-5.92196098,3.32172843,1.77281143,1.74458742,0.56107118,0.00616075,0.01345437,1.71553868
-5.91595798,3.24092607,1.76065800,1.65674124,0.58354373,0.00627573,0.01510155,1.62299024
-5.90995498,3.17762970,1.75785331,1.57827818,0.60878934,0.00643965,0.01694968,1.53948398
-5.90395198,3.13302940,1.76509647,1.50998519,0.63678855,0.00665172,0.01900125,1.46593477
-5.89794897,3.10794340,1.78285433,1.45245906,0.66744352,0.00691032,0.02125601,1.40308776
-5.89194597,3.10278555,1.81133271,1.40609924,0.70057034,0.00721288,0.02371048,1.35150634
-5.88594297,3.11754848,1.85045675,1.37110745,0.73589519,0.00755585,0.02635764,1.31156626
-5.87993997,3.15180271,1.89986115,1.34749388,0.77305479,0.00793471,0.02918662,1.28345597
-5.87393697,3.20471176,1.95889103,1.33508936,0.81160129,0.00834400,0.03218256,1.26718265
-5.86793397,3.27506209,2.02661324,1.33356276,0.85101137,0.00877744,0.03532660,1.26258339
-5.86193097,3.36130663,2.10183792,1.34244250,0.89069934,0.00922807,0.03859606,1.26934072
-5.85592796,3.46161931,2.18314961,1.36114118,0.93003348,0.00968834,0.04196464,1.28700142
-5.84992496,3.57395826,2.26894649,1.38898170,0.96835517,0.01015042,0.04540292,1.31499767
-5.84392196,3.69613427,2.35748654,1.42522387,1.00499956,0.01060630,0.04887891,1.35266932
-5.83791896,3.82588135,2.44693857,1.46908990,1.03931704,0.01104811,0.05235876,1.39928609
-5.83191596,3.96092583,2.53543615,1.51978751,1.07069439,0.01146831,0.05580753,1.45406868
-5.82591296,4.09905081,2.62113235,1.57652958,1.09857450,0.01185988,0.05919005,1.51620754
-5.81990995,4.23815279,2.70225284,1.63854936,1.12247380,0.01221661,0.06247185,1.58487871
-5.81390695,4.37628809,2.77714555,1.70511053,1.14199651,0.01253317,0.06561997,1.65925578
-5.80790395,4.51170702,2.84432464,1.77551178,1.15684519,0.01280533,0.06860386,1.73851773
-5.80190095,4.64287465,2.90250730,1.84908592,1.16682691,0.01303001,0.07139610,1.82185239
-5.79589795,4.76847791,2.95064199,1.92519392,1.17185516,0.01320532,0.07397301,1.90845587
-5.78989495,4.88741940,2.98792730,2.00321444,1.17194725,0.01333059,0.07631513,1.99752817
-5.78389195,4.99879941,3.01382101,2.08253023,1.16721782,0.01340629,0.07840753,2.08826611
-5.77788894,5.10188818,3.02803949,2.16251237,1.15786864,0.01343392,0.08023986,2.17985427
