energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,7.67442228,0.00464207,1.61686119,1.23250721,0.34099105,2.44393221,2.74868454,0.03571214,2.19206650
-5.99399700,7.82294511,0.00458261,1.67221063,1.25559816,0.34608660,2.51386515,2.83576000,0.03297748,2.20464323
-5.98799400,7.95263753,0.00451384,1.72361299,1.27353088,0.35024878,2.57695897,2.91604133,0.03049699,2.21169914
-5.98199100,8.05978760,0.00443859,1.77002204,1.28609388,0.35327203,2.63211188,2.98774936,0.02825599,2.21254718
-5.97598799,8.14124405,0.00436021,1.81049480,1.29319426,0.35498048,2.67845267,3.04926655,0.02623912,2.20667947
-5.96998499,8.19452098,0.00428251,1.84422071,1.29486214,0.35523445,2.71536911,3.09918781,0.02443108,2.19378708
-5.96398199,8.21788123,0.00420964,1.87054725,1.29125095,0.35393567,2.74252710,3.13636600,0.02281729,2.17377260
-5.95797899,8.21039482,0.00414603,1.88900073,1.28263367,0.35103100,2.75987930,3.15995044,0.02138446,2.14675484
-5.95197599,8.17196934,0.00409621,1.89930155,1.26939484,0.34651440,2.76766270,3.16941637,0.02012095,2.11306545
-5.94597299,8.10335084,0.00406475,1.90137292,1.25201854,0.34042720,2.76638500,3.16458421,0.01901704,2.07323739
-5.93996998,8.00609468,0.00405612,1.89534261,1.23107280,0.33285659,2.75680013,3.14562729,0.01806510,2.02798581
-5.93396698,7.88250702,0.00407463,1.88153753,1.20719091,0.32393239,2.73987399,3.11306757,0.01725955,1.97818208
-5.92796398,7.73555941,0.00412428,1.86047107,1.18105028,0.31382239,2.71674169,3.06775903,0.01659681,1.92482211
-5.92196098,7.56877957,0.00420872,1.83282372,1.15334989,0.30272633,2.68865841,3.01085932,0.01607506,1.86899039
-5.91595798,7.38612298,0.00433115,1.79941771,1.12478706,0.29086892,2.65694582,2.94379044,0.01569403,1.81182120
-5.90995498,7.19183062,0.00449429,1.76118656,1.09603461,0.27849209,2.62293683,2.86819006,0.01545469,1.75445884
-5.90395198,6.99027880,0.00470033,1.71914089,1.06771933,0.26584692,2.58792096,2.78585530,0.01535886,1.69801836
-5.89794897,6.78582730,0.00495087,1.67433203,1.04040272,0.25318555,2.55309309,2.69868130,0.01540891,1.64354863
-5.89194597,6.58267224,0.00524694,1.62781484,1.01456469,0.24075325,2.51950775,2.60859719,0.01560733,1.59199898
-5.88594297,6.38470953,0.00558894,1.58061148,0.99059095,0.22878119,2.48804112,2.51750211,0.01595644,1.54419081
-5.87993997,6.19541431,0.00597668,1.53367773,0.96876446,0.21747986,2.45936230,2.42720391,0.01645795,1.50079502
-5.87393697,6.01774094,0.00640933,1.48787310,0.94926124,0.20703356,2.43391508,2.33936330,0.01711271,1.46231589
-5.86793397,5.85404695,0.00688543,1.44393630,0.93215046,0.19759598,2.41191078,2.25544553,0.01792033,1.42908179
-5.86193097,5.70604327,0.00740292,1.40246671,0.91739871,0.18928691,2.39333209,2.17668163,0.01887890,1.40124245
-5.85592796,5.57477170,0.00795907,1.36391277,0.90487796,0.18219033,2.37794767,2.10404066,0.01998473,1.37877275
-5.84992496,5.46060957,0.00855053,1.32856748,0.89437679,0.17635347,2.36533618,2.03821391,0.02123210,1.36148220
-5.84392196,5.36329996,0.00917328,1.29657107,0.88561391,0.17178722,2.35491850,1.97961136,0.02261301,1.34902933
-5.83791896,5.28200531,0.00982263,1.26792050,0.87825365,0.16846744,2.34599631,1.92837025,0.02411701,1.34094021
-5.83191596,5.21538097,0.01049321,1.24248502,0.87192211,0.16633729,2.33779497,1.88437502,0.02573107,1.33662980
-5.82591296,5.16166482,0.01117900,1.22002700,0.86622369,0.16531022,2.32950859,1.84728725,0.02743947,1.33542535
-5.81990995,5.11877849,0.01187327,1.20022681,0.86075687,0.16527377,2.32034513,1.81658412,0.02922377,1.33659075
-5.81390695,5.08443566,0.01256869,1.18271043,0.85512895,0.16609379,2.30956964,1.79160317,0.03106286,1.33935092
-5.80790395,5.05625275,0.01325731,1.16707838,0.84896902,0.16761901,2.29654351,1.77159125,0.03293309,1.34291554
