energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.99192149,0.01079391,0.03483842,0.64438629,0.00000000,0.77568890,0.29512713
-5.99399700,1.02806826,0.01006529,0.03600688,0.66690815,0.00000000,0.78981487,0.30901004
-5.98799400,1.06803075,0.00938844,0.03728847,0.69192555,0.00000000,0.80672072,0.32403492
-5.98199100,1.11126857,0.00876452,0.03866552,0.71909956,0.00000000,0.82615074,0.34002811
-5.97598799,1.15710911,0.00819362,0.04011532,0.74800653,0.00000000,0.84775399,0.35677725
-5.96998499,1.20476721,0.00767482,0.04161076,0.77815087,0.00000000,0.87109751,0.37403783
-5.96398199,1.25337129,0.00720621,0.04312109,0.80898210,0.00000000,0.89568410,0.39154155
-5.95797899,1.30199502,0.00678503,0.04461295,0.83991535,0.00000000,0.92097414,0.40900655
-5.95197599,1.34969332,0.00640780,0.04605160,0.87035465,0.00000000,0.94641050,0.42614885
-5.94597299,1.39554129,0.00607047,0.04740223,0.89971802,0.00000000,0.97144544,0.44269470
-5.93996998,1.43867416,0.00576859,0.04863127,0.92746325,0.00000000,0.99556812,0.45839308
-5.93396698,1.47832642,0.00549751,0.04970784,0.95311294,0.00000000,1.01833147,0.47302788
-5.92796398,1.51386801,0.00525252,0.05060499,0.97627773,0.00000000,1.03937675,0.48642906
-5.92196098,1.54483568,0.00502907,0.05130087,0.99667619,0.00000000,1.05845457,0.49848204
-5.91595798,1.57095767,0.00482287,0.05177971,1.01415042,0.00000000,1.07544093,0.50913492
-5.90995498,1.59217005,0.00463008,0.05203253,1.02867617,0.00000000,1.09034736,0.51840286
-5.90395198,1.60862381,0.00444736,0.05205752,1.04036688,0.00000000,1.10332416,0.52636936
-5.89794897,1.62068161,0.00427196,0.05186024,1.04947101,0.00000000,1.11465648,0.53318410
-5.89194597,1.62890430,0.00410178,0.05145330,1.05636275,0.00000000,1.12475299,0.53905746
-5.88594297,1.63402738,0.00393536,0.05085591,1.06152613,0.00000000,1.13412756,0.54425161
-5.87993997,1.63692821,0.00377186,0.05009302,1.06553324,0.00000000,1.14337456,0.54906875
-5.87393697,1.63858558,0.00361102,0.04919426,1.06901744,0.00000000,1.15313893,0.55383674
-5.86793397,1.64003320,0.00345310,0.04819261,1.07264276,0.00000000,1.16408235,0.55889289
-5.86193097,1.64230951,0.00329878,0.04712303,1.07707094,0.00000000,1.17684717,0.56456667
-5.85592796,1.64640603,0.00314909,0.04602094,1.08292771,0.00000000,1.19201986,0.57116212
-5.84992496,1.65321703,0.00300530,0.04492070,1.09076999,0.00000000,1.21009598,0.57894084
-5.84392196,1.66349281,0.00286883,0.04385421,1.10105564,0.00000000,1.23144832,0.58810655
-5.83791896,1.67779914,0.00274118,0.04284956,1.11411736,0.00000000,1.25630011,0.59879182
-5.83191596,1.69648476,0.00262384,0.04193002,1.13014199,0.00000000,1.28470472,0.61104798
-5.82591296,1.71965889,0.00251825,0.04111310,1.14915655,0.00000000,1.31653292,0.62483847
-5.81990995,1.74717961,0.00242576,0.04041000,1.17102148,0.00000000,1.35146874,0.64003632
-5.81390695,1.77865410,0.00234761,0.03982533,1.19543179,0.00000000,1.38901406,0.65642578
-5.80790395,1.81345054,0.00228493,0.03935715,1.22192584,0.00000000,1.42850194,0.67370814
-5.80190095,1.85072124,0.00223878,0.03899724,1.24990170,0.00000000,1.46911825,0.69151161
-5.79589795,1.88943600,0.00221017,0.03873175,1.27864000,0.00000000,1.50993042,0.70940471
-5.78989495,1.92842384,0.00220011,0.03854197,1.30733246,0.00000000,1.54992217,0.72691263
-5.78389195,1.96642138,0.00220967,0.03840540,1.33511452,0.00000000,1.58803242,0.74353581
-5.77788894,2.00212532,0.00224005,0.03829687,1.36110067,0.00000000,1.62319667,0.75876989
-5.77188594,2.03424667,0.00229263,0.03818978,1.38442066,0.00000000,1.65438864,0.77212598
-5.76588294,2.06156393,0.00236901,0.03805739,1.40425497,0.00000000,1.68066038,0.78315045
-5.75987994,2.08297311,0.00247109,0.03787403,1.41986778,0.00000000,1.70117887,0.79144326
-5.75387694,2.09753185,0.00260108,0.03761623,1.43063603,0.00000000,1.71525741,0.79667395
-5.74787394,2.10449611,0.00276150,0.03726375,1.43607321,0.00000000,1.72238036,0.79859461
-5.74187094,2.10334760,0.00295516,0.03680043,1.43584687,0.00000000,1.72222030,0.79704936
-5.73586793,2.09381104,0.00318519,0.03621479,1.42978929,0.00000000,1.71464691,0.79197980
-5.72986493,2.07586077,0.00345487,0.03550052,1.41790086,0.00000000,1.69972735,0.78342643
-5.72386193,2.04971664,0.00376765,0.03465668,1.40034633,0.00000000,1.67771849,0.77152600
-5.71785893,2.01582978,0.00412697,0.03368768,1.37744431,0.00000000,1.64905154,0.75650506
-5.71185593,1.97485941,0.00453617,0.03260317,1.34965080,0.00000000,1.61431020,0.73867013
-5.70585293,1.92764191,0.00499833,0.03141762,1.31753771,0.00000000,1.57420359,0.71839502
-5.69984992,1.87515417,0.00551610,0.03014989,1.28176760,0.00000000,1.52953542,0.69610608
-5.69384692,1.81847299,0.00609154,0.02882265,1.24306597,0.00000000,1.48117123,0.67226605
-5.68784392,1.75873275,0.00672596,0.02746171,1.20219260,0.00000000,1.43000506,0.64735736
-5.68184092,1.69708325,0.00741974,0.02609540,1.15991316,0.00000000,1.37692737,0.62186566
-5.67583792,1.63464986,0.00817221,0.02475393,1.11697246,0.00000000,1.32279550,0.59626433
