energy_ev,total_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.85898000,0.03265586,0.00000000,0.62110742,0.42370375,0.06355854,0.12418663,0.10195909,1.29377872
-5.99399700,2.85936789,0.03256146,0.00000000,0.62760283,0.41962093,0.06560476,0.12446225,0.10218748,1.29756837
-5.98799400,2.85934641,0.03243705,0.00000000,0.63320596,0.41613938,0.06757558,0.12477763,0.10227276,1.30076043
-5.98199100,2.85934225,0.03228842,0.00000000,0.63791614,0.41333574,0.06945708,0.12515003,0.10224720,1.30354194
-5.97598799,2.85976213,0.03212140,0.00000000,0.64175152,0.41126885,0.07123866,0.12559440,0.10214348,1.30610174
-5.96998499,2.86097711,0.03194169,0.00000000,0.64474682,0.40997879,0.07291334,0.12612270,0.10199323,1.30862199
-5.96398199,2.86330555,0.03175460,0.00000000,0.64695020,0.40948573,0.07447778,0.12674326,0.10182554,1.31126891
-5.95797899,2.86699489,0.03156486,0.00000000,0.64841917,0.40978897,0.07593209,0.12746003,0.10166560,1.31418292
-5.95197599,2.87220323,0.03137636,0.00000000,0.64921582,0.41086583,0.07727932,0.12827190,0.10153342,1.31746859
-5.94597299,2.87898147,0.03119198,0.00000000,0.64940154,0.41267069,0.07852483,0.12917197,0.10144276,1.32118509
-5.93996998,2.88725729,0.03101336,0.00000000,0.64903164,0.41513427,0.07967542,0.13014701,0.10140031,1.32533743
-5.93396698,2.89682226,0.03084078,0.00000000,0.64815012,0.41816318,0.08073837,0.13117708,0.10140519,1.32986940
-5.92796398,2.90732325,0.03067303,0.00000000,0.64678504,0.42164012,0.08172041,0.13223528,0.10144867,1.33465858
-5.92196098,2.91825956,0.03050740,0.00000000,0.64494481,0.42542465,0.08262675,0.13328793,0.10151439,1.33951422
-5.91595798,2.92898654,0.03033970,0.00000000,0.64261580,0.42935494,0.08346014,0.13429495,0.10157882,1.34417819
-5.90995498,2.93872657,0.03016432,0.00000000,0.63976143,0.43325042,0.08422014,0.13521067,0.10161211,1.34832951
-5.90395198,2.94658766,0.02997447,0.00000000,0.63632306,0.43691545,0.08490262,0.13598505,0.10157927,1.35159236
-5.89794897,2.95158940,0.02976237,0.00000000,0.63222265,0.44014411,0.08549944,0.13656512,0.10144158,1.35354774
-5.89194597,2.95269581,0.02951963,0.00000000,0.62736720,0.44272578,0.08599849,0.13689691,0.10115826,1.35374816
-5.88594297,2.94885385,0.02923754,0.00000000,0.62165483,0.44445167,0.08638403,0.13692748,0.10068825,1.35173506
-5.87993997,2.93903609,0.02890753,0.00000000,0.61498226,0.44512178,0.08663725,0.13660723,0.09999207,1.34705813
-5.87393697,2.92228566,0.02852162,0.00000000,0.60725329,0.44455223,0.08673719,0.13589222,0.09903367,1.33929568
-5.86793397,2.89776148,0.02807278,0.00000000,0.59838794,0.44258250,0.08666172,0.13474647,0.09778210,1.32807520
-5.86193097,2.86478136,0.02755539,0.00000000,0.58833172,0.43908228,0.08638886,0.13314410,0.09621311,1.31309288
-5.85592796,2.82286099,0.02696563,0.00000000,0.57706454,0.43395758,0.08589798,0.13107120,0.09431034,1.29413136
-5.84992496,2.77174675,0.02630172,0.00000000,0.56460887,0.42715585,0.08517115,0.12852736,0.09206633,1.27107470
-5.84392196,2.71144056,0.02556423,0.00000000,0.55103664,0.41866967,0.08419437,0.12552670,0.08948308,1.24391973
-5.83791896,2.64221560,0.02475618,0.00000000,0.53647450,0.40853896,0.08295863,0.12209847,0.08657223,1.21278339
