energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,4.01426132,0.21051383,3.64944504,0.00301612,0.02600469,0.26089880,0.00000000
-5.99399700,3.90891657,0.20553720,3.55281079,0.00286427,0.02538405,0.25522566,0.00000000
-5.98799400,3.79971484,0.20020865,3.45311596,0.00272855,0.02478693,0.24884917,0.00000000
-5.98199100,3.68624099,0.19453689,3.34996379,0.00260982,0.02420771,0.24176422,0.00000000
-5.97598799,3.56823235,0.18854757,3.24307792,0.00250935,0.02364125,0.23398907,0.00000000
-5.96998499,3.44560088,0.18228398,3.13232362,0.00242882,0.02308333,0.22556564,0.00000000
-5.96398199,3.31844845,0.17580715,3.01772336,0.00237043,0.02253108,0.21655880,0.00000000
-5.95797899,3.18707470,0.16919535,2.89946630,0.00233689,0.02198334,0.20705483,0.00000000
-5.95197599,3.05197741,0.16254298,2.77791154,0.00233144,0.02144096,0.19715902,0.00000000
-5.94597299,2.91384547,0.15595881,2.65358492,0.00235783,0.02090696,0.18699257,0.00000000
-5.93996998,2.77354495,0.14956385,2.52716989,0.00242027,0.02038668,0.17668902,0.00000000
-5.93396698,2.63209886,0.14348862,2.39949262,0.00252340,0.01988775,0.16639022,0.00000000
-5.92796398,2.49066151,0.13787014,2.27150224,0.00267214,0.01941997,0.15624209,0.00000000
-5.92196098,2.35048851,0.13284857,2.14424678,0.00287165,0.01899512,0.14639041,0.00000000
-5.91595798,2.21290346,0.12856366,2.01884589,0.00312711,0.01862662,0.13697666,0.00000000
-5.90995498,2.07926266,0.12515106,1.89646127,0.00344363,0.01832910,0.12813414,0.00000000
-5.90395198,1.95091895,0.12273861,1.77826578,0.00382600,0.01811797,0.11998454,0.00000000
-5.89794897,1.82918594,0.12144260,1.66541241,0.00427851,0.01800881,0.11263492,0.00000000
-5.89194597,1.71530370,0.12136427,1.55900398,0.00480475,0.01801681,0.10617528,0.00000000
-5.88594297,1.61040697,0.12258644,1.46006467,0.00540739,0.01815616,0.10067682,0.00000000
