energy_ev,total_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,3.32137906,1.49440051,1.74704419,0.03174007,1.32377696,0.10145538,0.00028425
-5.99399700,3.15084398,1.39693501,1.66413386,0.03170664,1.25070983,0.09904251,0.00026557
-5.98799400,2.98064261,1.30061327,1.58107247,0.03151167,1.17770312,0.09672654,0.00024744
-5.98199100,2.81243567,1.20641857,1.49867973,0.03115281,1.10547524,0.09452570,0.00022998
-5.97598799,2.64778492,1.11527803,1.41772184,0.03063133,1.03470029,0.09246442,0.00021330
-5.96998499,2.48812021,1.02804121,1.33889596,0.02995216,0.96599309,0.09057335,0.00019751
-5.96398199,2.33471330,0.94546266,1.26281845,0.02912383,0.89989735,0.08888896,0.00018273
-5.95797899,2.18865956,0.86818879,1.19001704,0.02815817,0.83687734,0.08745277,0.00016903
-5.95197599,2.05086741,0.79674928,1.12092720,0.02707005,0.77731327,0.08631021,0.00015654
-5.94597299,1.92205552,0.73155303,1.05589231,0.02587687,0.72150009,0.08550911,0.00014531
-5.93996998,1.80275702,0.67288822,0.99516748,0.02459806,0.66964974,0.08509788,0.00013543
-5.93396698,1.69332980,0.62092617,0.93892639,0.02325448,0.62189605,0.08512342,0.00012697
-5.92796398,1.59397164,0.57572827,0.88727051,0.02186780,0.57830215,0.08562891,0.00011996
-5.92196098,1.50473897,0.53725528,0.84023994,0.02045991,0.53886947,0.08665143,0.00011445
-5.91595798,1.42556768,0.50537832,0.79782525,0.01905227,0.50354780,0.08821963,0.00011047
-5.90995498,1.35629475,0.47989080,0.75997933,0.01766539,0.47224585,0.09035156,0.00010804
-5.90395198,1.29667944,0.46052064,0.72662888,0.01631832,0.44484156,0.09305262,0.00010716
-5.89794897,1.24642292,0.44694224,0.69768466,0.01502828,0.42119182,0.09631399,0.00010783
-5.89194597,1.20518566,0.43878783,0.67305031,0.01381029,0.40114102,0.10011137,0.00011004
-5.88594297,1.17260191,0.43565777,0.65262923,0.01267701,0.38452832,0.10440433,0.00011375
