energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.75436104,0.01268819,0.53022915,0.01000395,1.61030188,1.92866194,0.89357530
-5.99399700,3.81345956,0.01238756,0.54623082,0.00951873,1.63664909,1.93266505,0.91098945
-5.98799400,3.87672120,0.01207050,0.56279060,0.00906188,1.66524285,1.93716275,0.92937270
-5.98199100,3.94369976,0.01174370,0.57965523,0.00863481,1.69600685,1.94207047,0.94865858
-5.97598799,4.01387845,0.01141415,0.59657938,0.00823919,1.72880567,1.94730104,0.96875936
-5.96998499,4.08664808,0.01108890,0.61332647,0.00787697,1.76343247,1.95274870,0.98955965
-5.96398199,4.16129029,0.01077486,0.62966930,0.00755046,1.79959993,1.95827531,1.01091145
-5.95797899,4.23696792,0.01047863,0.64539054,0.00726238,1.83693557,1.96370031,1.03263107
-5.95197599,4.31272388,0.01020636,0.66028331,0.00701587,1.87498208,1.96879518,1.05449830
-5.94597299,4.38748932,0.00996361,0.67415189,0.00681453,1.91320293,1.97328297,1.07625796
-5.93996998,4.46010113,0.00975536,0.68681261,0.00666246,1.95099325,1.97684314,1.09762399
-5.93396698,4.52932839,0.00958597,0.69809504,0.00656424,1.98769574,1.97912121,1.11828581
-5.92796398,4.59390616,0.00945920,0.70784333,0.00652493,2.02262065,1.97974291,1.13791670
-5.92196098,4.65257522,0.00937832,0.71591787,0.00655003,2.05506898,1.97833150,1.15618383
-5.91595798,4.70412513,0.00934615,0.72219694,0.00664541,2.08435766,1.97452725,1.17275920
-5.90995498,4.74743838,0.00936522,0.72657858,0.00681722,2.10984522,1.96800770,1.18733110
-5.90395198,4.78153284,0.00943787,0.72898233,0.00707172,2.13095654,1.95850713,1.19961525
-5.89794897,4.80559995,0.00956631,0.72935081,0.00741514,2.14720538,1.94583398,1.20936506
-5.89194597,4.81903645,0.00975280,0.72765123,0.00785342,2.15821325,1.92988495,1.21638043
-5.88594297,4.82146754,0.00999963,0.72387635,0.00839196,2.16372371,1.91065479,1.22051452
-5.87993997,4.81276023,0.01030922,0.71804521,0.00903530,2.16361115,1.88824098,1.22167818
-5.87393697,4.79302591,0.01068404,0.71020330,0.00978684,2.15788382,1.86284309,1.21984178
-5.86793397,4.76261205,0.01112666,0.70042221,0.01064847,2.14668069,1.83475666,1.21503435
-5.86193097,4.72208351,0.01163956,0.68879870,0.01162021,2.13026265,1.80436200,1.20734010
-5.85592796,4.67219443,0.01222509,0.67545324,0.01269992,2.10899845,1.77210852,1.19689262
-5.84992496,4.61385243,0.01288524,0.66052793,0.01388301,2.08334632,1.73849561,1.18386703
-5.84392196,4.54807714,0.01362147,0.64418395,0.01516216,2.05383223,1.70405106,1.16847068
-5.83791896,4.47595519,0.01443453,0.62659850,0.01652722,2.02102613,1.66930831,1.15093280
-5.83191596,4.39859436,0.01532420,0.60796132,0.01796507,1.98551745,1.63478382,1.13149389
