energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.86889424,0.06502138,0.00000000,0.03905524,1.90688966,1.71293636,0.57065935
-5.99399700,2.82569658,0.06437204,0.00000000,0.03871160,1.88012992,1.67245240,0.56970285
-5.98799400,2.77419717,0.06350875,0.00000000,0.03823594,1.84772726,1.62723331,0.56703640
-5.98199100,2.71488540,0.06243812,0.00000000,0.03763516,1.80999042,1.57773042,0.56270875
-5.97598799,2.64835392,0.06117061,0.00000000,0.03691771,1.76729899,1.52442323,0.55679578
-5.96998499,2.57529479,0.05972047,0.00000000,0.03609341,1.72010090,1.46781786,0.54939846
-5.96398199,2.49649291,0.05810567,0.00000000,0.03517318,1.66890806,1.40844545,0.54063994
-5.95797899,2.41281680,0.05634762,0.00000000,0.03416871,1.61429006,1.34686010,0.53066208
-5.95197599,2.32520693,0.05447081,0.00000000,0.03309219,1.55686625,1.28363611,0.51962156
-5.94597299,2.23466205,0.05250233,0.00000000,0.03195597,1.49729646,1.21936431,0.50768585
-5.93996998,2.14222407,0.05047135,0.00000000,0.03077229,1.43627064,1.15464746,0.49502925
-5.93396698,2.04896210,0.04840856,0.00000000,0.02955296,1.37449806,1.09009472,0.48182930
-5.92796398,1.95595638,0.04634549,0.00000000,0.02830916,1.31269631,1.02631524,0.46826368
-5.92196098,1.86428257,0.04431397,0.00000000,0.02705123,1.25158066,0.96391122,0.45450774
-5.91595798,1.77499708,0.04234551,0.00000000,0.02578852,1.19185415,0.90347056,0.44073279
-5.90995498,1.68912365,0.04047074,0.00000000,0.02452936,1.13419853,0.84555938,0.42710503
-5.90395198,1.60764160,0.03871890,0.00000000,0.02328099,1.07926646,0.79071472,0.41378519
-5.89794897,1.53147561,0.03711738,0.00000000,0.02204960,1.02767476,0.73943759,0.40092859
-5.89194597,1.46148709,0.03569132,0.00000000,0.02084043,0.97999884,0.69218664,0.38868561
-5.88594297,1.39846677,0.03446319,0.00000000,0.01965783,0.93676805,0.64937244,0.37720217
-5.87993997,1.34312840,0.03345252,0.00000000,0.01850547,0.89846181,0.61135258,0.36662024
-5.87393697,1.29610289,0.03267557,0.00000000,0.01738639,0.86550617,0.57842757,0.35707788
-5.86793397,1.25793292,0.03214505,0.00000000,0.01630321,0.83827069,0.55083744,0.34870895
-5.86193097,1.22906747,0.03186989,0.00000000,0.01525824,0.81706533,0.52875913,0.34164213
-5.85592796,1.20985622,0.03185502,0.00000000,0.01425356,0.80213727,0.51230455,0.33599933
-5.84992496,1.20054396,0.03210119,0.00000000,0.01329113,0.79366768,0.50151928,0.33189342
-5.84392196,1.20126482,0.03260480,0.00000000,0.01237285,0.79176836,0.49638190,0.32942542
-5.83791896,1.21203701,0.03335780,0.00000000,0.01150054,0.79647860,0.49680405,0.32868126
-5.83191596,1.23275824,0.03434770,0.00000000,0.01067593,0.80776236,0.50263114,0.32972834
-5.82591296,1.26320241,0.03555760,0.00000000,0.00990067,0.82550619,0.51364397,0.33261210
-5.81990995,1.30301819,0.03696637,0.00000000,0.00917620,0.84951814,0.52956123,0.33735285
-5.81390695,1.35172989,0.03854892,0.00000000,0.00850375,0.87952813,0.55004299,0.34394311
-5.80790395,1.40874123,0.04027661,0.00000000,0.00788419,0.91518985,0.57469550,0.35234576
-5.80190095,1.47334216,0.04211779,0.00000000,0.00731804,0.95608459,0.60307696,0.36249303
-5.79589795,1.54471887,0.04403844,0.00000000,0.00680532,1.00172699,0.63470469,0.37428658
-5.78989495,1.62196701,0.04600293,0.00000000,0.00634558,1.05157258,0.66906327,0.38759864
-5.78389195,1.70410762,0.04797490,0.00000000,0.00593781,1.10502709,0.70561373,0.40227426
-5.77788894,1.79010534,0.04991813,0.00000000,0.00558046,1.16145699,0.74380351,0.41813448
-5.77188594,1.87888813,0.05179750,0.00000000,0.00527146,1.22020104,0.78307677,0.43498033
-5.76588294,1.96936766,0.05357986,0.00000000,0.00500821,1.28058209,0.82288484,0.45259742
-5.75987994,2.06045947,0.05523496,0.00000000,0.00478772,1.34191881,0.86269637,0.47076086
-5.75387694,2.15110195,0.05673613,0.00000000,0.00460656,1.40353665,0.90200668,0.48924029
-5.74787394,2.24027334,0.05806099,0.00000000,0.00446106,1.46477751,0.94034605,0.50780469
-5.74187094,2.32700607,0.05919189,0.00000000,0.00434731,1.52500793,0.97728654,0.52622691
