energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.76588294,3.20574638,0.62250626,0.00000000,1.66370569,2.29817156,0.59075858,0.00000000
-5.75987994,3.23871751,0.62720498,0.00000000,1.67173304,2.32336261,0.60113655,0.00000000
-5.75387694,3.26588654,0.63120018,0.00000000,1.67456662,2.34514064,0.60998920,0.00000000
-5.74787394,3.28681618,0.63443311,0.00000000,1.67171796,2.36336158,0.61708177,0.00000000
-5.74187094,3.30131825,0.63689174,0.00000000,1.66288964,2.37803336,0.62223943,0.00000000
-5.73586793,3.30945640,0.63861137,0.00000000,1.64798984,2.38931311,0.62535189,0.00000000
-5.72986493,3.31154141,0.63967403,0.00000000,1.62714068,2.39750023,0.62637581,0.00000000
-5.72386193,3.30811946,0.64020650,0.00000000,1.60068007,2.40302571,0.62533491,0.00000000
-5.71785893,3.29995434,0.64037725,0.00000000,1.56915703,2.40643852,0.62231802,0.00000000
-5.71185593,3.28800441,0.64039255,0.00000000,1.53332065,2.40838976,0.61747501,0.00000000
-5.70585293,3.27339534,0.64049171,0.00000000,1.49410306,2.40961524,0.61101072,0.00000000
-5.69984992,3.25738965,0.64094187,0.00000000,1.45259698,2.41091707,0.60317742,0.00000000
-5.69384692,3.24135390,0.64203228,0.00000000,1.41002865,2.41314489,0.59426572,0.00000000
-5.68784392,3.22672453,0.64406833,0.00000000,1.36772681,2.41717702,0.58459457,0.00000000
-5.68184092,3.21497292,0.64736530,0.00000000,1.32708877,2.42390192,0.57450046,0.00000000
-5.67583792,3.20757047,0.65224196,0.00000000,1.28954454,2.43419993,0.56432637,0.00000000
-5.66983492,3.20595405,0.65901403,0.00000000,1.25651988,2.44892551,0.55441071,0.00000000
-5.66383192,3.21149214,0.66798744,0.00000000,1.22939930,2.46888972,0.54507661,0.00000000
-5.65782891,3.22545205,0.67945147,0.00000000,1.20948981,2.49484289,0.53662186,0.00000000
-5.65182591,3.24896830,0.69367162,0.00000000,1.19798626,2.52745734,0.52930982,0.00000000
-5.64582291,3.28301238,0.71088239,0.00000000,1.19593891,2.56730994,0.52336152,0.00000000
-5.63981991,3.32836410,0.73127977,0.00000000,1.20422400,2.61486467,0.51894905,0.00000000
-5.63381691,3.38558484,0.75501376,0.00000000,1.22351759,2.67045505,0.51619053,0.00000000
-5.62781391,3.45499306,0.78218072,0.00000000,1.25427341,2.73426679,0.51514669,0.00000000
-5.62181091,3.53664268,0.81281607,0.00000000,1.29670495,2.80632114,0.51581909,0.00000000
-5.61580790,3.63030495,0.84688722,0.00000000,1.35077224,2.88645933,0.51815007,0.00000000
-5.60980490,3.73545459,0.88428721,0.00000000,1.41617351,2.97432908,0.52202441,0.00000000
-5.60380190,3.85126127,0.92482938,0.00000000,1.49234228,3.06937388,0.52727252,0.00000000
-5.59779890,3.97658720,0.96824327,0.00000000,1.57844983,3.17082606,0.53367529,0.00000000
-5.59179590,4.10999179,1.01417229,0.00000000,1.67341353,3.27770459,0.54097026,0.00000000
-5.58579290,4.24974436,1.06217333,0.00000000,1.77591104,3.38881860,0.54885906,0.00000000
-5.57978989,4.39384538,1.11171884,0.00000000,1.88440045,3.50277724,0.55701592,0.00000000
-5.57378689,4.54005668,1.16220144,0.00000000,1.99714645,3.61800666,0.56509694,0.00000000
-5.56778389,4.68594079,1.21294139,0.00000000,2.11225211,3.73277420,0.57274997,0.00000000
-5.56178089,4.82890883,1.26319687,0.00000000,2.22769604,3.84521995,0.57962473,0.00000000
-5.55577789,4.96627642,1.31217715,0.00000000,2.34137426,3.95339517,0.58538290,0.00000000
-5.54977489,5.09532620,1.35905830,0.00000000,2.45114607,4.05530672,0.58970784,0.00000000
-5.54377189,5.21337538,1.40300131,0.00000000,2.55488275,4.14896654,0.59231373,0.00000000
-5.53776888,5.31784622,1.44317197,0.00000000,2.65051790,4.23244442,0.59295365,0.00000000
-5.53176588,5.40633710,1.47876208,0.00000000,2.73609809,4.30392232,0.59142657,0.00000000
-5.52576288,5.47669158,1.50901111,0.00000000,2.80983211,4.36174830,0.58758279,0.00000000
-5.51975988,5.52706272,1.53322777,0.00000000,2.87013730,4.40448770,0.58132783,0.00000000
-5.51375688,5.55597008,1.55081043,0.00000000,2.91568132,4.43096950,0.57262457,0.00000000
-5.50775388,5.56234697,1.56126580,0.00000000,2.94541774,4.44032575,0.56149353,0.00000000
-5.50175088,5.54557560,1.56422490,0.00000000,2.95861420,4.43202227,0.54801151,0.00000000
-5.49574787,5.50550873,1.55945571,0.00000000,2.95487180,4.40587894,0.53230839,0.00000000
-5.48974487,5.44247644,1.54687190,0.00000000,2.93413504,4.36207869,0.51456249,0.00000000
-5.48374187,5.35727769,1.52653726,0.00000000,2.89669183,4.30116445,0.49499463,0.00000000
-5.47773887,5.25115667,1.49866546,0.00000000,2.84316330,4.22402405,0.47386095,0.00000000
-5.47173587,5.12576509,1.46361527,0.00000000,2.77448409,4.13186376,0.45144521,0.00000000
-5.46573287,4.98311168,1.42188123,0.00000000,2.69187349,4.02617128,0.42805037,0.00000000
-5.45972986,4.82550120,1.37408026,0.00000000,2.59679897,3.90867005,0.40399027,0.00000000
-5.45372686,4.65546551,1.32093465,0.00000000,2.49093310,3.78126679,0.37958128,0.00000000
-5.44772386,4.47568971,1.26325224,0.00000000,2.37610599,3.64599448,0.35513459,0.00000000
-5.44172086,4.28893633,1.20190450,0.00000000,2.25425478,3.50495354,0.33094909,0.00000000
-5.43571786,4.09797095,1.13780341,0.00000000,2.12737222,3.36025353,0.30730527,0.00000000
-5.42971486,3.90549204,1.07187816,0.00000000,1.99745622,3.21395790,0.28446019,0.00000000
-5.42371186,3.71406769,1.00505236,0.00000000,1.86646204,3.06803407,0.26264354,0.00000000
-5.41770885,3.52608149,0.93822276,0.00000000,1.73625872,2.92431050,0.24205508,0.00000000
-5.41170585,3.34368916,0.87224007,0.00000000,1.60859086,2.78444228,0.22286312,0.00000000
-5.40570285,3.16878677,0.80789249,0.00000000,1.48504686,2.64988597,0.20520417,0.00000000
-5.39969985,3.00299095,0.74589226,0.00000000,1.36703390,2.52188413,0.18918362,0.00000000
-5.39369685,2.84763071,0.68686561,0.00000000,1.25576013,2.40145908,0.17487720,0.00000000
-5.38769385,2.70374982,0.63134594,0.00000000,1.15222376,2.28941532,0.16233307,0.00000000
-5.38169085,2.57211832,0.57977030,0.00000000,1.05720872,2.18634926,0.15157444,0.00000000
-5.37568784,2.45325137,0.53247874,0.00000000,0.97128613,2.09266492,0.14260233,0.00000000
-5.36968484,2.34743320,0.48971630,0.00000000,0.89482092,2.00859370,0.13539844,0.00000000
-5.36368184,2.25474421,0.45163707,0.00000000,0.82798252,1.93421658,0.12992793,0.00000000
-5.35767884,2.17508899,0.41830991,0.00000000,0.77075867,1.86948690,0.12614186,0.00000000
-5.35167584,2.10822349,0.38972532,0.00000000,0.72297158,1.81425230,0.12397936,0.00000000
-5.34567284,2.05377981,0.36580291,0.00000000,0.68429543,1.76827439,0.12336930,0.00000000
-5.33966983,2.01128751,0.34639923,0.00000000,0.65427454,1.73124533,0.12423158,0.00000000
-5.33366683,1.98019079,0.33131547,0.00000000,0.63234178,1.70280074,0.12647794,0.00000000
-5.32766383,1.95986144,0.32030495,0.00000000,0.61783664,1.68252880,0.13001247,0.00000000
-5.32166083,1.94960779,0.31308012,0.00000000,0.61002282,1.66997583,0.13473179,0.00000000
-5.31565783,1.94868043,0.30931914,0.00000000,0.60810520,1.66464886,0.14052506,0.00000000
-5.30965483,1.95627556,0.30867199,0.00000000,0.61124621,1.66601614,0.14727406,0.00000000
-5.30365183,1.97153724,0.31076629,0.00000000,0.61858158,1.67350647,0.15485319,0.00000000
-5.29764882,1.99355971,0.31521287,0.00000000,0.62923567,1.68650854,0.16312990,0.00000000
-5.29164582,2.02139100,0.32161134,0.00000000,0.64233638,1.70437126,0.17196524,0.00000000
-5.28564282,2.05403879,0.32955566,0.00000000,0.65702970,1.72640601,0.18121499,0.00000000
-5.27963982,2.09047934,0.33863999,0.00000000,0.67249390,1.75189146,0.19073113,0.00000000
-5.27363682,2.12966982,0.34846469,0.00000000,0.68795325,1.78008149,0.20036382,0.00000000
-5.26763382,2.17056421,0.35864263,0.00000000,0.70269107,1.81021616,0.20996377,0.00000000
-5.26163082,2.21213238,0.36880563,0.00000000,0.71606189,1.84153569,0.21938508,0.00000000
-5.25562781,2.25338165,0.37861092,0.00000000,0.72750239,1.87329677,0.22848816,0.00000000
-5.24962481,2.29337994,0.38774748,0.00000000,0.73654074,1.90479059,0.23714292,0.00000000
-5.24362181,2.33127922,0.39594198,0.00000000,0.74280403,1.93536144,0.24523185,0.00000000
-5.23761881,2.36633798,0.40296397,0.00000000,0.74602341,1.96442492,0.25265293,0.00000000
-5.23161581,2.39794132,0.40863029,0.00000000,0.74603668,1.99148462,0.25932213,0.00000000
-5.22561281,2.42561749,0.41280823,0.00000000,0.74278820,2.01614601,0.26517548,0.00000000
-5.21960980,2.44904962,0.41541727,0.00000000,0.73632586,2.03812697,0.27017040,0.00000000
-5.21360680,2.46808197,0.41642938,0.00000000,0.72679531,2.05726382,0.27428645,0.00000000
-5.20760380,2.48272019,0.41586764,0.00000000,0.71443157,2.07351285,0.27752516,0.00000000
-5.20160080,2.49312540,0.41380328,0.00000000,0.69954821,2.08694681,0.27990919,0.00000000
-5.19559780,2.49960246,0.41035121,0.00000000,0.68252454,2.09774685,0.28148072,0.00000000
-5.18959480,2.50258300,0.40566411,0.00000000,0.66379130,2.10619024,0.28229926,0.00000000
-5.18359180,2.50260411,0.39992554,0.00000000,0.64381537,2.11263461,0.28243885,0.00000000
-5.17758879,2.50028402,0.39334210,0.00000000,0.62308401,2.11749975,0.28198495,0.00000000
-5.17158579,2.49629582,0.38613521,0.00000000,0.60208930,2.12124783,0.28103114,0.00000000
-5.16558279,2.49134082,0.37853267,0.00000000,0.58131321,2.12436332,0.27967578,0.00000000
-5.15957979,2.48612268,0.37076055,0.00000000,0.56121387,2.12733352,0.27801876,0.00000000
-5.15357679,2.48132356,0.36303551,0.00000000,0.54221337,2.13063071,0.27615860,0.00000000
-5.14757379,2.47758305,0.35555809,0.00000000,0.52468749,2.13469644,0.27418982,0.00000000
-5.14157079,2.47548070,0.34850696,0.00000000,0.50895743,2.13992873,0.27220094,0.00000000
-5.13556778,2.47552224,0.34203446,0.00000000,0.49528382,2.14667215,0.27027279,0.00000000
-5.12956478,2.47812974,0.33626340,0.00000000,0.48386287,2.15521078,0.26847743,0.00000000
-5.12356178,2.48363514,0.33128526,0.00000000,0.47482460,2.16576391,0.26687751,0.00000000
-5.11755878,2.49227698,0.32715954,0.00000000,0.46823303,2.17848390,0.26552600,0.00000000
-5.11155578,2.50419938,0.32391440,0.00000000,0.46408817,2.19345565,0.26446618,0.00000000
-5.10555278,2.51945280,0.32154822,0.00000000,0.46232939,2.21069715,0.26373195,0.00000000
-5.09954977,2.53799579,0.32003197,0.00000000,0.46284004,2.23016042,0.26334814,0.00000000
-5.09354677,2.55969711,0.31931221,0.00000000,0.46545308,2.25173252,0.26333088,0.00000000
-5.08754377,2.58433802,0.31931452,0.00000000,0.46995737,2.27523618,0.26368793,0.00000000
-5.08154077,2.61161430,0.31994710,0.00000000,0.47610446,2.30043012,0.26441895,0.00000000
-5.07553777,2.64113830,0.32110441,0.00000000,0.48361564,2.32700900,0.26551564,0.00000000
-5.06953477,2.67244111,0.32267082,0.00000000,0.49218923,2.35460346,0.26696178,0.00000000
-5.06353177,2.70497546,0.32452392,0.00000000,0.50150780,2.38278070,0.26873326,0.00000000
-5.05752876,2.73811978,0.32653772,0.00000000,0.51124531,2.41104613,0.27079812,0.00000000
-5.05152576,2.77118428,0.32858544,0.00000000,0.52107409,2.43884685,0.27311658,0.00000000
-5.04552276,2.80341934,0.33054210,0.00000000,0.53067161,2.46557745,0.27564131,0.00000000
-5.03951976,2.83402704,0.33228672,0.00000000,0.53972686,2.49058869,0.27831783,0.00000000
-5.03351676,2.86217580,0.33370434,0.00000000,0.54794641,2.51319931,0.28108513,0.00000000
-5.02751376,2.88701831,0.33468777,0.00000000,0.55505996,2.53271103,0.28387668,0.00000000
-5.02151076,2.90771254,0.33513914,0.00000000,0.56082535,2.54842662,0.28662156,0.00000000
