energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.12599364,0.00673912,0.81431300,0.04325462,0.88344907,0.76984931,0.14187332,0.86450869,0.74243188
-5.99399700,3.12509816,0.00675388,0.81818515,0.04052764,0.88333652,0.76941410,0.14050715,0.87900281,0.74648957
-5.98799400,3.12135183,0.00673965,0.82027621,0.03794498,0.88338276,0.76840657,0.13916951,0.89279843,0.74883560
-5.98199100,3.11407755,0.00669367,0.82046013,0.03550788,0.88332403,0.76661741,0.13782777,0.90560332,0.74933737
-5.97598799,3.10267395,0.00661422,0.81863974,0.03321538,0.88291112,0.76386447,0.13645041,0.91715018,0.74789155
-5.96998499,3.08663047,0.00650057,0.81475024,0.03106482,0.88191358,0.75999554,0.13500797,0.92720074,0.74442728
-5.96398199,3.06553791,0.00635304,0.80876131,0.02905224,0.88012287,0.75488980,0.13347375,0.93554836,0.73890818
-5.95797899,3.03909440,0.00617290,0.80067787,0.02717286,0.87735447,0.74845815,0.13182438,0.94201921,0.73133312
-5.95197599,3.00710696,0.00596230,0.79053951,0.02542133,0.87344902,0.74064244,0.13004019,0.94647217,0.72173578
-5.94597299,2.96948935,0.00572421,0.77841871,0.02379204,0.86827274,0.73141392,0.12810540,0.94879780,0.71018308
-5.93996998,2.92625688,0.00546222,0.76441812,0.02227932,0.86171737,0.72077108,0.12600826,0.94891662,0.69677271
-5.93396698,2.87751909,0.00518045,0.74866707,0.02087758,0.85369983,0.70873711,0.12374092,0.94677710,0.68162985
-5.92796398,2.82347125,0.00488339,0.73131765,0.01958138,0.84416187,0.69535732,0.12129939,0.94235374,0.66490348
-5.92196098,2.76438571,0.00457572,0.71254058,0.01838554,0.83306989,0.68069672,0.11868335,0.93564543,0.64676234
-5.91595798,2.70060370,0.00426222,0.69252114,0.01728513,0.82041518,0.66483790,0.11589601,0.92667440,0.62739087
-5.90995498,2.63252841,0.00394756,0.67145531,0.01627552,0.80621454,0.64787952,0.11294393,0.91548590,0.60698527
