energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.25031602,0.68520966,1.61133990,0.01139357,0.02157662,0.44170067,0.00000000,0.35818108,0.10035817
-5.99399700,2.33391457,0.70131172,1.67477529,0.01158400,0.02255167,0.45475319,0.00000000,0.36955887,0.10349091
-5.98799400,2.41497877,0.71651209,1.73624196,0.01175665,0.02354660,0.46738802,0.00000000,0.38026979,0.10653724
-5.98199100,2.49177110,0.73029826,1.79452412,0.01190460,0.02453791,0.47925599,0.00000000,0.39001179,0.10939983
-5.97598799,2.56266686,0.74219416,1.84848196,0.01202130,0.02550347,0.49003349,0.00000000,0.39850763,0.11198735
-5.96998499,2.62619185,0.75177240,1.89707669,0.01210065,0.02642302,0.49943100,0.00000000,0.40551283,0.11421687
-5.96398199,2.68105675,0.75866552,1.93939344,0.01213728,0.02727861,0.50720079,0.00000000,0.41082298,0.11601597
-5.95797899,2.72618693,0.76257585,1.97466111,0.01212669,0.02805495,0.51314361,0.00000000,0.41427994,0.11732469
-5.95197599,2.76074674,0.76328358,2.00226873,0.01206543,0.02873965,0.51711398,0.00000000,0.41577682,0.11809705
-5.94597299,2.78415735,0.76065258,2.02177767,0.01195128,0.02932341,0.51902385,0.00000000,0.41526139,0.11830222
-5.93996998,2.79610750,0.75463388,2.03292935,0.01178336,0.02980013,0.51884455,0.00000000,0.41273775,0.11792524
-5.93396698,2.79655679,0.74526657,2.03564822,0.01156223,0.03016687,0.51660678,0.00000000,0.40826630,0.11696718
-5.92796398,2.78573148,0.73267608,2.03003998,0.01128989,0.03042379,0.51239886,0.00000000,0.40196178,0.11544490
-5.92196098,2.76411302,0.71706998,2.01638510,0.01096982,0.03057403,0.50636317,0.00000000,0.39398977,0.11339025
-5.91595798,2.73241978,0.69873145,1.99512779,0.01060687,0.03062344,0.49869105,0.00000000,0.38456148,0.11084885
-5.90995498,2.69158273,0.67801080,1.96686113,0.01020718,0.03058035,0.48961629,0.00000000,0.37392738,0.10787847
-5.90395198,2.64271617,0.65531528,1.93230853,0.00977801,0.03045531,0.47940776,0.00000000,0.36236968,0.10454713
-5.89794897,2.58708435,0.63109771,1.89230236,0.00932755,0.03026073,0.46836115,0.00000000,0.35019414,0.10093086
-5.89194597,2.52606542,0.60584432,1.84776050,0.00886475,0.03001058,0.45679048,0.00000000,0.33772149,0.09711145
-5.88594297,2.46111377,0.58006215,1.79966132,0.00839901,0.02972011,0.44501949,0.00000000,0.32527872,0.09317399
-5.87993997,2.39372201,0.55426663,1.74901807,0.00794001,0.02940546,0.43337329,0.00000000,0.31319062,0.08920459
-5.87393697,2.32538358,0.52896939,1.69685332,0.00749747,0.02908343,0.42217050,0.00000000,0.30177176,0.08528805
-5.86793397,2.25755707,0.50466686,1.64417407,0.00708088,0.02877112,0.41171602,0.00000000,0.29131908,0.08150579
-5.86193097,2.19163297,0.48182964,1.59194827,0.00669934,0.02848564,0.40229458,0.00000000,0.28210535,0.07793399
-5.85592796,2.12890361,0.46089302,1.54108327,0.00636134,0.02824383,0.39416519,0.00000000,0.27437348,0.07464194
-5.84992496,2.07053662,0.44224850,1.49240652,0.00607461,0.02806193,0.38755635,0.00000000,0.26833172,0.07169068
-5.84392196,2.01755236,0.42623655,1.44664912,0.00584600,0.02795522,0.38266216,0.00000000,0.26414989,0.06913192
-5.83791896,1.97080556,0.41314045,1.40443225,0.00568133,0.02793772,0.37963914,0.00000000,0.26195646,0.06700724
-5.83191596,1.93097109,0.40318130,1.36625687,0.00558533,0.02802181,0.37860382,0.00000000,0.26183645,0.06534752
-5.82591296,1.89853409,0.39651417,1.33249653,0.00556155,0.02821784,0.37963092,0.00000000,0.26383027,0.06417263
