energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.21201667,0.00242812,0.85862476,3.17911333,1.24937938,0.75704580,0.00000000
-5.99399700,3.16394947,0.00236257,0.84296190,3.14093045,1.22522299,0.75130830,0.00000000
-5.98799400,3.10056483,0.00229705,0.82274556,3.08570514,1.19510940,0.74247066,0.00000000
-5.98199100,3.02300606,0.00223036,0.79832205,3.01427925,1.15963162,0.73070344,0.00000000
-5.97598799,2.93268654,0.00216169,0.77011347,2.92781458,1.11947662,0.71624215,0.00000000
-5.96998499,2.83124396,0.00209066,0.73860479,2.82775630,1.07540299,0.69937864,0.00000000
-5.96398199,2.72048876,0.00201727,0.70432931,2.71578830,1.02821712,0.68045094,0.00000000
-5.95797899,2.60234879,0.00194183,0.66785306,2.59378238,0.97874872,0.65983183,0.00000000
-5.95197599,2.47881254,0.00186499,0.62975890,2.46374323,0.92782677,0.63791659,0.00000000
-5.94597299,2.35187305,0.00178761,0.59063075,2.32775146,0.87625686,0.61511057,0.00000000
-5.93996998,2.22347481,0.00171076,0.55103869,2.18790696,0.82480050,0.59181706,0.00000000
-5.93396698,2.09546548,0.00163569,0.51152534,2.04627472,0.77415752,0.56842589,0.00000000
-5.92796398,1.96955416,0.00156374,0.47259397,1.90483505,0.72495165,0.54530335,0.00000000
-5.92196098,1.84727752,0.00149632,0.43469882,1.76543980,0.67772010,0.52278373,0.00000000
-5.91595798,1.72997468,0.00143489,0.39823759,1.62977597,0.63290695,0.50116283,0.00000000
-5.90995498,1.61877117,0.00138091,0.36354650,1.49933754,0.59086056,0.48069345,0.00000000
-5.90395198,1.51457195,0.00133582,0.33089768,1.37540584,0.55183474,0.46158320,0.00000000
-5.89794897,1.41806294,0.00130101,0.30049891,1.25903854,0.51599318,0.44399425,0.00000000
-5.89194597,1.32972014,0.00127780,0.27249539,1.15106684,0.48341682,0.42804501,0.00000000
-5.88594297,1.24982512,0.00126743,0.24697338,1.05209988,0.45411339,0.41381333,0.00000000
-5.87993997,1.17848525,0.00127103,0.22396518,0.96253553,0.42802849,0.40134096,0.00000000
-5.87393697,1.11565728,0.00128960,0.20345527,0.88257608,0.40505748,0.39063874,0.00000000
-5.86793397,1.06117225,0.00132399,0.18538706,0.81224754,0.38505745,0.38169203,0.00000000
-5.86193097,1.01476052,0.00137486,0.16966991,0.75142110,0.36785871,0.37446608,0.00000000
-5.85592796,0.97607512,0.00144269,0.15618618,0.69983537,0.35327516,0.36891082,0.00000000
-5.84992496,0.94471251,0.00152769,0.14479780,0.65711834,0.34111313,0.36496473,0.00000000
-5.84392196,0.92022972,0.00162982,0.13535238,0.62280794,0.33117843,0.36255768,0.00000000
-5.83791896,0.90215742,0.00174875,0.12768846,0.59637052,0.32328131,0.36161246,0.00000000
-5.83191596,0.89000870,0.00188378,0.12163990,0.57721688,0.31723959,0.36204510,0.00000000
-5.82591296,0.88328386,0.00203388,0.11703944,0.56471553,0.31287970,0.36376405,0.00000000
-5.81990995,0.88147160,0.00219763,0.11372134,0.55820338,0.31003625,0.36666842,0.00000000
-5.81390695,0.88404753,0.00237324,0.11152327,0.55699414,0.30855024,0.37064566,0.00000000
-5.80790395,0.89047082,0.00255852,0.11028749,0.56038480,0.30826636,0.37556890,0.00000000
-5.80190095,0.90018027,0.00275090,0.10986161,0.56766099,0.30902994,0.38129454,0.00000000
-5.79589795,0.91259072,0.00294750,0.11009890,0.57810161,0.31068384,0.38766031,0.00000000
-5.78989495,0.92709092,0.00314513,0.11085858,0.59098356,0.31306590,0.39448432,0.00000000
-5.78389195,0.94304379,0.00334037,0.11200590,0.60558700,0.31600710,0.40156524,0.00000000
-5.77788894,0.95978971,0.00352968,0.11341248,0.62120168,0.31933095,0.40868406,0.00000000
-5.77188594,0.97665317,0.00370943,0.11495675,0.63713447,0.32285416,0.41560724,0.00000000
-5.76588294,0.99295304,0.00387606,0.11652469,0.65271835,0.32638871,0.42209158,0.00000000
-5.75987994,1.00801617,0.00402617,0.11801083,0.66732266,0.32974532,0.42789040,0.00000000
-5.75387694,1.02119385,0.00415659,0.11931953,0.68036440,0.33273818,0.43276095,0.00000000
-5.74787394,1.03188042,0.00426456,0.12036639,0.69132008,0.33519066,0.43647267,0.00000000
-5.74187094,1.03953303,0.00434779,0.12107986,0.69973770,0.33694170,0.43881592,0.00000000
-5.73586793,1.04369155,0.00440452,0.12140281,0.70524811,0.33785258,0.43961066,0.00000000
-5.72986493,1.04399743,0.00443365,0.12129399,0.70757517,0.33781355,0.43871461,0.00000000
-5.72386193,1.04021035,0.00443474,0.12072934,0.70654398,0.33674995,0.43603053,0.00000000
-5.71785893,1.03222173,0.00440807,0.11970288,0.70208679,0.33462746,0.43151204,0.00000000
-5.71185593,1.02006407,0.00435460,0.11822722,0.69424590,0.33145608,0.42516777,0.00000000
-5.70585293,1.00391556,0.00427601,0.11633356,0.68317340,0.32729251,0.41706345,0.00000000
-5.69984992,0.98409940,0.00417457,0.11407116,0.66912752,0.32224086,0.40732190,0.00000000
-5.69384692,0.96107784,0.00405313,0.11150618,0.65246563,0.31645140,0.39612082,0.00000000
-5.68784392,0.93544085,0.00391500,0.10872003,0.63363399,0.31011746,0.38368846,0.00000000
-5.68184092,0.90788989,0.00376385,0.10580715,0.61315471,0.30347047,0.37029731,0.00000000
-5.67583792,0.87921745,0.00360360,0.10287233,0.59161032,0.29677329,0.35625619,0.00000000
-5.66983492,0.85028293,0.00343825,0.10002768,0.56962650,0.29031214,0.34190086,0.00000000
-5.66383192,0.82198600,0.00327183,0.09738931,0.54785366,0.28438741,0.32758379,0.00000000
-5.65782891,0.79523839,0.00310820,0.09507382,0.52694798,0.27930354,0.31366333,0.00000000
-5.65182591,0.77093510,0.00295098,0.09319480,0.50755273,0.27535868,0.30049272,0.00000000
-5.64582291,0.74992623,0.00280343,0.09185936,0.49028023,0.27283413,0.28840943,0.00000000
-5.63981991,0.73299030,0.00266836,0.09116487,0.47569538,0.27198435,0.27772511,0.00000000
