energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,4.74141931,0.00775957,0.79942805,2.59407045,0.98624480,0.55548663,0.27778970,0.04958258,1.63516344
-5.99399700,4.72180526,0.00825069,0.78767240,2.61403960,0.96742005,0.55831834,0.28012633,0.04918907,1.64377050
-5.98799400,4.69210187,0.00879312,0.77412045,2.62330814,0.94789145,0.56058232,0.28169205,0.04873379,1.64908012
-5.98199100,4.65188063,0.00937853,0.75890145,2.62128825,0.92778920,0.56209431,0.28244277,0.04823030,1.65064708
-5.97598799,4.60105727,0.00999787,0.74220675,2.60764443,0.90732007,0.56270037,0.28235281,0.04769142,1.64813971
-5.96998499,4.53988351,0.01064144,0.72428496,2.58229964,0.88676169,0.56227774,0.28141481,0.04712862,1.64134230
-5.96398199,4.46892713,0.01129900,0.70543512,2.54543264,0.86645386,0.56073449,0.27963919,0.04655154,1.63015380
-5.95797899,4.38904192,0.01195990,0.68599788,2.49746692,0.84678729,0.55800820,0.27705307,0.04596765,1.61458295
-5.95197599,4.30132939,0.01261323,0.66634525,2.43905190,0.82819037,0.55406404,0.27369902,0.04538199,1.59474073
-5.94597299,4.20709432,0.01324797,0.64686918,2.37103752,0.81111430,0.54889234,0.26963341,0.04479711,1.57083063
-5.93996998,4.10779634,0.01385317,0.62796938,2.29444347,0.79601741,0.54250606,0.26492463,0.04421318,1.54313743
-5.93396698,4.00499982,0.01441819,0.61004093,2.21042453,0.78334906,0.53493820,0.25965126,0.04362814,1.51201531
-5.92796398,3.90032417,0.01493287,0.59346202,2.12023368,0.77353385,0.52623954,0.25390025,0.04303812,1.47787582
-5.92196098,3.79539644,0.01538779,0.57858233,2.02518447,0.76695659,0.51647668,0.24776517,0.04243788,1.44117629
-5.91595798,3.69180802,0.01577450,0.56571241,1.92661428,0.76394871,0.50573048,0.24134459,0.04182140,1.40240909
-5.90995498,3.59107662,0.01608576,0.55511444,1.82584970,0.76477647,0.49409498,0.23474062,0.04118248,1.36209200
-5.90395198,3.49461450,0.01631572,0.54699476,1.72417544,0.76963134,0.48167674,0.22805768,0.04051544,1.32075988
-5.89794897,3.40370356,0.01646014,0.54149827,1.62280754,0.77862300,0.46859443,0.22140131,0.03981577,1.27895756
-5.89194597,3.31947725,0.01651657,0.53870508,1.52287148,0.79177499,0.45497864,0.21487721,0.03908073,1.23723387
-5.88594297,3.24290932,0.01648444,0.53862922,1.42538575,0.80902324,0.44097169,0.20859027,0.03830988,1.19613655
-5.87993997,3.17480861,0.01636512,0.54121974,1.33125080,0.83021747,0.42672732,0.20264365,0.03750559,1.15620763
-5.87393697,3.11581935,0.01616199,0.54636389,1.24124312,0.85512527,0.41241004,0.19713781,0.03667330,1.11797915
-5.86793397,3.06642577,0.01588036,0.55389231,1.15601428,0.88343876,0.39819410,0.19216938,0.03582170,1.08196868
-5.86193097,3.02696030,0.01552739,0.56358600,1.07609401,0.91478352,0.38426178,0.18782995,0.03496277,1.04867443
-5.85592796,2.99761408,0.01511193,0.57518480,1.00189687,0.94872950,0.37080119,0.18420469,0.03411162,1.01856981
-5.84992496,2.97844907,0.01464432,0.58839712,0.93373155,0.98480342,0.35800338,0.18137073,0.03328619,0.99209712
-5.84392196,2.96941085,0.01413613,0.60291044,0.87181204,1.02250243,0.34605882,0.17939554,0.03250684,0.96966074
-5.83791896,2.97034168,0.01359990,0.61840238,0.81626992,1.06130845,0.33515340,0.17833507,0.03179575,0.95161949
-5.83191596,2.98099329,0.01304879,0.63455190,0.76716697,1.10070295,0.32546403,0.17823203,0.03117629,0.93827889
-5.82591296,3.00103934,0.01249629,0.65105033,0.72450754,1.14018174,0.31715404,0.17911419,0.03067232,0.92988326
-5.81990995,3.03008764,0.01195586,0.66761206,0.68825015,1.17926944,0.31036855,0.18099288,0.03030741,0.92660839
-5.81390695,3.06769219,0.01144060,0.68398433,0.65831799,1.21753330,0.30522995,0.18386180,0.03010411,0.92855502
-5.80790395,3.11336539,0.01096301,0.69995626,0.63460794,1.25459629,0.30183386,0.18769633,0.03008329,0.93574375
-5.80190095,3.16659069,0.01053462,0.71536670,0.61699808,1.29014900,0.30024558,0.19245319,0.03026346,0.94811168
-5.79589795,3.22683595,0.01016580,0.73011071,0.60535358,1.32396025,0.30049724,0.19807084,0.03066030,0.96551124
-5.78989495,3.29356761,0.00986553,0.74414478,0.59953108,1.35588620,0.30258590,0.20447042,0.03128627,0.98771144
-5.78389195,3.36626560,0.00964126,0.75749035,0.59938150,1.38587770,0.30647243,0.21155731,0.03215037,1.01440170
-5.77788894,3.44443888,0.00949874,0.77023571,0.60475165,1.41398557,0.31208156,0.21922340,0.03325807,1.04519820
-5.77188594,3.52764095,0.00944198,0.78253613,0.61548457,1.44036363,0.31930276,0.22734978,0.03461142,1.07965278
-5.76588294,3.61548483,0.00947318,0.79461199,0.63141895,1.46526904,0.32799222,0.23581000,0.03620930,1.11726398
-5.75987994,3.70765655,0.00959275,0.80674495,0.65238773,1.48905971,0.33797563,0.24447362,0.03804787,1.15748996
-5.75387694,3.80392616,0.00979935,0.81927194,0.67821614,1.51218847,0.34905186,0.25320997,0.04012103,1.19976288
-5.74787394,3.90415526,0.01008993,0.83257693,0.70871918,1.53519366,0.36099735,0.26189198,0.04242117,1.24350401
-5.74187094,4.00830008,0.01045986,0.84708050,0.74369891,1.55868602,0.37357104,0.27039984,0.04493977,1.28813926
-5.73586793,4.11640914,0.01090304,0.86322719,0.78294157,1.58333179,0.38651985,0.27862448,0.04766821,1.33311441
-5.72986493,4.22861503,0.01141207,0.88147079,0.82621477,1.60983208,0.39958447,0.28647055,0.05059845,1.37790947
-5.72386193,4.34511983,0.01197843,0.90225786,0.87326485,1.63889891,0.41250538,0.29385892,0.05372370,1.42205181
-5.71785893,4.46617440,0.01259265,0.92600978,0.92381463,1.67122830,0.42502894,0.30072851,0.05703891,1.46512737
-5.71185593,4.59205203,0.01324458,0.95310390,0.97756179,1.70747132,0.43691351,0.30703743,0.06054122,1.50678990
-5.70585293,4.72301739,0.01392355,0.98385445,1.03417794,1.74820404,0.44793534,0.31276341,0.06423009,1.54676775
-5.69984992,4.85929216,0.01461868,1.01849385,1.09330873,1.79389754,0.45789426,0.31790343,0.06810735,1.58486813
-5.69384692,5.00101933,0.01531905,1.05715543,1.15457513,1.84488946,0.46661891,0.32247271,0.07217687,1.62097884
-5.68784392,5.14822796,0.01601402,1.09985836,1.21757613,1.90135853,0.47397145,0.32650305,0.07644413,1.65506745
-5.68184092,5.30080086,0.01669337,1.14649575,1.28189298,1.96330359,0.47985166,0.33004059,0.08091545,1.68717819
-5.67583792,5.45844744,0.01734759,1.19682679,1.34709518,2.03052851,0.48420025,0.33314325,0.08559710,1.71742665
